entity,messages,share_of_text_messages,authors
Kaspi,27091,0.05716015858246351,9624
Freedom,21097,0.04451322821653807,6904
BCC,15345,0.0323769013121665,3554
Sber,12713,0.026823561184853222,5495
VTB,11204,0.023639674310949068,3197
Jusan/Alatau,8184,0.01726768069982213,2326
Halyk,8163,0.017223372134976548,3006
T-Bank/Tinkoff,6662,0.014056364714346903,2979
Qiwi,3891,0.008209744086389041,1703
KoronaPay,3323,0.007011302903898942,1854
Forte,1928,0.004067948239156534,771
Alfa,885,0.001867289518492496,586
SBP,711,0.0015001614097719376,376
Paysend,223,0.00047051476002692275,100
Avosend,23,4.852842816421176e-05,17
