category,messages,share_of_text_messages,authors,share_of_authors
cash_atm,29054,0.06130195442969602,9773,0.2697041616072414
rate_information,26427,0.055759163960679314,6737,0.18592007947897118
fees_cost,15483,0.03266807188115177,5023,0.13861905287559334
trust_safety,11736,0.02476215795370388,3081,0.08502594105309637
crossborder_howto,11683,0.02465033157576026,7254,0.20018765868197372
crypto,6496,0.013706116058900852,2781,0.07674688155425544
bank_blocks_compliance,4779,0.010083363399859479,2208,0.06093387791146926
rent_study_medical,4707,0.009931448320388902,2381,0.06570813555580086
salary_income,2764,0.0058318511063426655,1356,0.03742134893476101
timing_forecast,2499,0.005272719216624574,1366,0.037697317584722376
successful_close,1926,0.004063728375837907,1482,0.0408985539242742
family_support,1535,0.0032387450970463067,946,0.026106634286345073
willing_to_wait,1318,0.002780889926975265,834,0.02301578540677779
urgency,1206,0.0025445775811321473,829,0.022877801081797107
partial_fill,907,0.0019137080149973942,652,0.017993155977480958
exchange_intent,819,0.0017280340289778013,654,0.01804834970747323
benchmark_reference,605,0.0012765086538847007,392,0.010817971078485485
