date,unique_authors,category:bank_blocks_compliance,category:benchmark_reference,category:cash_atm,category:crossborder_howto,category:crypto,category:exchange_intent,category:family_support,category:fees_cost,category:partial_fill,category:rate_information,category:rent_study_medical,category:salary_income,category:successful_close,category:timing_forecast,category:trust_safety,category:urgency,category:willing_to_wait,direction:kzt_to_rub,direction:need_eur,direction:need_kzt_offer_unknown,direction:need_rub_offer_unknown,direction:rub_to_kzt,direction:unclassified,events,explicit_rates,messages,probable_listings,strict_listings,text_messages,kzt_per_rub,market_return_1d,market_abs_return_1d,market_90d_percentile,strict_listing_share,rate_information_share,timing_forecast_share,urgency_share_in_strict,rub_to_kzt_share_classified,direction_net
2022-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.522610663403264,,,1.0,,,,,,
2022-06-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,1,8.624792476562043,0.14651586563169894,0.14651586563169894,1.0,0.0,0.0,0.0,,,
2022-06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.75398702247191,0.014979438202247009,0.014979438202247009,1.0,,,,,,
2022-06-27,31,0,0,30,6,1,1,0,6,0,18,2,2,2,0,1,0,0,0,0,0,0,0,1,190,0,188,1,1,177,8.688594730650056,-0.007470001001142479,0.007470001001142479,0.9888888888888889,0.005319148936170213,0.09574468085106383,0.0,0.0,,
2022-06-28,37,0,0,25,3,1,0,0,2,0,14,2,0,0,0,3,0,0,0,0,0,0,0,0,133,0,133,0,0,129,8.545691342521245,-0.01644723831170336,0.01644723831170336,0.9555555555555556,0.0,0.10526315789473684,0.0,,,
2022-06-29,45,1,2,28,6,1,0,0,5,0,10,0,0,0,2,2,0,0,0,0,0,0,1,2,158,0,158,4,3,155,8.913748986621018,0.04306938190809784,0.04306938190809784,1.0,0.0189873417721519,0.06329113924050633,0.012658227848101266,0.0,1.0,1.0
2022-06-30,47,1,0,23,5,2,0,1,2,0,8,2,0,0,2,4,0,0,0,0,0,0,0,2,108,0,108,2,2,108,8.569504788665496,-0.038619462862619414,0.038619462862619414,0.9444444444444444,0.018518518518518517,0.07407407407407407,0.018518518518518517,0.0,,
2022-07-01,65,0,1,35,5,0,0,0,10,0,29,3,0,0,2,4,0,0,0,0,0,0,0,4,221,0,221,4,4,214,8.17283094876296,-0.046289003820524144,0.046289003820524144,0.8888888888888888,0.01809954751131222,0.13122171945701358,0.00904977375565611,0.0,,
2022-07-02,54,1,0,53,6,0,0,1,12,0,22,2,1,1,1,5,0,1,0,0,0,0,0,5,249,0,249,5,5,244,8.17283094876296,0.0,0.0,0.8888888888888888,0.020080321285140562,0.08835341365461848,0.004016064257028112,0.0,,
2022-07-03,74,2,0,50,8,1,0,3,12,0,34,5,0,6,1,2,0,0,0,0,0,0,0,0,287,0,287,1,0,284,8.17283094876296,0.0,0.0,0.8888888888888888,0.0,0.11846689895470383,0.003484320557491289,,,
2022-07-04,76,0,1,43,6,1,0,1,7,3,27,1,2,1,2,2,0,1,0,0,0,0,0,0,212,0,212,2,0,204,8.196188607151276,0.002857964215184472,0.002857964215184472,0.8888888888888888,0.0,0.12735849056603774,0.009433962264150943,,,
2022-07-05,83,0,0,61,10,1,0,0,9,1,40,1,0,0,8,11,0,2,0,0,1,0,0,5,326,0,326,8,6,322,7.825829507216283,-0.045186746875474526,0.045186746875474526,0.8222222222222222,0.018404907975460124,0.12269938650306748,0.024539877300613498,0.0,1.0,1.0
2022-07-06,60,0,0,33,7,1,0,1,8,0,21,1,1,2,2,1,0,0,0,0,0,0,0,2,194,0,194,2,2,187,7.765889098940727,-0.0076593041313107735,0.0076593041313107735,0.8111111111111111,0.010309278350515464,0.10824742268041238,0.010309278350515464,0.0,,
2022-07-07,78,0,0,59,1,2,3,0,6,0,37,0,1,2,3,3,0,0,0,0,0,0,0,8,285,0,285,8,8,272,7.391325952194946,-0.048231843382475215,0.048231843382475215,0.6888888888888889,0.028070175438596492,0.12982456140350876,0.010526315789473684,0.0,,
