month,n,p10,p25,median,p75,p90
2022-07,6,7.0,7.275,7.5,7.5,7.7
2022-08,4,5.91,5.91,6.605,7.324999999999999,7.37
2022-09,4,6.2490000000000006,6.8925,7.325,7.425000000000001,7.470000000000001
2022-10,19,6.91,7.1,7.42,7.5,7.62
2022-11,3,6.760000000000001,6.85,7.0,7.25,7.3999999999999995
2022-12,3,7.122400000000001,7.2415,7.44,7.52,7.568
2023-01,1,6.15,6.15,6.15,6.15,6.15
2023-03,2,5.82,5.85,5.9,5.95,5.98
2023-06,1,5.36,5.36,5.36,5.36,5.36
2023-07,3,4.368,4.529999999999999,4.8,4.8,4.8
2023-09,1,4.97,4.97,4.97,4.97,4.97
2025-01,1,5.0,5.0,5.0,5.0,5.0
2025-02,1,5.41,5.41,5.41,5.41,5.41
2025-03,1,5.9,5.9,5.9,5.9,5.9
2025-04,1,10.0,10.0,10.0,10.0,10.0
2025-06,1,6.44,6.44,6.44,6.44,6.44
2025-07,2,6.010000000000001,6.025,6.05,6.074999999999999,6.09
2025-09,1,6.8,6.8,6.8,6.8,6.8
