month,unique_authors,bank:Alfa,bank:Avosend,bank:BCC,bank:Forte,bank:Freedom,bank:Halyk,bank:Jusan/Alatau,bank:Kaspi,bank:KoronaPay,bank:Paysend,bank:Qiwi,bank:SBP,bank:Sber,bank:T-Bank/Tinkoff,bank:VTB,category:bank_blocks_compliance,category:benchmark_reference,category:cash_atm,category:crossborder_howto,category:crypto,category:exchange_intent,category:family_support,category:fees_cost,category:partial_fill,category:rate_information,category:rent_study_medical,category:salary_income,category:successful_close,category:timing_forecast,category:trust_safety,category:urgency,category:willing_to_wait,direction:kzt_to_rub,direction:need_eur,direction:need_kzt_offer_unknown,direction:need_rub_offer_unknown,direction:rub_to_kzt,direction:unclassified,events,messages,probable_listings,strict_listings,text_messages
2022-06,118,0,0,16,3,6,5,3,10,20,0,0,0,42,19,7,2,2,106,20,5,1,1,15,0,50,6,2,2,4,10,0,0,0,0,0,0,1,5,611,588,7,6,570
2022-07,1308,33,0,138,33,52,114,34,236,211,0,76,6,1066,246,449,16,22,1949,211,57,17,54,443,18,1246,86,24,45,85,102,24,18,1,0,4,1,5,115,10692,10692,155,126,10421
2022-08,1437,44,0,149,30,100,68,31,471,129,0,63,6,790,213,515,26,17,1620,241,71,15,33,427,22,1028,63,42,40,71,126,29,24,1,0,7,2,3,96,11519,11517,131,109,11251
2022-09,2249,52,0,297,23,222,118,34,588,192,0,83,9,927,222,444,47,34,1891,290,139,59,43,437,28,964,138,45,46,89,177,33,26,3,0,21,1,6,104,16289,16282,159,135,16049
2022-10,3796,58,0,1255,54,1114,145,101,1931,357,1,840,43,1597,782,509,114,85,3275,792,402,123,69,1292,55,2666,351,110,179,210,437,77,90,8,0,22,0,11,178,32457,32457,272,219,31914
2022-11,2271,38,0,1169,44,638,712,45,1230,132,1,202,7,543,443,311,78,58,1607,538,163,42,60,1014,54,1521,241,112,123,123,535,56,78,7,0,8,2,8,72,22872,22872,127,97,22520
2022-12,2018,38,0,632,49,414,588,44,1409,93,2,392,20,554,486,439,102,43,1386,527,290,36,48,893,49,1625,258,146,84,149,294,90,55,6,0,13,1,6,45,21264,21264,119,71,20955
2023-01,1804,19,0,401,26,401,438,37,1056,74,13,213,27,459,373,246,123,26,1050,418,228,33,39,687,31,1132,186,60,79,71,283,40,45,6,0,3,0,3,42,14252,14252,82,54,14028
2023-02,1584,32,0,314,39,355,534,58,770,78,7,189,9,374,342,258,97,22,800,340,145,30,28,493,26,807,154,100,60,73,263,37,52,2,0,2,1,3,37,12036,12036,67,45,11823
2023-03,2037,25,0,295,44,507,477,97,894,147,12,304,31,545,386,584,107,19,1078,439,231,18,41,484,26,930,169,90,50,45,293,37,28,1,0,6,1,5,21,14206,14206,55,34,14009
2023-04,1504,8,1,219,39,296,271,38,595,52,10,152,4,243,178,285,76,7,612,288,117,13,30,320,12,591,90,46,36,40,192,25,21,1,0,1,0,1,16,8997,8997,36,19,8870
2023-05,1353,9,0,263,34,327,170,37,480,54,7,116,19,197,156,180,52,11,488,231,81,13,19,312,14,521,105,49,30,24,154,9,10,2,0,1,0,1,21,7721,7721,28,25,7595
2023-06,1457,12,0,347,37,336,208,135,581,62,1,146,11,229,219,180,61,13,651,247,119,12,19,287,20,612,86,26,25,56,214,11,21,1,0,1,0,0,33,8363,8362,51,35,8231
2023-07,1372,12,0,260,30,225,154,140,666,66,5,218,8,220,234,239,56,12,621,266,107,11,26,249,19,582,66,32,41,45,191,23,13,1,0,4,0,1,50,8166,8166,70,56,8027
2023-08,1664,24,1,452,38,475,225,473,1013,113,5,138,23,223,267,326,89,13,675,413,426,18,30,359,28,789,92,70,43,61,250,22,38,2,0,3,0,3,30,13128,13128,51,38,12961
2023-09,1299,12,0,366,60,361,234,507,658,78,3,73,13,236,115,166,49,11,445,302,246,19,27,349,16,530,75,46,43,32,182,26,23,1,0,1,0,1,30,10530,10530,41,33,10377
2023-10,1156,19,0,293,52,267,169,523,570,70,11,43,1,158,143,163,76,6,417,269,133,12,40,327,13,577,77,50,39,27,162,27,22,0,0,0,0,2,23,9215,9215,30,25,9124
2023-11,989,16,1,275,48,181,125,521,463,59,5,64,8,114,95,140,88,12,290,209,133,15,24,259,7,419,71,42,36,35,235,21,21,0,0,2,0,3,12,7884,7884,32,17,7783
2023-12,777,0,0,178,33,183,98,285,331,33,6,40,12,60,44,77,78,7,242,132,116,8,10,134,13,266,42,36,22,20,180,11,12,0,0,0,0,0,9,5997,5997,12,9,5896
2024-01,892,11,0,219,38,312,139,454,434,42,4,89,11,174,81,183,102,13,397,187,153,13,25,260,16,469,74,59,28,34,289,19,13,0,0,1,0,0,5,8810,8810,16,6,8734
2024-02,1128,8,0,161,27,449,104,418,509,51,5,157,6,185,56,288,117,5,334,266,159,15,31,246,20,476,82,43,27,38,222,20,16,0,0,1,0,0,13,9816,9816,23,14,9719
2024-03,1312,8,0,223,51,296,184,342,551,78,3,63,17,238,75,360,99,7,452,319,156,7,24,386,10,582,71,39,28,41,317,21,20,0,0,0,0,4,21,9584,9584,33,25,9443
2024-04,1083,9,0,135,33,372,126,302,429,55,2,26,9,165,65,208,77,5,381,216,97,8,20,221,7,480,47,29,30,36,243,18,11,0,0,2,0,2,17,7384,7384,27,21,7276
2024-05,1124,16,0,125,33,465,127,418,390,56,2,14,16,209,54,170,98,6,315,215,77,7,26,215,15,403,57,46,29,37,300,15,17,0,0,0,0,2,17,9103,9103,28,19,8956
2024-06,1120,6,1,166,39,564,105,408,345,60,4,16,23,169,73,234,89,9,385,232,124,19,30,249,18,529,94,48,33,59,362,26,43,0,0,2,1,0,19,10684,10684,28,22,10559
2024-07,1326,14,0,173,32,637,104,201,429,51,5,22,18,161,60,379,84,11,548,247,101,18,36,286,25,446,81,75,41,52,242,25,26,0,0,3,1,2,42,10314,10314,62,48,10185
2024-08,1407,22,0,177,34,669,153,255,567,70,10,15,12,182,36,305,116,6,485,256,122,23,20,243,23,388,89,57,47,51,233,21,27,0,0,1,1,1,36,10571,10571,47,39,10421
2024-09,1413,14,2,325,109,734,220,217,538,115,3,7,14,231,59,236,106,20,497,313,172,18,51,365,13,455,99,95,52,73,270,18,31,2,0,3,1,1,38,11341,11341,56,45,11181
2024-10,1112,6,0,236,49,599,124,177,460,38,6,8,6,170,34,184,77,5,345,223,78,7,25,215,12,325,66,55,37,35,207,12,20,0,0,0,0,0,17,8338,8338,21,17,8251
2024-11,1119,15,0,239,49,606,101,233,409,44,5,12,8,153,33,195,104,8,313,220,118,11,25,256,19,381,73,72,39,53,212,25,18,0,0,0,0,2,26,8531,8531,32,28,8396
2024-12,1029,8,0,184,44,510,138,128,347,34,0,7,15,161,31,146,113,4,375,181,95,12,28,209,14,323,56,66,31,38,262,21,22,0,0,0,1,1,15,7895,7895,23,17,7772
2025-01,1248,22,0,292,87,677,171,176,597,53,4,11,23,129,72,158,109,9,421,223,117,9,50,332,17,399,114,89,40,57,250,28,26,2,0,1,0,1,18,10787,10787,31,22,10630
2025-02,952,4,0,151,46,376,149,79,362,22,0,4,16,88,49,140,95,5,342,151,85,2,26,184,14,242,76,48,29,30,167,16,14,1,0,0,0,1,17,5898,5898,24,19,5831
2025-03,996,5,0,177,44,349,80,105,379,34,1,1,9,120,29,86,143,4,298,142,195,13,25,161,12,226,75,47,27,30,251,23,16,0,0,0,0,1,23,6171,6171,27,24,6106
2025-04,898,5,0,156,37,326,74,116,364,35,4,6,8,117,41,120,115,4,293,126,89,6,20,194,6,250,53,67,25,26,161,22,16,3,0,1,1,1,15,5843,5843,31,21,5760
2025-05,839,5,3,146,29,311,100,109,459,37,1,14,16,143,52,125,88,7,283,133,110,10,22,183,11,257,64,46,11,35,212,23,23,1,0,2,0,1,14,5588,5588,30,18,5510
2025-06,892,17,0,157,31,331,71,85,402,29,1,4,11,137,35,134,92,4,292,120,72,17,29,130,13,237,56,38,26,24,178,16,17,0,0,1,1,0,21,5636,5636,25,23,5554
2025-07,950,10,0,209,42,390,103,98,415,57,2,9,14,127,62,190,124,6,335,148,76,5,29,162,16,245,64,45,24,35,211,16,19,1,1,2,1,1,28,8048,8048,39,34,7959
2025-08,966,15,2,120,31,382,83,126,463,32,5,5,29,161,91,235,120,3,314,124,98,7,22,153,17,282,75,48,20,29,220,16,14,0,0,0,0,1,21,7036,7036,25,22,6958
2025-09,963,16,1,160,39,449,88,86,491,24,15,9,14,127,60,215,162,6,292,133,142,10,29,175,10,222,65,52,35,39,238,19,23,0,0,4,0,1,19,7199,7199,29,24,7088
2025-10,1178,27,0,231,59,580,119,85,547,54,17,5,8,96,48,189,199,8,297,163,142,10,41,191,20,223,89,71,50,66,320,25,56,0,0,2,0,2,23,10386,10386,31,27,10248
2025-11,897,25,0,258,20,554,82,67,431,20,3,6,40,112,65,176,142,2,228,137,72,7,19,144,12,211,70,53,22,45,226,21,36,0,0,0,0,0,11,7682,7682,16,11,7614
2025-12,761,7,1,265,26,320,98,62,301,19,7,4,13,66,49,134,109,8,170,111,87,11,30,176,15,164,62,30,20,27,228,12,17,0,0,1,0,2,12,5418,5418,19,15,5363
2026-01,807,25,0,307,19,335,79,28,366,22,5,2,9,54,61,138,111,2,244,102,72,6,28,129,8,176,68,76,17,39,206,13,23,0,0,0,1,1,16,5925,5925,22,18,5847
2026-02,685,14,0,271,24,299,57,21,276,20,2,6,9,44,38,98,100,3,119,97,69,6,27,121,9,106,58,23,24,23,180,10,17,0,0,0,0,1,6,4836,4836,8,7,4777
2026-03,741,16,4,404,27,359,79,37,339,23,0,3,11,87,43,83,112,3,155,96,80,8,32,179,9,172,63,36,25,35,172,28,27,0,0,0,0,0,14,5308,5308,21,14,5249
2026-04,685,9,1,436,20,406,43,52,277,22,2,5,17,79,42,97,105,2,195,89,94,4,21,156,14,168,61,32,18,24,208,16,24,1,0,3,0,0,11,5690,5690,19,15,5650
2026-05,601,6,0,440,7,288,27,27,244,13,4,3,19,35,29,41,77,0,129,80,38,8,22,164,9,114,55,42,14,21,196,15,24,0,0,0,0,0,4,5061,5061,6,4,5028
2026-06,583,21,0,305,15,295,28,40,248,19,5,1,4,52,26,90,78,2,144,100,53,7,23,131,9,125,72,34,9,30,162,9,20,0,0,0,0,0,4,5049,5049,6,4,5011
2026-07,813,25,2,491,33,629,63,40,325,57,3,3,13,82,65,126,65,3,213,130,54,8,31,203,18,182,111,35,21,28,200,14,22,0,0,3,1,2,8,6358,6358,21,14,6305
2026-08,952,22,3,613,35,722,80,47,425,15,4,2,13,79,80,214,112,5,244,218,89,12,23,256,24,272,101,37,21,42,293,24,21,0,0,0,0,2,12,7697,7697,28,14,7611
2026-09,111,1,0,74,3,46,11,2,20,2,0,0,3,3,5,9,2,0,16,12,1,0,4,27,1,41,10,3,3,7,18,1,2,0,0,0,0,1,1,560,560,3,2,553
