period,corridor,indicator,scenario,horizon_days,raw_candidate_count,signal_count,hit_rate,random_day_hit_rate,lift,benefit_bps_symmetric,benefit_bps_ci_low,benefit_bps_ci_high,benefit_bps_forward,signals_per_week,raw_cluster_share_gap_le_3d,post_cooldown_cluster_share_gap_le_3d,post_cooldown_gap_cv
ALL,RUB/AMD,momentum_down_3,NOW_FAVORABLE,1,278,164,0.6158536585365854,0.551849166062364,1.1159818595557836,29.631928347957594,19.370884723608583,43.41471837062204,13.091208595518895,0.38343353373413497,0.4620938628158845,0.0,0.9151238897436857
2020,RUB/AMD,momentum_down_3,NOW_FAVORABLE,1,36,24,0.7083333333333334,0.5777777777777777,1.2259615384615385,28.657155303197282,20.319430331592773,36.97810208076885,30.417086907974422,0.45901639344262296,0.4,0.0,0.7977483104738645
2021,RUB/AMD,momentum_down_3,NOW_FAVORABLE,1,38,23,0.6521739130434783,0.5325443786982249,1.2246376811594202,16.227292829965094,10.14580848750861,23.477647223829763,14.223355432137957,0.4410958904109589,0.4864864864864865,0.0,1.040234659988538
2022,RUB/AMD,momentum_down_3,NOW_FAVORABLE,1,40,22,0.5,0.5261538461538462,0.9502923976608186,66.63314610378043,-5.694647738082691,144.81784365811097,3.6948432986172466,0.4230769230769231,0.5128205128205128,0.0,0.79686564932513
2023,RUB/AMD,momentum_down_3,NOW_FAVORABLE,1,34,18,0.5555555555555556,0.5612535612535613,0.9898477157360406,30.419627521065294,7.434298533515787,54.6559384168335,20.08406265303124,0.34520547945205476,0.5454545454545454,0.0,0.8410608508404506
2024,RUB/AMD,momentum_down_3,NOW_FAVORABLE,1,32,17,0.5294117647058824,0.5653409090909091,0.9364469405852794,26.099762375508075,11.819042560181165,42.280567274238464,-5.777454143008819,0.32513661202185795,0.4838709677419355,0.0,1.0066067468764268
2025,RUB/AMD,momentum_down_3,NOW_FAVORABLE,1,39,21,0.5238095238095238,0.4897959183673469,1.0694444444444444,23.08442290991539,6.083688307081664,45.985875176798324,-0.48595411491957324,0.40273972602739727,0.5263157894736842,0.0,0.6868764746236129
2026,RUB/AMD,momentum_down_3,NOW_FAVORABLE,1,10,9,0.8888888888888888,0.6092436974789915,1.4590038314176246,25.961241726821644,0.9829197906628409,42.866905558919214,36.0757096989901,0.2581967213114754,0.1111111111111111,0.0,0.9308408298957075
ALL,RUB/AMD,momentum_down_3,NOW_FAVORABLE,3,278,164,0.39634146341463417,0.33345428156748913,1.1885931155285439,74.76181605900332,53.67200782464614,101.00346068125994,14.517047453949095,0.3836898395721925,0.4620938628158845,0.0,0.9151238897436857
2020,RUB/AMD,momentum_down_3,NOW_FAVORABLE,3,36,24,0.5833333333333334,0.35873015873015873,1.6261061946902655,65.48163943543585,45.71593102772821,84.0679180663803,36.03825214932913,0.45901639344262296,0.4,0.0,0.7977483104738645
2021,RUB/AMD,momentum_down_3,NOW_FAVORABLE,3,38,23,0.391304347826087,0.28994082840236685,1.3496007098491571,41.16524418426907,28.061919372866203,57.13719367426796,22.51894381064367,0.4410958904109589,0.4864864864864865,0.0,1.040234659988538
2022,RUB/AMD,momentum_down_3,NOW_FAVORABLE,3,40,22,0.3181818181818182,0.3169230769230769,1.0039717563989408,200.55880678970408,76.31422205315035,329.89934595798195,16.436455753624756,0.4230769230769231,0.5128205128205128,0.0,0.79686564932513
2023,RUB/AMD,momentum_down_3,NOW_FAVORABLE,3,34,18,0.2777777777777778,0.36182336182336183,0.7677165354330708,63.56005871354682,24.76494608314092,105.69699264461174,-1.1241399315415967,0.34520547945205476,0.5454545454545454,0.0,0.8410608508404506
2024,RUB/AMD,momentum_down_3,NOW_FAVORABLE,3,32,17,0.35294117647058826,0.39204545454545453,0.9002557544757034,74.06522650528682,48.67412522592772,99.5062186317461,15.133277880583512,0.32513661202185795,0.4838709677419355,0.0,1.0066067468764268
2025,RUB/AMD,momentum_down_3,NOW_FAVORABLE,3,39,21,0.3333333333333333,0.282798833819242,1.1786941580756014,57.12875664963784,33.70063166073471,87.7493379329764,-10.973018801623793,0.40273972602739727,0.5263157894736842,0.0,0.6868764746236129
2026,RUB/AMD,momentum_down_3,NOW_FAVORABLE,3,10,9,0.5555555555555556,0.3813559322033898,1.4567901234567902,53.750139844644735,14.314474623951076,78.6025378900374,29.573414721705554,0.2603305785123967,0.1111111111111111,0.0,0.9308408298957075
ALL,RUB/AMD,momentum_down_3,NOW_FAVORABLE,5,278,164,0.3048780487804878,0.26761074800290485,1.1392593573154186,83.38560938527047,57.85953984899987,115.5624089353812,15.492270835203865,0.3839464882943144,0.4620938628158845,0.0,0.9151238897436857
2020,RUB/AMD,momentum_down_3,NOW_FAVORABLE,5,36,24,0.5,0.29523809523809524,1.6935483870967742,73.464267253991,36.524982606029916,108.20933552792215,45.109269277122394,0.45901639344262296,0.4,0.0,0.7977483104738645
2021,RUB/AMD,momentum_down_3,NOW_FAVORABLE,5,38,23,0.30434782608695654,0.22781065088757396,1.3359683794466404,42.50720804113575,28.62567445926351,56.07706169531868,18.601916670591212,0.4410958904109589,0.4864864864864865,0.0,1.040234659988538
2022,RUB/AMD,momentum_down_3,NOW_FAVORABLE,5,40,22,0.3181818181818182,0.26153846153846155,1.2165775401069518,236.60798394221263,91.69944931252465,393.15557392198656,32.66450589759501,0.4230769230769231,0.5128205128205128,0.0,0.79686564932513
2023,RUB/AMD,momentum_down_3,NOW_FAVORABLE,5,34,18,0.2777777777777778,0.3076923076923077,0.9027777777777778,72.43428522776163,18.486001120530226,123.68974723031424,3.235721345844411,0.34520547945205476,0.5454545454545454,0.0,0.8410608508404506
2024,RUB/AMD,momentum_down_3,NOW_FAVORABLE,5,32,17,0.23529411764705882,0.3096590909090909,0.7598488936859148,74.15653560458492,43.306546411237434,109.45073916074146,13.28913953961081,0.32513661202185795,0.4838709677419355,0.0,1.0066067468764268
2025,RUB/AMD,momentum_down_3,NOW_FAVORABLE,5,39,21,0.2857142857142857,0.2099125364431487,1.361111111111111,60.29163070401611,34.52256136625533,92.68197814692229,-20.143256000500227,0.40273972602739727,0.5263157894736842,0.0,0.6868764746236129
2026,RUB/AMD,momentum_down_3,NOW_FAVORABLE,5,10,9,0.3333333333333333,0.32905982905982906,1.0129870129870129,64.43982363051008,5.3216274790246345,102.18207146285519,38.90621569791919,0.2625,0.1111111111111111,0.0,0.9308408298957075
ALL,RUB/AMD,momentum_down_3,NOW_FAVORABLE,10,277,163,0.20245398773006135,0.19489981785063754,1.038759245456109,97.25683284603558,68.11791852075206,129.99871684352718,19.980347451762697,0.38288590604026845,0.463768115942029,0.0,0.9168208162558079
2020,RUB/AMD,momentum_down_3,NOW_FAVORABLE,10,36,24,0.2916666666666667,0.21587301587301588,1.3511029411764706,83.26883866385411,38.18601902855519,132.2156212476905,64.20418694868168,0.45901639344262296,0.4,0.0,0.7977483104738645
2021,RUB/AMD,momentum_down_3,NOW_FAVORABLE,10,38,23,0.17391304347826086,0.15976331360946747,1.0885668276972624,47.4228741249322,25.12615862991191,69.27900454935363,18.708340347917414,0.4410958904109589,0.4864864864864865,0.0,1.040234659988538
2022,RUB/AMD,momentum_down_3,NOW_FAVORABLE,10,40,22,0.18181818181818182,0.18153846153846154,1.0015408320493067,284.39223678106123,157.7568346023165,414.52468007164435,15.36457961570755,0.4230769230769231,0.5128205128205128,0.0,0.79686564932513
2023,RUB/AMD,momentum_down_3,NOW_FAVORABLE,10,34,18,0.2222222222222222,0.23646723646723647,0.9397590361445782,87.95156962426093,18.979253536008258,161.36708876331366,21.238293853526727,0.34520547945205476,0.5454545454545454,0.0,0.8410608508404506
2024,RUB/AMD,momentum_down_3,NOW_FAVORABLE,10,32,17,0.23529411764705882,0.2471590909090909,0.9519945909398242,96.99175812358733,26.941614927544755,172.19218898902238,66.73418689383233,0.32513661202185795,0.4838709677419355,0.0,1.0066067468764268
2025,RUB/AMD,momentum_down_3,NOW_FAVORABLE,10,39,21,0.19047619047619047,0.14285714285714285,1.3333333333333333,65.02022279177993,28.284162948342143,108.26251171651066,-35.68447223053646,0.40273972602739727,0.5263157894736842,0.0,0.6868764746236129
2026,RUB/AMD,momentum_down_3,NOW_FAVORABLE,10,10,9,0.2222222222222222,0.2445414847161572,0.9087301587301587,68.83553023323785,5.359373554027925,108.59849123029394,36.2435036339228,0.2680851063829787,0.1111111111111111,0.0,0.9308408298957075
ALL,RUB/AMD,momentum_down_3,NOW_FAVORABLE,20,276,162,0.12962962962962962,0.14233308877476156,0.9107483772432226,109.69611808040185,74.65069002628366,147.1615893019648,35.487266194098986,0.38310810810810814,0.46545454545454545,0.0,0.9198784030747434
2020,RUB/AMD,momentum_down_3,NOW_FAVORABLE,20,36,24,0.25,0.17777777777777778,1.40625,93.08378752611917,41.02427191061363,154.58423795230465,95.64364467752058,0.45901639344262296,0.4,0.0,0.7977483104738645
2021,RUB/AMD,momentum_down_3,NOW_FAVORABLE,20,38,23,0.13043478260869565,0.12130177514792899,1.0752916224814422,47.010896816443264,4.4516802778810085,85.25488296429793,18.081714360626837,0.4410958904109589,0.4864864864864865,0.0,1.040234659988538
2022,RUB/AMD,momentum_down_3,NOW_FAVORABLE,20,40,22,0.09090909090909091,0.11692307692307692,0.777511961722488,376.2673744485195,245.82078892497643,528.3329564523502,82.62792054203729,0.4230769230769231,0.5128205128205128,0.0,0.79686564932513
2023,RUB/AMD,momentum_down_3,NOW_FAVORABLE,20,34,18,0.16666666666666666,0.16524216524216523,1.0086206896551724,84.92566565011617,-10.518966111560962,165.80085035584273,61.83876114811648,0.34520547945205476,0.5454545454545454,0.0,0.8410608508404506
2024,RUB/AMD,momentum_down_3,NOW_FAVORABLE,20,32,17,0.11764705882352941,0.1875,0.6274509803921569,87.92958869292207,12.410457014137936,165.25854834129544,80.56548286060318,0.32513661202185795,0.4838709677419355,0.0,1.0066067468764268
2025,RUB/AMD,momentum_down_3,NOW_FAVORABLE,20,39,21,0.047619047619047616,0.08163265306122448,0.5833333333333334,57.47343952534458,-12.13157541577765,131.6259182712343,-67.23875083691895,0.40273972602739727,0.5263157894736842,0.0,0.6868764746236129
2026,RUB/AMD,momentum_down_3,NOW_FAVORABLE,20,9,8,0.125,0.228310502283105,0.5475,56.15910813049192,-12.088370304785384,109.24048024681872,11.191568668377084,0.24888888888888888,0.125,0.0,0.9449352658263389
ALL,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,1,467,162,0.6234567901234568,0.549757733879985,1.1340573341703286,29.84106894936383,19.32642814274038,41.608448600943426,20.290610982237084,0.38995873452544705,0.8669527896995708,0.0,2.5314118491404884
2020,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,1,46,15,0.4666666666666667,0.5777777777777777,0.8076923076923078,22.431001522332842,6.794489491613706,37.00517545303637,-16.227546750785862,0.28688524590163933,0.8888888888888888,0.0,1.9468834987819394
2021,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,1,49,18,0.6111111111111112,0.5325443786982249,1.1475308641975308,13.506324597733375,1.0264397805716883,31.962975358130546,10.074691674804448,0.34520547945205476,0.8541666666666666,0.0,1.8697569819548336
2022,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,1,39,13,0.6153846153846154,0.5261538461538462,1.1695906432748537,98.18731121995376,62.05003115202789,118.04429084193629,74.55541525852347,0.25,0.8947368421052632,0.0,1.871960028098876
2023,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,1,43,12,0.5,0.5612535612535613,0.8908629441624365,24.470482876744253,3.9795531271637605,120.94887442521711,5.646074466886202,0.23013698630136983,0.9523809523809523,0.0,0.7357467190367902
2024,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,1,39,15,0.5333333333333333,0.5653409090909091,0.9433835845896148,9.920824645370844,-11.054939980691683,37.253400027009874,6.8277310784262,0.28688524590163933,0.8421052631578947,0.0,2.256319272890252
2025,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,1,125,43,0.6511627906976745,0.4897959183673469,1.3294573643410854,34.50965801572317,16.78486556839394,49.70653096620477,31.06486712373297,0.8246575342465754,0.8951612903225806,0.0,1.7930534333646795
2026,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,1,38,13,0.8461538461538461,0.6092436974789915,1.3888594164456234,31.367013022229244,15.383511245019529,50.415380387370774,28.076660987642924,0.3729508196721311,0.8648648648648649,0.0,1.8376508792263857
ALL,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,3,467,162,0.4074074074074074,0.33159268929503916,1.2286380869058033,50.65841828004192,35.17897617748682,68.85912544870168,22.418143807732324,0.39022711631108054,0.8669527896995708,0.0,2.5314118491404884
2020,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,3,46,15,0.26666666666666666,0.35873015873015873,0.743362831858407,36.32662943870246,16.66466044523478,54.39166393627134,-4.61364395882747,0.28688524590163933,0.8888888888888888,0.0,1.9468834987819394
2021,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,3,49,18,0.4444444444444444,0.28994082840236685,1.5328798185941044,26.005902461764258,12.938386077346168,46.96574110209997,16.802266403882015,0.34520547945205476,0.8541666666666666,0.0,1.8697569819548336
2022,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,3,39,13,0.38461538461538464,0.3169230769230769,1.2135922330097089,165.20811019417198,114.31228713068062,192.3819409912685,77.80190292321986,0.25,0.8947368421052632,0.0,1.871960028098876
2023,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,3,43,12,0.3333333333333333,0.36182336182336183,0.921259842519685,30.80155551720561,4.471680453292828,159.76766488436104,-8.689480361005277,0.23013698630136983,0.9523809523809523,0.0,0.7357467190367902
2024,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,3,39,15,0.3333333333333333,0.39204545454545453,0.8502415458937198,28.852873395330597,1.4235567275914436,59.57030614452047,9.385748069150397,0.28688524590163933,0.8421052631578947,0.0,2.256319272890252
2025,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,3,125,43,0.4186046511627907,0.282798833819242,1.4802205706065692,59.33043655597047,32.36883117109862,84.598923665366,33.2627246242675,0.8246575342465754,0.8951612903225806,0.0,1.7930534333646795
2026,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,3,38,13,0.46153846153846156,0.3813559322033898,1.2102564102564104,47.74435914830632,35.186890367205905,82.07953546943457,22.44710140456569,0.3760330578512397,0.8648648648648649,0.0,1.8376508792263857
ALL,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,5,467,162,0.32098765432098764,0.26614408361328856,1.2060672172874134,61.209836003393946,44.33789772532935,81.72228750473585,23.63683374128866,0.3904958677685951,0.8669527896995708,0.0,2.5314118491404884
2020,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,5,46,15,0.26666666666666666,0.29523809523809524,0.9032258064516129,49.330980382040416,13.9053411146764,73.65413141813386,-2.486543963553801,0.28688524590163933,0.8888888888888888,0.0,1.9468834987819394
2021,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,5,49,18,0.3888888888888889,0.22781065088757396,1.7070707070707072,38.47293936367052,26.53829006625447,56.56841909364007,21.942604181525255,0.34520547945205476,0.8541666666666666,0.0,1.8697569819548336
2022,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,5,39,13,0.3076923076923077,0.26153846153846155,1.1764705882352942,206.3875039643209,175.660125684014,238.76227864936777,91.52700341301107,0.25,0.8947368421052632,0.0,1.871960028098876
2023,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,5,43,12,0.25,0.3076923076923077,0.8125,43.707240557122056,9.798738827477619,195.26890102037092,-13.472948379563526,0.23013698630136983,0.9523809523809523,0.0,0.7357467190367902
2024,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,5,39,15,0.2,0.3096590909090909,0.6458715596330276,41.077457391524376,10.100850844766926,73.61466713660245,18.05447856951158,0.28688524590163933,0.8421052631578947,0.0,2.256319272890252
2025,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,5,125,43,0.32558139534883723,0.2099125364431487,1.5510335917312663,63.52192675749363,35.81374207230184,89.3903593926794,27.372119240568658,0.8246575342465754,0.8951612903225806,0.0,1.7930534333646795
2026,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,5,38,13,0.38461538461538464,0.32905982905982906,1.168831168831169,51.330506234803416,34.05843669838368,88.05547785065403,16.133900558894105,0.37916666666666665,0.8648648648648649,0.0,1.8376508792263857
ALL,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,10,467,162,0.2345679012345679,0.1925953627524308,1.2179311998082225,86.91775658937374,66.42498347736641,111.55994461488946,27.864769749962104,0.3911693687478441,0.8669527896995708,0.0,2.5314118491404884
2020,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,10,46,15,0.2,0.21587301587301588,0.9264705882352942,73.84143397068485,24.164514489240528,98.67989371140699,9.255741623031547,0.28688524590163933,0.8888888888888888,0.0,1.9468834987819394
2021,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,10,49,18,0.3333333333333333,0.15976331360946747,2.0864197530864197,76.839734926723,48.097836890985704,99.6529197628701,43.53317971501844,0.34520547945205476,0.8541666666666666,0.0,1.8697569819548336
2022,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,10,39,13,0.23076923076923078,0.18153846153846154,1.2711864406779663,275.7911683521684,233.3389277108329,357.1293502191568,117.79134763258688,0.25,0.8947368421052632,0.0,1.871960028098876
2023,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,10,43,12,0.25,0.23646723646723647,1.0572289156626506,71.14287411788457,29.101128208092003,257.45822119027224,-11.274360672190369,0.23013698630136983,0.9523809523809523,0.0,0.7357467190367902
2024,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,10,39,15,0.06666666666666667,0.2471590909090909,0.2697318007662835,64.7863746827233,26.200216377108735,123.9958713672136,29.18730732673203,0.28688524590163933,0.8421052631578947,0.0,2.256319272890252
2025,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,10,125,43,0.20930232558139536,0.14285714285714285,1.4651162790697676,80.39288492345823,54.465115579723424,113.73432440765474,13.948336076746177,0.8246575342465754,0.8951612903225806,0.0,1.7930534333646795
2026,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,10,38,13,0.23076923076923078,0.2445414847161572,0.9436813186813188,75.67245039565488,52.34950747189795,115.07772119566818,15.599968727254621,0.3872340425531915,0.8648648648648649,0.0,1.8376508792263857
ALL,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,20,467,162,0.18518518518518517,0.140015015015015,1.322609472743521,129.1322463177068,97.2111310756375,167.63067663562066,30.136578271741772,0.3925233644859813,0.8669527896995708,0.0,2.5314118491404884
2020,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,20,46,15,0.2,0.17777777777777778,1.125,104.6478008119587,70.0246666281557,155.16561243836546,2.9182288283667037,0.28688524590163933,0.8888888888888888,0.0,1.9468834987819394
2021,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,20,49,18,0.2222222222222222,0.12130177514792899,1.8319783197831978,138.82447428852592,84.51057178932943,196.50287287153955,92.12403831472741,0.34520547945205476,0.8541666666666666,0.0,1.8697569819548336
2022,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,20,39,13,0.15384615384615385,0.11692307692307692,1.3157894736842106,433.94649339324985,311.99426298524565,570.8737026030642,194.87498686287688,0.25,0.8947368421052632,0.0,1.871960028098876
2023,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,20,43,12,0.08333333333333333,0.16524216524216523,0.5043103448275862,99.42175563807255,69.96192744471722,199.80728745597722,-50.14710293577306,0.23013698630136983,0.9523809523809523,0.0,0.7357467190367902
2024,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,20,39,15,0.06666666666666667,0.1875,0.35555555555555557,107.38077820527919,50.91551364086236,227.04949350332345,67.47903061244001,0.28688524590163933,0.8421052631578947,0.0,2.256319272890252
2025,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,20,125,43,0.18604651162790697,0.08163265306122448,2.2790697674418605,107.14994770834299,73.70142611434649,152.46000597949785,-19.536289067363345,0.8246575342465754,0.8951612903225806,0.0,1.7930534333646795
2026,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,20,38,13,0.15384615384615385,0.228310502283105,0.6738461538461539,120.09998266674043,73.09417061730625,177.275821680865,10.887599595300635,0.40444444444444444,0.8648648648648649,0.0,1.8376508792263857
ALL,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,1,189,128,0.4765625,0.4692982456140351,1.0154789719626167,-29.219152498597857,-47.925861711062566,-16.654542995609166,-8.803867996098308,0.30178511283260356,0.44680851063829785,0.0,1.409755916619672
2020,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,1,24,18,0.5,0.4222222222222222,1.1842105263157894,-14.914130819868076,-27.93074877551508,1.2279744926042544,-10.903915150345462,0.3442622950819672,0.391304347826087,0.0,1.688362897733237
2021,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,1,37,21,0.47619047619047616,0.44970414201183434,1.0588972431077692,-13.379633096850434,-22.901888566256257,-5.456913355767409,-1.60084262969875,0.40273972602739727,0.6111111111111112,0.0,0.9971791199093063
2022,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,1,12,11,0.18181818181818182,0.41846153846153844,0.4344919786096257,-152.1428382018921,-221.64018531089485,-69.37573262622688,-128.81238844386544,0.21153846153846154,0.09090909090909091,0.0,1.0336439285955652
2023,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,1,13,9,0.3333333333333333,0.5213675213675214,0.6393442622950819,-34.90024264088828,-53.687705328567034,-19.870272490745272,-13.478605390766177,0.17260273972602738,0.4166666666666667,0.0,1.5583084399148315
2024,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,1,17,12,0.75,0.5255681818181818,1.427027027027027,-15.129923133866585,-44.75263133452521,28.310490450191246,65.76523568058887,0.22950819672131148,0.4375,0.0,1.4093323679884708
2025,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,1,25,18,0.4444444444444444,0.4314868804664723,1.03003003003003,-35.934590953137025,-51.27930628450294,-18.04009199973856,-13.806003805567151,0.34520547945205476,0.4166666666666667,0.0,0.8299589857106585
2026,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,1,20,11,0.5454545454545454,0.5840336134453782,0.9339437540876389,-3.0191692796435365,-28.792329927868,6.708456535586265,21.369064316819255,0.3155737704918033,0.631578947368421,0.0,1.4906349834251293
ALL,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,3,189,128,0.5,0.5128017556693489,0.9750356633380884,-1.9390086301692935,-25.134674230152626,14.862024815622334,-4.212026133950236,0.30198854061341424,0.44680851063829785,0.0,1.409755916619672
2020,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,3,24,18,0.4444444444444444,0.5206349206349207,0.8536585365853657,18.156253003057614,-10.18321810542273,45.487312301032674,6.007000158160745,0.3442622950819672,0.391304347826087,0.0,1.688362897733237
2021,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,3,37,21,0.42857142857142855,0.48520710059171596,0.8832752613240418,-2.878008979455977,-9.33524066749804,2.2021133979028362,0.5087333480331034,0.40273972602739727,0.6111111111111112,0.0,0.9971791199093063
2022,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,3,12,11,0.36363636363636365,0.5107692307692308,0.7119386637458927,-107.77435063885487,-242.87570913297998,27.24515453400205,-121.12916619249768,0.21153846153846154,0.09090909090909091,0.0,1.0336439285955652
2023,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,3,13,9,0.5555555555555556,0.5555555555555556,1.0,7.5954218352358644,-1.2022692813542397,24.322662586382904,-6.301208960765309,0.17260273972602738,0.4166666666666667,0.0,1.5583084399148315
2024,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,3,17,12,0.5833333333333334,0.5596590909090909,1.0423011844331642,22.120910021095764,-10.394787630438096,113.68625976937277,76.17021573758991,0.22950819672131148,0.4375,0.0,1.4093323679884708
2025,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,3,25,18,0.6111111111111112,0.49271137026239065,1.240302432610125,4.440345511948371,-23.156727652753524,37.47906235983527,-12.936920420816598,0.34520547945205476,0.4166666666666667,0.0,0.8299589857106585
