period,corridor,indicator,scenario,horizon_days,raw_candidate_count,signal_count,hit_rate,random_day_hit_rate,lift,benefit_bps_symmetric,benefit_bps_ci_low,benefit_bps_ci_high,benefit_bps_forward,signals_per_week,raw_cluster_share_gap_le_3d,post_cooldown_cluster_share_gap_le_3d,post_cooldown_gap_cv,oot_periods,oot_lift_ge_1_count,oot_lift_ge_1_3_count,frequency_gate,benefit_ci_positive_gate,baseline_verdict
ALL,RUB/AMD,momentum_down_3,NOW_FAVORABLE,1,278,164,0.6158536585365854,0.551849166062364,1.1159818595557836,29.631928347957594,19.370884723608583,43.41471837062204,13.091208595518895,0.38343353373413497,0.4620938628158845,0.0,0.9151238897436857,7,4,1,False,True,RESEARCH_ONLY
ALL,RUB/AMD,momentum_down_3,NOW_FAVORABLE,3,278,164,0.39634146341463417,0.33345428156748913,1.1885931155285439,74.76181605900332,53.67200782464614,101.00346068125994,14.517047453949095,0.3836898395721925,0.4620938628158845,0.0,0.9151238897436857,7,5,3,False,True,RESEARCH_ONLY
ALL,RUB/AMD,momentum_down_3,NOW_FAVORABLE,5,278,164,0.3048780487804878,0.26761074800290485,1.1392593573154186,83.38560938527047,57.85953984899987,115.5624089353812,15.492270835203865,0.3839464882943144,0.4620938628158845,0.0,0.9151238897436857,7,5,3,False,True,RESEARCH_ONLY
ALL,RUB/AMD,momentum_down_3,NOW_FAVORABLE,10,277,163,0.20245398773006135,0.19489981785063754,1.038759245456109,97.25683284603558,68.11791852075206,129.99871684352718,19.980347451762697,0.38288590604026845,0.463768115942029,0.0,0.9168208162558079,7,4,2,False,True,RESEARCH_ONLY
ALL,RUB/AMD,momentum_down_3,NOW_FAVORABLE,20,276,162,0.12962962962962962,0.14233308877476156,0.9107483772432226,109.69611808040185,74.65069002628366,147.1615893019648,35.487266194098986,0.38310810810810814,0.46545454545454545,0.0,0.9198784030747434,7,3,1,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,1,467,162,0.6234567901234568,0.549757733879985,1.1340573341703286,29.84106894936383,19.32642814274038,41.608448600943426,20.290610982237084,0.38995873452544705,0.8669527896995708,0.0,2.5314118491404884,7,4,2,False,True,RESEARCH_ONLY
ALL,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,3,467,162,0.4074074074074074,0.33159268929503916,1.2286380869058033,50.65841828004192,35.17897617748682,68.85912544870168,22.418143807732324,0.39022711631108054,0.8669527896995708,0.0,2.5314118491404884,7,4,2,False,True,RESEARCH_ONLY
ALL,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,5,467,162,0.32098765432098764,0.26614408361328856,1.2060672172874134,61.209836003393946,44.33789772532935,81.72228750473585,23.63683374128866,0.3904958677685951,0.8669527896995708,0.0,2.5314118491404884,7,4,2,False,True,RESEARCH_ONLY
ALL,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,10,467,162,0.2345679012345679,0.1925953627524308,1.2179311998082225,86.91775658937374,66.42498347736641,111.55994461488946,27.864769749962104,0.3911693687478441,0.8669527896995708,0.0,2.5314118491404884,7,4,2,False,True,RESEARCH_ONLY
ALL,RUB/AMD,low_level_90_p10,NOW_FAVORABLE,20,467,162,0.18518518518518517,0.140015015015015,1.322609472743521,129.1322463177068,97.2111310756375,167.63067663562066,30.136578271741772,0.3925233644859813,0.8669527896995708,0.0,2.5314118491404884,7,4,3,False,True,RESEARCH_ONLY
ALL,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,1,189,128,0.4765625,0.4692982456140351,1.0154789719626167,-29.219152498597857,-47.925861711062566,-16.654542995609166,-8.803867996098308,0.30178511283260356,0.44680851063829785,0.0,1.409755916619672,7,4,1,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,3,189,128,0.5,0.5128017556693489,0.9750356633380884,-1.9390086301692935,-25.134674230152626,14.862024815622334,-4.212026133950236,0.30198854061341424,0.44680851063829785,0.0,1.409755916619672,7,4,0,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,5,189,128,0.4765625,0.5109809663250366,0.9326423710601719,19.141869145714548,-1.8919117432923598,37.58010504443456,-1.8659289193951747,0.3021922428330523,0.44680851063829785,0.0,1.409755916619672,7,2,0,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,10,189,128,0.4765625,0.5232856618995233,0.9107119393833216,53.14222871812226,30.567370281680322,78.67305065144174,1.0311699433312462,0.3027027027027027,0.44680851063829785,0.0,1.409755916619672,7,2,1,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,20,189,128,0.46875,0.5241074714758925,0.8943776334269663,101.83872749110395,73.22876655451192,134.93887416939415,-7.030682454487576,0.3037288135593221,0.44680851063829785,0.0,1.409755916619672,7,2,0,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/AMD,seasonal_positive_month,WINDOW_CLOSING,1,40,40,0.575,0.47967863894139884,1.1987192118226602,-22.438294861197342,-48.80055137150206,0.502822627206153,-7.3080902973428605,0.12340237990304098,0.0,0.0,0.6163347344743466,7,4,3,False,False,DROP_OR_NEGATIVE_CONTROL
