policy,years,scope,rows,dates,signals,lift,forward_delta_bps,weekly_mean,weeks_1_2
baseline_reproduction::legacy,"(2023, 2024, 2025)",all,3635,727,663,1.4351906688933171,47.68564601517411,0.8723684210526316,0.8157894736842105
baseline_reproduction::legacy,"(2023, 2024, 2025)",KZT,727,727,133,1.5875079151805231,42.03722860984865,0.875,0.8026315789473685
baseline_reproduction::legacy,"(2026,)",all,780,156,168,1.3752929360562436,37.770423127129746,1.018181818181818,0.9030303030303031
baseline_reproduction::legacy,"(2026,)",KZT,156,156,33,0.9952153110047848,31.508934218021103,1.0,0.8787878787878788
basis_train_120m::legacy,"(2023, 2024, 2025)",all,3635,727,723,1.3709701913909238,40.07841159980202,0.9513157894736842,0.8605263157894737
basis_train_120m::legacy,"(2023, 2024, 2025)",KZT,727,727,149,1.4778370986863412,29.971420647932167,0.9802631578947368,0.881578947368421
basis_train_120m::legacy,"(2026,)",all,780,156,173,1.3369494467346497,29.640444412858635,1.0484848484848486,0.9212121212121213
basis_train_120m::legacy,"(2026,)",KZT,156,156,34,1.2074303405572757,31.604298956545374,1.0303030303030303,0.9393939393939394
basis_train_120m::threshold_0.50,"(2023, 2024, 2025)",all,3635,727,351,1.786172158831957,95.34569781005844,0.4618421052631579,0.4486842105263158
basis_train_120m::threshold_0.50,"(2023, 2024, 2025)",KZT,727,727,60,2.0452879907852766,94.11258636064228,0.39473684210526316,0.3881578947368421
basis_train_120m::threshold_0.50,"(2026,)",all,780,156,54,1.852602165560601,92.53551965899995,0.32727272727272727,0.296969696969697
basis_train_120m::threshold_0.50,"(2026,)",KZT,156,156,5,1.6421052631578947,133.58827752820523,0.15151515151515152,0.12121212121212122
