date,moex_is_fresh,cbr_rate,cbr_age_days,cbr_is_fresh,nbk_rate,nbk_age_days,nbk_is_fresh,weekday,week_of_month,month,is_month_end,is_ru_weekend,is_kz_weekend,is_ru_holiday,is_kz_holiday,days_since_ru_holiday,days_to_ru_holiday,days_since_kz_holiday,days_to_kz_holiday
2020-09-03,1,0.17632,0,1,,,0,3,1,9,0,0,0,0,0,30,30,3,30
2020-09-04,1,0.179284,0,1,,,0,4,1,9,0,0,0,0,0,30,30,4,30
2020-09-05,0,0.17860600000000001,0,1,,,0,5,1,9,0,1,1,0,0,30,30,5,30
2020-09-06,0,0.17860600000000001,1,0,,,0,6,1,9,0,1,1,0,0,30,30,6,30
2020-09-07,0,0.17860600000000001,2,0,,,0,0,1,9,0,0,0,0,0,30,30,7,30
2020-09-08,1,0.178538,0,1,,,0,1,2,9,0,0,0,0,0,30,30,8,30
2020-09-09,0,0.178997,0,1,,,0,2,2,9,0,0,0,0,0,30,30,9,30
2020-09-10,1,0.177762,0,1,,,0,3,2,9,0,0,0,0,0,30,30,10,30
2020-09-11,1,0.176842,0,1,,,0,4,2,9,0,0,0,0,0,30,30,11,30
2020-09-12,0,0.175287,0,1,,,0,5,2,9,0,1,1,0,0,30,30,12,30
2020-09-13,0,0.175287,1,0,,,0,6,2,9,0,1,1,0,0,30,30,13,30
2020-09-14,1,0.175287,2,0,,,0,0,2,9,0,0,0,0,0,30,30,14,30
2020-09-15,1,0.175062,0,1,,,0,1,3,9,0,0,0,0,0,30,30,15,30
2020-09-16,0,0.176048,0,1,,,0,2,3,9,0,0,0,0,0,30,30,16,30
2020-09-17,1,0.176263,0,1,,,0,3,3,9,0,0,0,0,0,30,30,17,30
2020-09-18,0,0.17736999999999997,0,1,,,0,4,3,9,0,0,0,0,0,30,30,18,30
2020-09-19,0,0.178291,0,1,,,0,5,3,9,0,1,1,0,0,30,30,19,30
2020-09-20,0,0.178291,1,0,,,0,6,3,9,0,1,1,0,0,30,30,20,30
2020-09-21,1,0.178291,2,0,,,0,0,3,9,0,0,0,0,0,30,30,21,30
2020-09-22,1,0.180147,0,1,,,0,1,4,9,0,0,0,0,0,30,30,22,30
2020-09-23,0,0.179846,0,1,,,0,2,4,9,0,0,0,0,0,30,30,23,30
2020-09-24,0,0.179472,0,1,,,0,3,4,9,0,0,0,0,0,30,30,24,30
2020-09-25,1,0.18066400000000002,0,1,,,0,4,4,9,0,0,0,0,0,30,30,25,30
2020-09-26,0,0.179973,0,1,,,0,5,4,9,0,1,1,0,0,30,30,26,29
2020-09-27,0,0.179973,1,0,,,0,6,4,9,0,1,1,0,0,30,30,27,28
2020-09-28,1,0.179973,2,0,,,0,0,4,9,1,0,0,0,0,30,30,28,27
2020-09-29,1,0.18276900000000001,0,1,,,0,1,5,9,1,0,0,0,0,30,30,29,26
2020-09-30,1,0.184609,0,1,,,0,2,5,9,1,0,0,0,0,30,30,30,25
2020-10-01,1,0.18199500000000002,0,1,,,0,3,1,10,0,0,0,0,0,30,30,30,24
2020-10-02,1,0.179803,0,1,,,0,4,1,10,0,0,0,0,0,30,30,30,23
2020-10-03,0,0.180435,0,1,,,0,5,1,10,0,1,1,0,0,30,30,30,22
2020-10-04,0,0.180435,1,0,,,0,6,1,10,0,1,1,0,0,30,30,30,21
2020-10-05,1,0.180435,2,0,,,0,0,1,10,0,0,0,0,0,30,30,30,20
2020-10-06,1,0.18087499999999998,0,1,,,0,1,1,10,0,0,0,0,0,30,29,30,19
2020-10-07,0,0.18246300000000001,0,1,,,0,2,1,10,0,0,0,0,0,30,28,30,18
2020-10-08,1,0.182058,0,1,,,0,3,2,10,0,0,0,0,0,30,27,30,17
