date,pair,base,quote,quote_per_rub,rub_per_quote,rub_per_usd,quote_per_usd,published_at_utc,source
2023-12-08,RUB/AMD,RUB,AMD,4.378277829507653,0.22840030691073163,92.154999,403.480189,2023-12-08T23:59:54+00:00,openexchangerates.org
2023-12-08,RUB/AZN,RUB,AZN,0.01844718157937368,54.20882294117647,92.154999,1.7,2023-12-08T23:59:54+00:00,openexchangerates.org
2023-12-08,RUB/BYN,RUB,BYN,0.0357559333270678,27.967386303491743,92.154999,3.295088,2023-12-08T23:59:54+00:00,openexchangerates.org
2023-12-08,RUB/KGS,RUB,KGS,0.9692366227468571,1.031739800716525,92.154999,89.32,2023-12-08T23:59:54+00:00,openexchangerates.org
2023-12-08,RUB/KZT,RUB,KZT,4.979464543209424,0.20082480582449694,92.154999,458.88255,2023-12-08T23:59:54+00:00,openexchangerates.org
2023-12-08,RUB/MDL,RUB,MDL,0.19185538703114738,5.212259168087116,92.154999,17.680433,2023-12-08T23:59:54+00:00,openexchangerates.org
2023-12-08,RUB/TJS,RUB,TJS,0.1185677729756147,8.433994962574404,92.154999,10.926613,2023-12-08T23:59:54+00:00,openexchangerates.org
2023-12-08,RUB/TMT,RUB,TMT,0.037979491486945814,26.329999714285716,92.154999,3.5,2023-12-08T23:59:54+00:00,openexchangerates.org
2023-12-08,RUB/UZS,RUB,UZS,133.7420664504592,0.007477079026369168,92.154999,12325.0,2023-12-08T23:59:54+00:00,openexchangerates.org
2023-12-09,RUB/AMD,RUB,AMD,4.381408630908888,0.22823710003797523,92.154999,403.768708,2023-12-09T23:59:48+00:00,openexchangerates.org
2023-12-09,RUB/AZN,RUB,AZN,0.01844718157937368,54.20882294117647,92.154999,1.7,2023-12-09T23:59:48+00:00,openexchangerates.org
2023-12-09,RUB/BYN,RUB,BYN,0.03578148809919687,27.94741228279003,92.154999,3.297443,2023-12-09T23:59:48+00:00,openexchangerates.org
2023-12-09,RUB/KGS,RUB,KGS,0.9692366227468571,1.031739800716525,92.154999,89.32,2023-12-09T23:59:48+00:00,openexchangerates.org
2023-12-09,RUB/KZT,RUB,KZT,4.983016048863502,0.2006816735475043,92.154999,459.209839,2023-12-09T23:59:48+00:00,openexchangerates.org
2023-12-09,RUB/MDL,RUB,MDL,0.19315455692208297,5.177201179899639,92.154999,17.800158,2023-12-09T23:59:48+00:00,openexchangerates.org
2023-12-09,RUB/TJS,RUB,TJS,0.11865251064676371,8.4279716842829,92.154999,10.934422,2023-12-09T23:59:48+00:00,openexchangerates.org
2023-12-09,RUB/TMT,RUB,TMT,0.037979491486945814,26.329999714285716,92.154999,3.5,2023-12-09T23:59:48+00:00,openexchangerates.org
2023-12-09,RUB/UZS,RUB,UZS,133.71911911148737,0.007478362156770245,92.154999,12322.885288,2023-12-09T23:59:48+00:00,openexchangerates.org
2023-12-10,RUB/AMD,RUB,AMD,4.384968958656274,0.22805178541251045,92.154999,404.09681,2023-12-10T23:59:59+00:00,openexchangerates.org
2023-12-10,RUB/AZN,RUB,AZN,0.01844718157937368,54.20882294117647,92.154999,1.7,2023-12-10T23:59:59+00:00,openexchangerates.org
2023-12-10,RUB/BYN,RUB,BYN,0.035810569538392595,27.924716442387147,92.154999,3.300123,2023-12-10T23:59:59+00:00,openexchangerates.org
2023-12-10,RUB/KGS,RUB,KGS,0.9692366227468571,1.031739800716525,92.154999,89.32,2023-12-10T23:59:59+00:00,openexchangerates.org
2023-12-10,RUB/KZT,RUB,KZT,4.987067928892278,0.20051862422137065,92.154999,459.58324,2023-12-10T23:59:59+00:00,openexchangerates.org
2023-12-10,RUB/MDL,RUB,MDL,0.19269768534206155,5.189475930781835,92.154999,17.758055,2023-12-10T23:59:59+00:00,openexchangerates.org
2023-12-10,RUB/TJS,RUB,TJS,0.11874896770385727,8.421125836595523,92.154999,10.943311,2023-12-10T23:59:59+00:00,openexchangerates.org
2023-12-10,RUB/TMT,RUB,TMT,0.037979491486945814,26.329999714285716,92.154999,3.5,2023-12-10T23:59:59+00:00,openexchangerates.org
2023-12-10,RUB/UZS,RUB,UZS,133.827084128122,0.00747232898717744,92.154999,12332.834804,2023-12-10T23:59:59+00:00,openexchangerates.org
2023-12-11,RUB/AMD,RUB,AMD,4.427320947303817,0.22587022985288374,91.157703,403.584408,2023-12-11T23:59:59+00:00,openexchangerates.org
2023-12-11,RUB/AZN,RUB,AZN,0.01864899996438041,53.62217823529412,91.157703,1.7,2023-12-11T23:59:59+00:00,openexchangerates.org
2023-12-11,RUB/BYN,RUB,BYN,0.036174277010907134,27.64395262684818,91.157703,3.297564,2023-12-11T23:59:59+00:00,openexchangerates.org
