TRADEDATE,OPEN,LOW,HIGH,CLOSE,VALUE,VOLUME
2020-01-03,3059.2,3057.36,3086.09,3076.37,44508670839.0,
2020-01-06,3075.55,3059.47,3079.42,3078.87,39130289766.8,
2020-01-08,3076.63,3071.88,3112.01,3110.06,53007480525.4,
2020-01-09,3105.21,3094.85,3124.6,3118.08,58694873429.2,
2020-01-10,3117.24,3101.21,3130.92,3123.66,44984451737.4,
2020-01-13,3124.96,3117.03,3151.69,3151.69,53874666810.4,
2020-01-14,3155.63,3126.0,3166.07,3129.77,75868217158.2,
2020-01-15,3128.38,3106.41,3148.29,3132.63,76126625593.4,
2020-01-16,3137.52,3137.52,3163.2,3157.23,69679297963.8,
2020-01-17,3161.25,3159.23,3198.32,3196.88,78643628646.4,
2020-01-20,3205.64,3204.32,3226.89,3219.92,62359861660.1,
2020-01-21,3212.72,3185.65,3213.38,3209.22,65071326468.8,
2020-01-22,3212.91,3174.62,3222.93,3174.62,79502683838.0,
2020-01-23,3162.68,3135.15,3170.41,3141.2,80959193888.9,
2020-01-24,3147.28,3134.7,3165.86,3146.2,60467395349.8,
2020-01-27,3123.71,3076.68,3123.71,3085.16,89131669907.1,
2020-01-28,3097.71,3068.67,3115.62,3113.1,75008595222.1,
2020-01-29,3125.91,3115.64,3140.77,3128.8,66029373167.7,
2020-01-30,3108.38,3096.31,3121.54,3108.58,66661508185.8,
2020-01-31,3133.4,3076.65,3143.29,3076.65,81958944501.1,
2020-02-03,3062.27,3058.48,3085.89,3070.84,83477701053.6,
2020-02-04,3082.2,3071.79,3105.98,3097.6,83817081711.8,
2020-02-05,3105.52,3083.26,3137.97,3114.25,89542515839.9,
2020-02-06,3132.84,3086.91,3145.15,3096.68,68274902779.6,
2020-02-07,3101.08,3056.85,3108.28,3087.63,72646728795.6,
2020-02-10,3088.63,3049.33,3092.93,3062.41,66051446947.9,
2020-02-11,3072.39,3069.9,3109.22,3097.58,91556273983.0,
2020-02-12,3103.81,3095.7,3122.27,3122.27,83872830883.3,
2020-02-13,3116.99,3096.98,3122.19,3110.05,63560227880.1,
2020-02-14,3113.72,3084.57,3120.89,3096.88,51397252517.1,
2020-02-17,3097.18,3092.45,3110.06,3110.06,36147422394.8,
2020-02-18,3103.71,3064.15,3104.42,3074.05,57353551341.9,
2020-02-19,3089.09,3086.41,3117.84,3114.57,55406709715.5,
2020-02-20,3120.51,3117.5,3139.59,3125.1,56336963229.2,
2020-02-21,3109.86,3098.76,3129.24,3106.03,47793664891.6,
2020-02-25,3058.33,3002.68,3073.27,3002.68,86905007828.9,
2020-02-26,2994.22,2958.46,3026.26,3017.42,107095974265.0,
2020-02-27,2989.18,2910.46,3002.2,2915.84,102823638357.0,
2020-02-28,2850.11,2744.18,2855.32,2785.08,184649721743.0,
2020-03-02,2829.47,2714.36,2875.3,2765.77,144560659500.0,
2020-03-03,2817.58,2789.76,2844.04,2821.37,106771162096.0,
2020-03-04,2799.18,2779.85,2841.13,2828.01,82510191731.6,
2020-03-05,2852.42,2800.43,2861.6,2816.7,80567170588.4,
2020-03-06,2773.53,2680.06,2782.77,2719.51,139178454930.0,
2020-03-10,2502.7,2435.62,2661.63,2498.94,248732636475.0,
2020-03-11,2532.72,2457.36,2555.43,2492.88,141024833349.0,
2020-03-12,2413.02,2277.58,2413.02,2286.4,173022073298.0,
2020-03-13,2277.66,2275.16,2418.15,2316.38,184469011805.0,
2020-03-16,2297.04,2179.12,2301.19,2266.9,140704172457.0,
2020-03-17,2263.62,2172.46,2313.34,2224.74,133391091136.0,
2020-03-18,2192.79,2097.84,2205.41,2112.64,128603185153.0,
2020-03-19,2134.43,2073.87,2288.09,2275.7,160372894970.0,
2020-03-20,2327.27,2314.75,2418.74,2331.61,180698187232.0,
2020-03-23,2257.88,2213.49,2321.76,2253.35,128506565950.0,
2020-03-24,2349.47,2341.21,2435.27,2415.97,126199238953.0,
2020-03-25,2459.3,2372.34,2518.38,2452.69,170179806339.0,
2020-03-26,2448.76,2403.6,2514.92,2489.97,109485216806.0,
2020-03-27,2491.7,2378.88,2498.33,2401.11,95057170139.4,
2020-03-30,2377.21,2357.53,2435.53,2433.35,83128100470.5,
2020-03-31,2466.28,2459.19,2526.13,2508.81,113755975000.0,
2020-04-01,2465.56,2449.01,2491.66,2473.61,80256140704.1,
2020-04-02,2528.72,2470.85,2562.54,2545.95,134240120328.0,
2020-04-03,2547.15,2533.06,2609.16,2572.23,117108960828.0,
2020-04-06,2597.28,2576.28,2639.56,2622.59,89823141209.1,
2020-04-07,2648.74,2612.96,2688.67,2634.74,120867694592.0,
2020-04-08,2617.66,2603.99,2670.12,2670.12,83665607709.9,
2020-04-09,2693.58,2643.98,2713.5,2701.77,117023415634.0,
2020-04-10,2678.3,2656.45,2680.89,2677.86,36513692244.2,
2020-04-13,2675.73,2610.61,2677.9,2628.85,47643715824.8,
2020-04-14,2649.34,2619.91,2667.58,2631.83,82460437951.6,
2020-04-15,2617.19,2489.99,2617.19,2498.94,99986258141.1,
2020-04-16,2511.55,2468.65,2550.84,2515.05,106189551975.0,
2020-04-17,2550.95,2516.87,2556.42,2534.97,70173608170.4,
2020-04-20,2524.31,2502.38,2546.14,2525.97,67663196241.9,
2020-04-21,2487.63,2431.98,2500.18,2488.02,109197015000.0,
2020-04-22,2474.32,2471.23,2584.68,2573.41,97655302076.4,
2020-04-23,2600.28,2558.32,2620.24,2599.41,82087755064.4,
2020-04-24,2588.29,2551.66,2596.97,2562.03,64998483149.8,
2020-04-27,2570.69,2557.81,2597.64,2570.91,53714781404.5,
2020-04-28,2567.74,2566.92,2644.79,2612.24,91839443562.7,
2020-04-29,2629.24,2617.34,2669.47,2663.14,85375068625.6,
2020-04-30,2683.86,2629.57,2700.97,2650.56,103074636334.0,
