TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,WAPRICE,OPEN_RUB_PER_UNIT,LOW_RUB_PER_UNIT,HIGH_RUB_PER_UNIT,CLOSE_RUB_PER_UNIT,WAPRICE_RUB_PER_UNIT
2020-01-03,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-01-06,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-01-08,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-01-09,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-01-10,16.255,16.255,16.255,16.255,1,16.255,0.16255,0.16255,0.16255,0.16255,0.16255
2020-01-13,16.12,16.12,16.17,16.17,2,16.1474,0.1612,0.1612,0.1617,0.1617,0.161474
2020-01-14,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-01-15,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-01-16,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-01-17,16.35,16.35,16.35,16.35,1,16.35,0.1635,0.1635,0.1635,0.1635,0.1635
2020-01-20,16.34,16.34,16.34,16.34,1,16.34,0.1634,0.1634,0.1634,0.1634,0.1634
2020-01-21,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-01-22,16.445,16.445,16.445,16.445,1,16.445,0.16445,0.16445,0.16445,0.16445,0.16445
2020-01-23,16.38,16.375,16.38,16.375,3,16.3767,0.1638,0.16375,0.1638,0.16375,0.163767
2020-01-24,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-01-27,16.42,16.42,16.435,16.435,2,16.4243,0.1642,0.1642,0.16435,0.16435,0.164243
2020-01-28,16.485,16.48,16.55,16.48,6,16.4909,0.16485,0.1648,0.1655,0.1648,0.164909
2020-01-29,16.405,16.405,16.57,16.57,2,16.5322,0.16405,0.16405,0.16570000000000001,0.16570000000000001,0.165322
2020-01-30,16.615,16.615,16.615,16.615,1,16.615,0.16615,0.16615,0.16615,0.16615,0.16615
2020-01-31,16.595,16.595,16.595,16.595,1,16.595,0.16595,0.16595,0.16595,0.16595,0.16595
2020-02-03,16.77,16.73,16.77,16.75,4,16.733,0.1677,0.1673,0.1677,0.1675,0.16733
2020-02-04,16.7,16.7,16.745,16.745,2,16.7015,0.16699999999999998,0.16699999999999998,0.16745000000000002,0.16745000000000002,0.167015
2020-02-05,16.66,16.62,16.66,16.62,2,16.6309,0.1666,0.16620000000000001,0.1666,0.16620000000000001,0.166309
2020-02-06,16.7,16.7,16.7,16.7,1,16.7,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.16699999999999998
2020-02-07,16.71,16.71,16.84,16.84,4,16.7636,0.1671,0.1671,0.1684,0.1684,0.167636
2020-02-10,16.81,16.81,16.88,16.88,3,16.8315,0.1681,0.1681,0.16879999999999998,0.16879999999999998,0.168315
2020-02-11,16.88,16.825,16.88,16.825,4,16.87,0.16879999999999998,0.16824999999999998,0.16879999999999998,0.16824999999999998,0.16870000000000002
2020-02-12,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-02-13,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-02-14,16.8,16.745,16.8,16.745,2,16.7798,0.168,0.16745000000000002,0.168,0.16745000000000002,0.167798
2020-02-17,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-02-18,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-02-19,16.89,16.89,16.89,16.89,1,16.89,0.1689,0.1689,0.1689,0.1689,0.1689
2020-02-20,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-02-21,17.035,17.035,17.035,17.035,1,17.035,0.17035,0.17035,0.17035,0.17035,0.17035
2020-02-25,17.26,17.26,17.355,17.355,2,17.26,0.1726,0.1726,0.17355,0.17355,0.1726
2020-02-26,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2020-02-27,17.305,17.26,17.305,17.3,4,17.2897,0.17305,0.1726,0.17305,0.17300000000000001,0.172897
2020-02-28,17.535,17.535,17.72,17.72,4,17.6265,0.17535,0.17535,0.1772,0.1772,0.176265
2020-03-02,17.39,17.39,17.57,17.57,4,17.4171,0.1739,0.1739,0.1757,0.1757,0.17417100000000002
2020-03-03,17.535,17.535,17.535,17.535,1,17.535,0.17535,0.17535,0.17535,0.17535,0.17535
2020-03-04,17.345,17.345,17.345,17.345,1,17.345,0.17345,0.17345,0.17345,0.17345,0.17345
