TRADEDATE,OPEN,LOW,HIGH,CLOSE,VALUE,VOLUME
2020-01-03,572.05,572.05,572.87,572.65,194411666.06,
2020-01-06,572.99,572.59,573.31,572.6,238174768.24,
2020-01-08,572.82,572.71,573.04,572.71,104481063.66,
2020-01-09,572.79,572.69,573.59,573.13,17785036747.8,
2020-01-10,573.25,573.18,574.88,574.88,32293622205.8,
2020-01-13,574.99,574.01,578.04,577.95,23001397205.4,
2020-01-14,578.05,577.91,579.09,577.93,26310511001.7,
2020-01-15,578.14,577.03,578.32,577.04,31456439292.9,
2020-01-16,577.18,577.18,577.89,577.57,23781080720.2,
2020-01-17,577.73,577.48,578.14,578.04,18471444502.6,
2020-01-20,578.33,578.33,579.0,578.66,9016408459.77,
2020-01-21,578.79,578.18,579.02,578.23,16086704381.1,
2020-01-22,578.34,578.19,579.05,578.34,15016728848.9,
2020-01-23,578.47,578.42,579.03,578.98,16756414056.4,
2020-01-24,579.1,579.03,580.67,579.04,16847313387.7,
2020-01-27,579.29,577.71,580.23,577.71,31280931442.7,
2020-01-28,577.79,577.09,578.38,577.38,28765570052.0,
2020-01-29,577.49,577.49,578.49,578.18,23929055189.1,
2020-01-30,578.35,577.94,578.5,577.95,29605362121.8,
2020-01-31,578.07,578.04,578.98,578.19,27539104827.8,
2020-02-03,578.5,577.75,578.5,577.76,42218195349.3,
2020-02-04,577.9,577.48,578.6,578.6,34005798775.2,
2020-02-05,578.67,578.55,579.85,579.85,40828821465.1,
2020-02-06,579.97,579.85,581.65,579.85,32346733649.7,
2020-02-07,579.99,579.74,580.87,580.85,32589431424.3,
2020-02-10,581.19,581.19,581.9,581.41,15032148625.2,
2020-02-11,581.51,581.39,581.96,581.96,21738383634.4,
2020-02-12,582.07,581.95,582.93,582.93,54613646251.1,
2020-02-13,583.06,583.04,583.77,583.7,42033172109.4,
2020-02-14,583.82,583.76,584.71,584.69,38016149697.1,
2020-02-17,585.58,585.33,585.93,585.36,18417211170.7,
2020-02-18,585.5,584.85,586.48,585.28,16211094211.1,
2020-02-19,585.4,585.4,586.43,586.43,29098948306.2,
2020-02-20,586.55,586.55,587.73,587.68,26886094344.0,
2020-02-21,587.78,585.87,588.32,586.56,27963830546.7,
2020-02-25,587.0,585.76,587.94,585.76,22343007302.6,
2020-02-26,585.86,583.24,585.99,583.84,37241045174.8,
2020-02-27,583.98,582.24,584.01,582.24,38414721381.4,
2020-02-28,582.29,572.44,582.35,573.25,66172896080.9,
2020-03-02,574.44,574.21,578.82,576.7,49792196208.9,
2020-03-03,576.59,576.59,580.92,580.92,46895746605.3,
2020-03-04,581.21,581.21,586.2,586.18,79845411635.7,
2020-03-05,586.32,586.2,588.25,586.8,69109612364.0,
2020-03-06,586.94,576.13,586.94,576.13,42633783065.4,
2020-03-10,575.44,555.26,575.44,559.42,69791440221.0,
2020-03-11,559.95,557.78,561.56,557.78,48067771129.1,
2020-03-12,557.86,540.15,557.86,540.15,53599992611.9,
2020-03-13,540.23,537.52,541.2,540.6,53163838792.6,
2020-03-16,540.83,534.2,542.61,534.22,47036981449.2,
2020-03-17,534.29,533.86,538.04,534.65,39831203953.4,
2020-03-18,534.8,528.73,535.71,528.73,69804099192.1,
2020-03-19,528.95,525.81,531.16,531.09,42844724292.1,
2020-03-20,531.53,531.53,542.73,542.73,38903239570.1,
2020-03-23,543.32,539.87,544.39,543.47,24306372004.6,
2020-03-24,543.68,543.68,557.11,557.11,50112658050.1,
2020-03-25,557.24,557.17,561.45,557.21,37559716685.5,
2020-03-26,557.03,556.04,559.19,559.13,38159069807.1,
2020-03-27,559.58,559.41,563.04,562.65,45556706507.4,
2020-03-30,562.77,558.52,562.77,561.13,14095113032.1,
2020-03-31,561.09,561.07,567.5,567.5,22714918949.2,
2020-04-01,567.6,566.15,568.76,566.38,14118853135.1,
2020-04-02,566.55,565.82,569.55,565.9,12921749081.5,
2020-04-03,566.08,566.08,567.72,567.71,18688589070.5,
2020-04-06,568.16,567.97,569.92,569.88,11166435898.9,
2020-04-07,570.0,569.79,571.23,570.7,15755149273.2,
2020-04-08,570.68,569.46,570.74,570.03,6669839067.32,
2020-04-09,570.11,570.11,571.67,571.65,34971077584.9,
2020-04-10,571.76,571.76,572.68,572.2,19101060062.7,
2020-04-13,572.54,572.54,574.92,572.82,6792943570.41,
2020-04-14,572.96,572.86,573.42,572.89,32446047970.4,
2020-04-15,572.93,571.09,573.1,571.09,21935130544.8,
2020-04-16,571.23,570.61,573.32,573.32,40686705782.0,
2020-04-17,573.4,573.3,581.05,581.05,48258632623.9,
2020-04-20,581.76,581.76,587.24,587.23,17898977240.4,
2020-04-21,587.23,583.54,587.42,583.55,15534765960.8,
2020-04-22,583.68,583.63,586.17,586.17,25566986549.0,
2020-04-23,586.35,586.08,590.11,590.11,24162499773.6,
2020-04-24,590.23,589.99,592.33,592.33,26345063266.2,
2020-04-27,592.76,592.51,593.39,592.52,16315163287.4,
2020-04-28,592.36,591.74,592.76,592.76,17156104652.0,
2020-04-29,592.84,592.66,593.26,592.68,30181307907.9,
2020-04-30,592.88,592.53,593.48,592.76,25310978778.3,
2020-05-04,593.34,593.34,594.43,593.69,103852739.92,
2020-05-05,593.75,593.48,594.52,594.52,8654414858.28,
2020-05-06,594.43,593.86,594.8,593.86,15454268835.8,
2020-05-07,594.41,594.06,594.74,594.06,26065647529.9,
2020-05-08,594.23,594.18,596.38,596.38,36562675107.3,
2020-05-12,596.74,596.74,600.64,600.63,21199843576.4,
2020-05-13,600.76,600.1,601.63,601.53,28393166671.7,
2020-05-14,601.82,601.41,602.38,602.38,80416513384.9,
2020-05-15,602.14,602.14,608.17,608.16,52524045181.2,
2020-05-18,608.55,608.55,612.93,612.79,36468126472.5,
2020-05-19,612.95,612.1,613.01,612.36,29295532675.6,
2020-05-20,612.23,611.33,613.29,613.13,93069274995.9,
2020-05-21,613.23,612.36,613.59,613.54,53242520384.1,
2020-05-22,613.66,612.64,613.67,612.68,30157665932.2,
2020-05-25,613.0,610.82,613.77,613.06,8670753559.76,
2020-05-26,613.78,613.15,613.99,613.17,29513274813.5,
2020-05-27,613.38,611.85,613.56,611.92,41540221413.7,
2020-05-28,611.87,611.37,611.93,611.49,32512493769.5,
2020-05-29,611.65,611.65,612.23,611.96,38381629492.8,
