TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,WAPRICE,OPEN_RUB_PER_UNIT,LOW_RUB_PER_UNIT,HIGH_RUB_PER_UNIT,CLOSE_RUB_PER_UNIT,WAPRICE_RUB_PER_UNIT
2022-09-12,56.34,56.335,56.34,56.335,4,56.3396,0.005634,0.0056335000000000005,0.005634,0.0056335000000000005,0.0056339599999999995
2022-09-13,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-09-14,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-09-15,57.0,57.0,57.0,57.0,1,57.0,0.0057,0.0057,0.0057,0.0057,0.0057
2022-09-16,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-09-19,57.3,49.0,57.3,49.0,2,53.15,0.00573,0.0049,0.00573,0.0049,0.005315
2022-09-20,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-09-21,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-09-22,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-09-23,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-09-26,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-09-27,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-09-28,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-09-29,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-09-30,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-03,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-04,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-05,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-06,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-07,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-10,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-11,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-12,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-13,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-14,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-17,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-18,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-19,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-20,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-21,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-24,56.0,56.0,56.0,56.0,1,56.0,0.0056,0.0056,0.0056,0.0056,0.0056
2022-10-25,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-26,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-27,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-28,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-10-31,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-01,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-02,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-03,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-07,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-08,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-09,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-10,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-11,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-14,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-15,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-16,54.5,54.5,54.5,54.5,1,54.5,0.00545,0.00545,0.00545,0.00545,0.00545
2022-11-17,55.0,55.0,55.0,55.0,1,55.0,0.0055,0.0055,0.0055,0.0055,0.0055
2022-11-18,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-21,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-22,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-23,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-24,53.42,53.42,53.42,53.42,1,53.42,0.005342,0.005342,0.005342,0.005342,0.005342
2022-11-25,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-28,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-29,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-11-30,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-01,54.99,54.99,54.99,54.99,1,54.99,0.005499,0.005499,0.005499,0.005499,0.005499
2022-12-02,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-05,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-06,55.24,55.24,55.24,55.24,1,55.24,0.005524,0.005524,0.005524,0.005524,0.005524
2022-12-07,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-08,55.78,55.78,55.78,55.78,1,55.78,0.0055780000000000005,0.0055780000000000005,0.0055780000000000005,0.0055780000000000005,0.0055780000000000005
2022-12-09,56.06,56.06,56.06,56.06,2,56.06,0.005606,0.005606,0.005606,0.005606,0.005606
2022-12-12,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-13,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-14,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-15,58.04,58.04,58.04,58.04,1,58.04,0.005804,0.005804,0.005804,0.005804,0.005804
2022-12-16,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-19,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-20,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-21,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-22,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-23,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-26,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-27,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-28,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-29,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2022-12-30,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2023-01-03,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2023-01-04,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2023-01-05,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2023-01-06,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2023-01-09,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2023-01-10,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2023-01-11,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2023-01-12,59.97,59.97,59.97,59.97,1,59.97,0.005997,0.005997,0.005997,0.005997,0.005997
2023-01-13,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
2023-01-16,62.51,62.51,73.0,73.0,7,65.657,0.006251,0.006251,0.0073,0.0073,0.0065657
2023-01-17,63.44,61.05,73.0,73.0,8,61.6949,0.006344,0.006104999999999999,0.0073,0.0073,0.00616949
2023-01-18,63.76,61.0,63.76,61.85,33,62.5669,0.006376,0.0061,0.006376,0.006185,0.00625669
2023-01-19,64.0,61.1,64.0,61.1,19,62.2908,0.0064,0.00611,0.0064,0.00611,0.00622908
2023-01-20,61.05,58.0025,64.0,58.0025,16,61.4626,0.006104999999999999,0.00580025,0.0064,0.00580025,0.006146260000000001
2023-01-23,60.8475,58.85,60.85,59.0025,8,60.0078,0.00608475,0.0058850000000000005,0.006085,0.00590025,0.006000780000000001
2023-01-24,63.92,60.0025,63.92,60.0025,12,61.0356,0.006392,0.0060002499999999995,0.006392,0.0060002499999999995,0.00610356
2023-01-25,60.0025,59.0025,63.0,59.2025,12,60.161,0.0060002499999999995,0.00590025,0.0063,0.00592025,0.0060161
2023-01-26,59.25,59.25,61.895,61.0,9,60.7164,0.005925,0.005925,0.0061895000000000006,0.0061,0.00607164
2023-01-27,59.0025,59.0025,61.0,61.0,12,60.2477,0.00590025,0.00590025,0.0061,0.0061,0.0060247700000000005
2023-01-30,60.0,59.0175,61.51,61.5075,14,60.6545,0.006,0.00590175,0.006151,0.00615075,0.00606545
2023-01-31,50.2,50.2,64.69,59.9525,6,61.865,0.00502,0.00502,0.006469,0.00599525,0.0061865
2023-02-01,62.4925,59.9,62.4925,59.9,10,60.9401,0.00624925,0.00599,0.00624925,0.00599,0.00609401
2023-02-02,62.4975,61.0,62.4975,61.0025,3,62.2255,0.00624975,0.0061,0.00624975,0.00610025,0.0062225499999999994
2023-02-03,61.2725,60.5025,62.2,60.5025,14,61.6963,0.00612725,0.00605025,0.006220000000000001,0.00605025,0.00616963
2023-02-06,62.7575,60.5025,62.76,60.5025,6,62.299,0.00627575,0.00605025,0.0062759999999999995,0.00605025,0.0062299
2023-02-07,61.6,61.6,62.3875,62.3875,3,61.8625,0.0061600000000000005,0.0061600000000000005,0.00623875,0.00623875,0.00618625
2023-02-08,63.0,63.0,63.11,63.1075,3,63.0925,0.0063,0.0063,0.006311,0.00631075,0.00630925
2023-02-09,66.26,60.6,66.26,63.0975,14,63.6013,0.006626000000000001,0.00606,0.006626000000000001,0.006309749999999999,0.00636013
2023-02-10,63.43,60.7025,66.0,60.8025,14,63.3919,0.006343,0.00607025,0.0066,0.006080250000000001,0.00633919
2023-02-13,63.65,63.65,64.94,63.6525,18,64.1532,0.006365,0.006365,0.006494,0.00636525,0.0064153199999999995
2023-02-14,64.37,64.37,65.0,65.0,4,64.5154,0.006437000000000001,0.006437000000000001,0.0065,0.0065,0.0064515399999999995
2023-02-15,65.0,65.0,65.9975,65.9,16,65.6461,0.0065,0.0065,0.006599750000000001,0.00659,0.00656461
2023-02-16,64.915,64.915,66.03,66.0275,11,65.6975,0.006491500000000001,0.006491500000000001,0.006603,0.00660275,0.006569750000000001
2023-02-17,65.8,64.3375,65.8,65.695,11,64.8573,0.00658,0.00643375,0.00658,0.006569499999999999,0.0064857299999999994
