report_date,kz_current_account_usd_mn,period_end,available_date_proxy
2020-01-01,-2280.34354,2020-03-31,2020-07-09
2020-04-01,-597.199019,2020-06-30,2020-10-08
2020-07-01,-4394.67146,2020-09-30,2021-01-08
2020-10-01,-4734.156817,2020-12-31,2021-04-10
2021-01-01,-1329.008226,2021-03-31,2021-07-09
2021-04-01,113.353894,2021-06-30,2021-10-08
2021-07-01,-844.90594,2021-09-30,2022-01-08
2021-10-01,-1904.807968,2021-12-31,2022-04-10
2022-01-01,-43.098668,2022-03-31,2022-07-09
2022-04-01,4420.288151,2022-06-30,2022-10-08
2022-07-01,1236.914796,2022-09-30,2023-01-08
2022-10-01,1146.724615,2022-12-31,2023-04-10
2023-01-01,-367.524944,2023-03-31,2023-07-09
2023-04-01,-1405.176198,2023-06-30,2023-10-08
2023-07-01,-3208.279737,2023-09-30,2024-01-08
2023-10-01,-1385.249082,2023-12-31,2024-04-09
2024-01-01,-2285.645457,2024-03-31,2024-07-09
2024-04-01,33.219598,2024-06-30,2024-10-08
2024-07-01,-1464.115558,2024-09-30,2025-01-08
2024-10-01,-1754.446217,2024-12-31,2025-04-10
2025-01-01,-3578.595226,2025-03-31,2025-07-09
2025-04-01,-1044.015527,2025-06-30,2025-10-08
