report_date,amount,type,currency,ambiguous_duplicate_key
2023-01-01,0.38,Volume (mln.),Euro,False
2023-01-01,2.9,Weighted average rate,Euro,False
2023-01-01,2477.9052317,Volume (mln.),Tenge,True
2023-01-01,17056750.0,Volume (mln.),Tenge,True
2023-01-01,15.745876735016928,Weighted average rate,Tenge,True
2023-01-01,16.75,Weighted average rate,Tenge,True
2023-01-01,16.67485317,Volume (mln.),US dollars,True
2023-01-01,8244.19684,Volume (mln.),US dollars,True
2023-01-01,2.9681370876147106,Weighted average rate,US dollars,True
2023-01-01,5.353567262325705,Weighted average rate,US dollars,True
2023-02-01,58.5,Volume (mln.),Euro,False
2023-02-01,2.1102564102564103,Weighted average rate,Euro,False
2023-02-01,14263850.0,Volume (mln.),Tenge,False
2023-02-01,15.934597987219439,Weighted average rate,Tenge,False
2023-02-01,9162.051807,Volume (mln.),US dollars,False
2023-02-01,3.2461590967371396,Weighted average rate,US dollars,False
2023-03-01,5.0,Volume (mln.),Euro,False
2023-03-01,2.5,Weighted average rate,Euro,False
2023-03-01,3751.69004761,Volume (mln.),Tenge,True
2023-03-01,10784278.0,Volume (mln.),Tenge,True
2023-03-01,15.94647764087684,Weighted average rate,Tenge,True
2023-03-01,17.75,Weighted average rate,Tenge,True
2023-03-01,0.16054346,Volume (mln.),US dollars,True
2023-03-01,7673.050666,Volume (mln.),US dollars,True
2023-03-01,1.75,Weighted average rate,US dollars,True
2023-03-01,3.425001137176122,Weighted average rate,US dollars,True
2023-04-01,179.0,Volume (mln.),Euro,False
2023-04-01,2.6154748603351954,Weighted average rate,Euro,False
2023-04-01,4582.64536706,Volume (mln.),Tenge,True
2023-04-01,10235350.0,Volume (mln.),Tenge,True
2023-04-01,15.946136136038337,Weighted average rate,Tenge,True
2023-04-01,17.75,Weighted average rate,Tenge,True
2023-04-01,1.7,Volume (mln.),US dollars,True
2023-04-01,8021.915985,Volume (mln.),US dollars,True
2023-04-01,2.932295875927202,Weighted average rate,US dollars,True
2023-04-01,3.5,Weighted average rate,US dollars,True
2023-05-01,51.0,Volume (mln.),Euro,False
2023-05-01,3.656862745098039,Weighted average rate,Euro,False
2023-05-01,1981.7096715999999,Volume (mln.),Tenge,True
2023-05-01,11753424.0,Volume (mln.),Tenge,True
2023-05-01,15.906191251162214,Weighted average rate,Tenge,True
2023-05-01,17.75,Weighted average rate,Tenge,True
2023-05-01,1.3,Volume (mln.),US dollars,True
2023-05-01,8506.117621,Volume (mln.),US dollars,True
2023-05-01,3.2420542960900116,Weighted average rate,US dollars,True
2023-05-01,3.5,Weighted average rate,US dollars,True
2023-06-01,158.4,Volume (mln.),Euro,False
2023-06-01,2.5786300505050503,Weighted average rate,Euro,False
2023-06-01,5906.89479548,Volume (mln.),Tenge,True
2023-06-01,12614174.0,Volume (mln.),Tenge,True
2023-06-01,15.864431630640262,Weighted average rate,Tenge,True
2023-06-01,17.75,Weighted average rate,Tenge,True
2023-06-01,1.1,Volume (mln.),US dollars,True
2023-06-01,7828.432936,Volume (mln.),US dollars,True
2023-06-01,3.5,Weighted average rate,US dollars,True
2023-06-01,3.9407424476351163,Weighted average rate,US dollars,True
2023-07-01,341.6,Volume (mln.),Euro,False
2023-07-01,2.82751756440281,Weighted average rate,Euro,False
2023-07-01,12955.61434578,Volume (mln.),Tenge,True
2023-07-01,16213941.0,Volume (mln.),Tenge,True
2023-07-01,15.881899348221385,Weighted average rate,Tenge,True
2023-07-01,17.75,Weighted average rate,Tenge,True
2023-07-01,0.27401714,Volume (mln.),US dollars,True
2023-07-01,6966.251613,Volume (mln.),US dollars,True
2023-07-01,2.75,Weighted average rate,US dollars,True
2023-07-01,3.4408633003434406,Weighted average rate,US dollars,True
2023-08-01,297.9,Volume (mln.),Euro,False
