effective_date,available_at,symbol,normalized_value,normalized_unit
2020-09-03,2020-09-03 00:00:00+00:00,CNY,10.8205,RUB_per_CNY
2020-09-03,2020-09-03 00:00:00+00:00,KZT,0.17632,RUB_per_KZT
2020-09-03,2020-09-03 00:00:00+00:00,USD,73.8588,RUB_per_USD
2020-09-04,2020-09-04 00:00:00+00:00,CNY,11.0401,RUB_per_CNY
2020-09-04,2020-09-04 00:00:00+00:00,KZT,0.179284,RUB_per_KZT
2020-09-04,2020-09-04 00:00:00+00:00,USD,75.468,RUB_per_USD
2020-09-05,2020-09-05 00:00:00+00:00,CNY,10.9922,RUB_per_CNY
2020-09-05,2020-09-05 00:00:00+00:00,KZT,0.178606,RUB_per_KZT
2020-09-05,2020-09-05 00:00:00+00:00,USD,75.1823,RUB_per_USD
2020-09-08,2020-09-08 00:00:00+00:00,CNY,11.0664,RUB_per_CNY
2020-09-08,2020-09-08 00:00:00+00:00,KZT,0.178538,RUB_per_KZT
2020-09-08,2020-09-08 00:00:00+00:00,USD,75.591,RUB_per_USD
2020-09-09,2020-09-09 00:00:00+00:00,CNY,11.1183,RUB_per_CNY
2020-09-09,2020-09-09 00:00:00+00:00,KZT,0.178997,RUB_per_KZT
2020-09-09,2020-09-09 00:00:00+00:00,USD,75.9645,RUB_per_USD
2020-09-10,2020-09-10 00:00:00+00:00,CNY,11.1118,RUB_per_CNY
2020-09-10,2020-09-10 00:00:00+00:00,KZT,0.177762,RUB_per_KZT
2020-09-10,2020-09-10 00:00:00+00:00,USD,76.0713,RUB_per_USD
2020-09-11,2020-09-11 00:00:00+00:00,CNY,11.0427,RUB_per_CNY
2020-09-11,2020-09-11 00:00:00+00:00,KZT,0.176842,RUB_per_KZT
2020-09-11,2020-09-11 00:00:00+00:00,USD,75.5274,RUB_per_USD
2020-09-12,2020-09-12 00:00:00+00:00,CNY,10.9544,RUB_per_CNY
2020-09-12,2020-09-12 00:00:00+00:00,KZT,0.175287,RUB_per_KZT
2020-09-12,2020-09-12 00:00:00+00:00,USD,74.8896,RUB_per_USD
2020-09-15,2020-09-15 00:00:00+00:00,CNY,10.9498,RUB_per_CNY
2020-09-15,2020-09-15 00:00:00+00:00,KZT,0.175062,RUB_per_KZT
2020-09-15,2020-09-15 00:00:00+00:00,USD,74.7148,RUB_per_USD
2020-09-16,2020-09-16 00:00:00+00:00,CNY,11.0928,RUB_per_CNY
2020-09-16,2020-09-16 00:00:00+00:00,KZT,0.176048,RUB_per_KZT
2020-09-16,2020-09-16 00:00:00+00:00,USD,75.1884,RUB_per_USD
2020-09-17,2020-09-17 00:00:00+00:00,CNY,11.0812,RUB_per_CNY
2020-09-17,2020-09-17 00:00:00+00:00,KZT,0.176263,RUB_per_KZT
2020-09-17,2020-09-17 00:00:00+00:00,USD,74.9278,RUB_per_USD
2020-09-18,2020-09-18 00:00:00+00:00,CNY,11.113,RUB_per_CNY
2020-09-18,2020-09-18 00:00:00+00:00,KZT,0.1773699999999999,RUB_per_KZT
2020-09-18,2020-09-18 00:00:00+00:00,USD,75.1941,RUB_per_USD
2020-09-19,2020-09-19 00:00:00+00:00,CNY,11.1007,RUB_per_CNY
2020-09-19,2020-09-19 00:00:00+00:00,KZT,0.178291,RUB_per_KZT
2020-09-19,2020-09-19 00:00:00+00:00,USD,75.0319,RUB_per_USD
2020-09-22,2020-09-22 00:00:00+00:00,CNY,11.2268,RUB_per_CNY
2020-09-22,2020-09-22 00:00:00+00:00,KZT,0.180147,RUB_per_KZT
2020-09-22,2020-09-22 00:00:00+00:00,USD,76.0381,RUB_per_USD
2020-09-23,2020-09-23 00:00:00+00:00,CNY,11.2348,RUB_per_CNY
2020-09-23,2020-09-23 00:00:00+00:00,KZT,0.179846,RUB_per_KZT
2020-09-23,2020-09-23 00:00:00+00:00,USD,76.2711,RUB_per_USD
2020-09-24,2020-09-24 00:00:00+00:00,CNY,11.2423,RUB_per_CNY
2020-09-24,2020-09-24 00:00:00+00:00,KZT,0.179472,RUB_per_KZT
2020-09-24,2020-09-24 00:00:00+00:00,USD,76.3545,RUB_per_USD
2020-09-25,2020-09-25 00:00:00+00:00,CNY,11.3091,RUB_per_CNY
2020-09-25,2020-09-25 00:00:00+00:00,KZT,0.180664,RUB_per_KZT
2020-09-25,2020-09-25 00:00:00+00:00,USD,77.178,RUB_per_USD
2020-09-26,2020-09-26 00:00:00+00:00,CNY,11.265,RUB_per_CNY
2020-09-26,2020-09-26 00:00:00+00:00,KZT,0.179973,RUB_per_KZT
2020-09-26,2020-09-26 00:00:00+00:00,USD,76.8195,RUB_per_USD
2020-09-29,2020-09-29 00:00:00+00:00,CNY,11.5345,RUB_per_CNY
2020-09-29,2020-09-29 00:00:00+00:00,KZT,0.182769,RUB_per_KZT
2020-09-29,2020-09-29 00:00:00+00:00,USD,78.6713,RUB_per_USD
2020-09-30,2020-09-30 00:00:00+00:00,CNY,11.6798,RUB_per_CNY
2020-09-30,2020-09-30 00:00:00+00:00,KZT,0.184609,RUB_per_KZT
2020-09-30,2020-09-30 00:00:00+00:00,USD,79.6845,RUB_per_USD
2020-10-01,2020-10-01 00:00:00+00:00,CNY,11.5671,RUB_per_CNY
2020-10-01,2020-10-01 00:00:00+00:00,KZT,0.181995,RUB_per_KZT
2020-10-01,2020-10-01 00:00:00+00:00,USD,78.7847,RUB_per_USD
2020-10-02,2020-10-02 00:00:00+00:00,CNY,11.3797,RUB_per_CNY
2020-10-02,2020-10-02 00:00:00+00:00,KZT,0.179803,RUB_per_KZT
2020-10-02,2020-10-02 00:00:00+00:00,USD,77.2774,RUB_per_USD
2020-10-03,2020-10-03 00:00:00+00:00,CNY,11.4996,RUB_per_CNY
2020-10-03,2020-10-03 00:00:00+00:00,KZT,0.180435,RUB_per_KZT
2020-10-03,2020-10-03 00:00:00+00:00,USD,78.0915,RUB_per_USD
2020-10-06,2020-10-06 00:00:00+00:00,CNY,11.505,RUB_per_CNY
2020-10-06,2020-10-06 00:00:00+00:00,KZT,0.1808749999999999,RUB_per_KZT
2020-10-06,2020-10-06 00:00:00+00:00,USD,78.1281,RUB_per_USD
2020-10-07,2020-10-07 00:00:00+00:00,CNY,11.5615,RUB_per_CNY
2020-10-07,2020-10-07 00:00:00+00:00,KZT,0.182463,RUB_per_KZT
2020-10-07,2020-10-07 00:00:00+00:00,USD,78.5119,RUB_per_USD
2020-10-08,2020-10-08 00:00:00+00:00,CNY,11.4997,RUB_per_CNY
2020-10-08,2020-10-08 00:00:00+00:00,KZT,0.182058,RUB_per_KZT
2020-10-08,2020-10-08 00:00:00+00:00,USD,78.0921,RUB_per_USD
2020-10-09,2020-10-09 00:00:00+00:00,CNY,11.4737,RUB_per_CNY
2020-10-09,2020-10-09 00:00:00+00:00,KZT,0.181817,RUB_per_KZT
2020-10-09,2020-10-09 00:00:00+00:00,USD,77.9157,RUB_per_USD
2020-10-10,2020-10-10 00:00:00+00:00,CNY,11.4728,RUB_per_CNY
2020-10-10,2020-10-10 00:00:00+00:00,KZT,0.180209,RUB_per_KZT
2020-10-10,2020-10-10 00:00:00+00:00,USD,77.0284,RUB_per_USD
2020-10-13,2020-10-13 00:00:00+00:00,CNY,11.4304,RUB_per_CNY
2020-10-13,2020-10-13 00:00:00+00:00,KZT,0.179946,RUB_per_KZT
2020-10-13,2020-10-13 00:00:00+00:00,USD,77.0239,RUB_per_USD
2020-10-14,2020-10-14 00:00:00+00:00,CNY,11.4672,RUB_per_CNY
2020-10-14,2020-10-14 00:00:00+00:00,KZT,0.180052,RUB_per_KZT
2020-10-14,2020-10-14 00:00:00+00:00,USD,77.2855,RUB_per_USD
2020-10-15,2020-10-15 00:00:00+00:00,CNY,11.4675,RUB_per_CNY
2020-10-15,2020-10-15 00:00:00+00:00,KZT,0.1799879999999999,RUB_per_KZT
2020-10-15,2020-10-15 00:00:00+00:00,USD,77.2759,RUB_per_USD
2020-10-16,2020-10-16 00:00:00+00:00,CNY,11.5803,RUB_per_CNY
2020-10-16,2020-10-16 00:00:00+00:00,KZT,0.181824,RUB_per_KZT
2020-10-16,2020-10-16 00:00:00+00:00,USD,77.9461,RUB_per_USD
2020-10-17,2020-10-17 00:00:00+00:00,CNY,11.6398,RUB_per_CNY
2020-10-17,2020-10-17 00:00:00+00:00,KZT,0.181697,RUB_per_KZT
2020-10-17,2020-10-17 00:00:00+00:00,USD,77.9644,RUB_per_USD
