comparison_id,candidate_id,base_id,block_length_decision_dates,repetitions,decision_dates,observed_delta_brier,ci95_low,ci95_high
cny_basis_vs_base,hgb_plus_cnyrub_basis,hgb_base,10,5000,727,-0.02809701875151019,-0.036205463881140126,-0.019668256613131516
cny_basis_vs_base,hgb_plus_cnyrub_basis,hgb_base,20,5000,727,-0.02809701875151019,-0.03758637610192595,-0.01827090491475958
cny_basis_vs_base,hgb_plus_cnyrub_basis,hgb_base,40,5000,727,-0.02809701875151019,-0.03844187864932996,-0.01806490164014912
cny_ret1_vs_base,hgb_plus_cnyrub_ret1,hgb_base,10,5000,727,-0.016866696024440277,-0.02394614625655907,-0.009772412449520592
cny_ret1_vs_base,hgb_plus_cnyrub_ret1,hgb_base,20,5000,727,-0.016866696024440277,-0.024774583208390683,-0.009054262906305864
cny_ret1_vs_base,hgb_plus_cnyrub_ret1,hgb_base,40,5000,727,-0.016866696024440277,-0.025140725439088955,-0.009412291361740065
cny_basis_ret1_vs_basis,hgb_plus_cnyrub_basis_ret1,hgb_plus_cnyrub_basis,10,5000,727,0.00043564577818589845,-0.0032553674111623332,0.004225468623393017
cny_basis_ret1_vs_basis,hgb_plus_cnyrub_basis_ret1,hgb_plus_cnyrub_basis,20,5000,727,0.00043564577818589845,-0.002960665156311663,0.003943492311658241
cny_basis_ret1_vs_basis,hgb_plus_cnyrub_basis_ret1,hgb_plus_cnyrub_basis,40,5000,727,0.00043564577818589845,-0.002999000559105078,0.004112310669452896
direct_basis_vs_base,hgb_plus_direct_corridor_basis,hgb_base,10,5000,727,-0.0008360551535338147,-0.0019707367727019643,0.0002297957706101455
direct_basis_vs_base,hgb_plus_direct_corridor_basis,hgb_base,20,5000,727,-0.0008360551535338147,-0.001989435669739793,0.0003211682725214901
direct_basis_vs_base,hgb_plus_direct_corridor_basis,hgb_base,40,5000,727,-0.0008360551535338147,-0.0019282197453766787,7.746168530916083e-05
contract_vs_cny_basis,hgb_all_contract_market,hgb_plus_cnyrub_basis,10,5000,727,0.022828405406982236,0.009617936773083658,0.03870845188905209
contract_vs_cny_basis,hgb_all_contract_market,hgb_plus_cnyrub_basis,20,5000,727,0.022828405406982236,0.007484335134078011,0.043488973194540224
contract_vs_cny_basis,hgb_all_contract_market,hgb_plus_cnyrub_basis,40,5000,727,0.022828405406982236,0.007782468855429968,0.041508500125073976
full_vs_cny_basis,hgb_full_research,hgb_plus_cnyrub_basis,10,5000,727,0.013288350198265323,0.003277505474372305,0.02545835823366805
full_vs_cny_basis,hgb_full_research,hgb_plus_cnyrub_basis,20,5000,727,0.013288350198265323,0.0018799944572021562,0.02962168864926295
full_vs_cny_basis,hgb_full_research,hgb_plus_cnyrub_basis,40,5000,727,0.013288350198265323,0.002245934769274093,0.02722460840196867
