date,client,currency,bank_side,value
2020-01-05,personal,RUB,sell,6.22
2020-01-06,personal,RUB,sell,6.26
2020-01-08,personal,RUB,sell,6.16
2020-01-09,personal,RUB,sell,6.19
2020-01-10,personal,RUB,sell,6.29
2020-01-13,personal,RUB,sell,6.24
2020-01-14,personal,RUB,sell,6.22
2020-01-15,personal,RUB,sell,6.21
2020-01-16,personal,RUB,sell,6.17
2020-01-17,personal,RUB,sell,6.27
2020-01-20,personal,RUB,sell,6.14
2020-01-21,personal,RUB,sell,6.14
2020-01-22,personal,RUB,sell,6.12
2020-01-23,personal,RUB,sell,6.14
2020-01-24,personal,RUB,sell,6.25
2020-01-27,personal,RUB,sell,6.12
2020-01-28,personal,RUB,sell,6.08
2020-01-29,personal,RUB,sell,6.09
2020-01-30,personal,RUB,sell,6.05
2020-01-31,personal,RUB,sell,6.1
2020-02-03,personal,RUB,sell,6.0
2020-02-04,personal,RUB,sell,6.04
2020-02-05,personal,RUB,sell,6.08
2020-02-06,personal,RUB,sell,6.02
2020-02-07,personal,RUB,sell,6.06
2020-02-10,personal,RUB,sell,5.97
2020-02-11,personal,RUB,sell,5.97
2020-02-12,personal,RUB,sell,6.0
2020-02-13,personal,RUB,sell,5.96
2020-02-14,personal,RUB,sell,6.05
2020-02-17,personal,RUB,sell,5.99
2020-02-18,personal,RUB,sell,5.96
2020-02-19,personal,RUB,sell,5.96
2020-02-20,personal,RUB,sell,5.93
2020-02-21,personal,RUB,sell,5.97
2020-02-24,personal,RUB,sell,5.82
2020-02-25,personal,RUB,sell,5.81
2020-02-26,personal,RUB,sell,5.81
2020-02-27,personal,RUB,sell,5.82
2020-02-28,personal,RUB,sell,5.8
2020-03-02,personal,RUB,sell,5.77
2020-03-03,personal,RUB,sell,5.77
2020-03-04,personal,RUB,sell,5.82
2020-03-05,personal,RUB,sell,5.78
2020-03-06,personal,RUB,sell,5.76
2020-03-09,personal,RUB,sell,5.5
2020-03-10,personal,RUB,sell,5.7
2020-03-11,personal,RUB,sell,5.64
2020-03-12,personal,RUB,sell,5.57
2020-03-13,personal,RUB,sell,5.96
2020-03-16,personal,RUB,sell,5.98
2020-03-17,personal,RUB,sell,6.0
2020-03-18,personal,RUB,sell,5.82
2020-03-19,personal,RUB,sell,6.06
2020-03-20,personal,RUB,sell,5.96
2020-03-23,personal,RUB,sell,5.87
2020-03-24,personal,RUB,sell,5.98
2020-03-26,personal,RUB,sell,5.98
2020-03-27,personal,RUB,sell,6.0
2020-03-30,personal,RUB,sell,5.91
2020-03-31,personal,RUB,sell,6.0
2020-04-01,personal,RUB,sell,5.99
2020-04-02,personal,RUB,sell,6.01
2020-04-03,personal,RUB,sell,6.05
2020-04-06,personal,RUB,sell,6.06
2020-04-07,personal,RUB,sell,5.98
2020-04-08,personal,RUB,sell,5.85
2020-04-09,personal,RUB,sell,6.16
2020-04-10,personal,RUB,sell,6.13
2020-04-13,personal,RUB,sell,5.92
2020-04-14,personal,RUB,sell,5.96
2020-04-15,personal,RUB,sell,5.87
2020-04-16,personal,RUB,sell,5.87
2020-04-17,personal,RUB,sell,6.09
2020-04-20,personal,RUB,sell,5.84
2020-04-21,personal,RUB,sell,5.72
2020-04-22,personal,RUB,sell,5.85
2020-04-23,personal,RUB,sell,5.86
2020-04-24,personal,RUB,sell,5.94
2020-04-27,personal,RUB,sell,5.92
2020-04-28,personal,RUB,sell,5.92
2020-04-29,personal,RUB,sell,5.94
2020-04-30,personal,RUB,sell,6.1
2020-05-01,personal,RUB,sell,5.97
2020-05-04,personal,RUB,sell,5.82
2020-05-05,personal,RUB,sell,5.79
2020-05-06,personal,RUB,sell,6.0
2020-05-11,personal,RUB,sell,5.77
2020-05-12,personal,RUB,sell,5.81
2020-05-13,personal,RUB,sell,5.82
2020-05-14,personal,RUB,sell,5.79
2020-05-15,personal,RUB,sell,6.0
2020-05-18,personal,RUB,sell,5.81
2020-05-19,personal,RUB,sell,5.83
2020-05-20,personal,RUB,sell,5.86
2020-05-21,personal,RUB,sell,5.9
2020-05-22,personal,RUB,sell,6.08
2020-05-25,personal,RUB,sell,5.89
2020-05-26,personal,RUB,sell,5.89
2020-05-27,personal,RUB,sell,5.9
2020-05-28,personal,RUB,sell,5.94
2020-05-29,personal,RUB,sell,6.13
2020-06-01,personal,RUB,sell,5.94
2020-06-02,personal,RUB,sell,5.92
2020-06-03,personal,RUB,sell,5.94
2020-06-04,personal,RUB,sell,5.88
2020-06-05,personal,RUB,sell,6.1
2020-06-08,personal,RUB,sell,5.91
2020-06-09,personal,RUB,sell,5.91
2020-06-10,personal,RUB,sell,5.93
2020-06-11,personal,RUB,sell,5.88
2020-06-12,personal,RUB,sell,6.08
2020-06-15,personal,RUB,sell,5.85
2020-06-16,personal,RUB,sell,5.88
2020-06-17,personal,RUB,sell,5.89
2020-06-18,personal,RUB,sell,5.92
2020-06-19,personal,RUB,sell,6.11
2020-06-22,personal,RUB,sell,5.88
2020-06-23,personal,RUB,sell,5.92
2020-06-24,personal,RUB,sell,5.92
2020-06-25,personal,RUB,sell,5.9
2020-06-26,personal,RUB,sell,6.11
2020-06-29,personal,RUB,sell,5.85
2020-06-30,personal,RUB,sell,5.8
2020-07-01,personal,RUB,sell,5.83
2020-07-02,personal,RUB,sell,5.85
2020-07-03,personal,RUB,sell,5.99
2020-07-07,personal,RUB,sell,5.8
2020-07-08,personal,RUB,sell,5.86
2020-07-09,personal,RUB,sell,5.91
2020-07-10,personal,RUB,sell,6.11
2020-07-13,personal,RUB,sell,5.92
2020-07-14,personal,RUB,sell,5.9
2020-07-15,personal,RUB,sell,5.91
2020-07-16,personal,RUB,sell,5.9
2020-07-17,personal,RUB,sell,6.07
2020-07-20,personal,RUB,sell,5.9
2020-07-21,personal,RUB,sell,5.93
2020-07-22,personal,RUB,sell,5.92
2020-07-23,personal,RUB,sell,5.89
2020-07-24,personal,RUB,sell,6.06
2020-07-27,personal,RUB,sell,5.89
2020-07-28,personal,RUB,sell,5.84
2020-07-29,personal,RUB,sell,5.85
2020-07-30,personal,RUB,sell,6.04
2020-08-03,personal,RUB,sell,5.84
2020-08-04,personal,RUB,sell,5.79
2020-08-05,personal,RUB,sell,5.83
2020-08-06,personal,RUB,sell,5.79
2020-08-07,personal,RUB,sell,5.99
2020-08-10,personal,RUB,sell,5.78
2020-08-11,personal,RUB,sell,5.84
2020-08-12,personal,RUB,sell,5.83
2020-08-13,personal,RUB,sell,5.79
2020-08-14,personal,RUB,sell,6.01
2020-08-17,personal,RUB,sell,5.78
2020-08-18,personal,RUB,sell,5.83
2020-08-19,personal,RUB,sell,5.8
2020-08-20,personal,RUB,sell,5.77
2020-08-21,personal,RUB,sell,5.93
2020-08-24,personal,RUB,sell,5.75
