scenario,year,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2023,frequency_gate,13446,3055,1044,24286,24286,749723386.0623099,749723386.0623099,310175.54138844006,296729.54138844006,0.0,44303976.46338007,3119,224,7141.0,1087157.6182679865,1350,67114.28571428571,9.96,0.20034482758620692,0.2272051167633497,0.07764390896921017,0.04298772955612287,229.75966028773337,219.7996602877334,4.137199761335193,70.01076791488887,0.5310873122118102,80.85360837929395,0.0
base,2023,market_only,57510,7499,2235,24286,24286,749723386.0623099,749723386.0623099,751540.0860426856,694030.0860426856,0.0,100116991.65043914,6915,542,30510.0,4640442.944146212,1350,67114.28571428571,42.6,0.856896551724138,0.1303947139627891,0.03886280646844027,0.09202832907848144,556.696360031619,514.0963600316189,10.024231603470678,75.06618743266932,0.5305164319248826,80.68932262469505,0.0
base,2023,matched_calendar,9097,1205,436,24286,24286,749723386.0623099,749723386.0623099,-34608.306359257214,-43705.306359257214,0.0,17573865.51785152,1208,181,2505.0,-140163.27085013728,1350,67114.28571428571,6.738518518518519,0.13554491272882077,0.13246125096185557,0.04792788831482907,0.01795272996788273,-25.635782488338677,-32.374301006857195,-0.46161433673593455,-19.693052916617646,0.27536550511157526,-15.40763667694155,0.0
base,2023,matched_random_market,9097,1513,524,24286,24286,749723386.0623099,749723386.0623099,163891.38090744737,154794.38090744737,0.0,19956779.48677379,1436,112,4819.0,741742.5438847983,1350,67114.28571428571,6.738518518518519,0.13554491272882077,0.16631856656040453,0.057601407057271625,0.02157621675039117,121.40102289440546,114.66250437588694,2.1860246586175753,82.12316071140897,0.5297350774980762,81.53705000382526,0.0
base,2023,user_aware,9097,5531,1849,24286,24286,749723386.0623099,749723386.0623099,608018.6034369663,598921.6034369663,0.0,82195380.80739444,5646,438,4794.0,730587.4493889746,1350,67114.28571428571,6.738518518518519,0.13554491272882077,0.6080026382323843,0.20325381994063976,0.07613439841884213,450.38415069404914,443.6456321755306,8.109905796461758,73.9723567753418,0.5269869187644278,80.31081118929038,0.0
base,2023,weekly_fixed,67500,8744,2542,24286,24286,749723386.0623099,749723386.0623099,118238.10337472722,50738.10337472721,0.0,112374153.23039205,7705,1077,22950.0,1134542.6978765724,1350,67114.28571428571,50.0,1.0057471264367817,0.12954074074074073,0.03765925925925926,0.1046693568310961,87.58378027757571,37.58378027757571,1.5770897049875459,10.521823744674878,0.34,16.808039968541813,0.0
base,2024,frequency_gate,15572,3525,1145,24452,24452,756157490.3622506,756157490.3622506,129382.2646778706,113810.2646778706,0.0,51338882.086442195,3455,338,6814.0,654712.1876474975,1350,67500.0,11.534814814814816,0.2306962962962963,0.22636783971230415,0.07352941176470588,0.046826435465401606,95.83871457620045,84.30389976138562,1.711049170667975,25.201613167194083,0.4375802722835859,42.044193915200196,0.0
base,2024,market_only,66960,8718,2482,24452,24452,756157490.3622506,756157490.3622506,452008.25228429656,385048.25228429656,0.0,114598390.68649419,7841,677,29700.0,2867248.642979719,1350,67500.0,49.6,0.992,0.13019713261648747,0.03706690561529271,0.10150498936692295,334.8209276179974,285.22092761799746,5.977699858104348,39.4428097616878,0.4435483870967742,42.82032023565889,0.0
base,2024,matched_calendar,10457,1408,472,24452,24452,756157490.3622506,756157490.3622506,-53244.90194259914,-63701.90194259914,0.0,19959454.858049117,1314,210,2639.0,-433392.0789863386,1350,67500.0,7.745925925925926,0.1549185185185185,0.1346466481782538,0.04513722865066463,0.01930312448879437,-39.440668105628994,-47.18659403155492,-0.7041509556043839,-26.676531158428354,0.2523668356125084,-41.445163908036584,0.0
base,2024,matched_random_market,10457,1648,508,24452,24452,756157490.3622506,756157490.3622506,76516.23651900838,66059.23651900838,0.0,20480381.47133273,1378,160,4654.0,445988.2781133288,1350,67500.0,7.745925925925926,0.1549185185185185,0.15759778139045616,0.048579898632494976,0.020775396695566824,56.678693717783986,48.93276779185806,1.0119087292562814,37.36074771171203,0.4450607248732906,42.649734925249,0.0
base,2024,user_aware,10457,6350,2129,24452,24452,756157490.3622506,756157490.3622506,361575.06884087616,351118.06884087616,0.0,98331318.26758194,6721,601,4566.0,447676.4333093658,1350,67500.0,7.745925925925926,0.1549185185185185,0.6072487329061872,0.20359567753657837,0.08706854245051529,267.83338432657496,260.087458400649,4.781742870359682,36.77109950432556,0.43664530936214974,42.81117273686199,0.0
base,2024,weekly_fixed,68850,8746,2520,24452,24452,756157490.3622506,756157490.3622506,75261.16825223622,6411.168252236232,0.0,117526156.53902677,8180,1187,19440.0,357057.7906799681,1350,67500.0,51.0,1.02,0.12702977487291212,0.036601307189542485,0.10305905447407165,55.749013520174984,4.749013520174986,0.9953107548558573,6.4037802705854965,0.2823529411764706,5.186024555990822,0.0
base,2025,frequency_gate,12766,2908,1017,24357,24357,756292949.4006555,756292949.4006555,207468.40566074126,194702.40566074126,0.0,43336754.751297645,3045,298,4859.0,544219.9547017686,1350,67307.14285714286,9.456296296296296,0.1896678340231349,0.22779257402475325,0.07966473445088516,0.04175391058012071,153.68030048943797,144.22400419314167,2.7432280814617553,47.873544489283425,0.3806203979320069,42.63042101690181,0.0
base,2025,market_only,54540,7111,2174,24357,24357,756292949.4006555,756292949.4006555,436357.52630372,381817.52630372,0.0,102084198.46649528,6934,646,20790.0,2246275.160917463,1350,67307.14285714286,40.4,0.8103151862464184,0.13038137147048037,0.03986065273193986,0.08925565545838979,323.2277972620148,282.8277972620148,5.7696892011160905,42.74486481342512,0.3811881188118812,41.18582986647346,0.0
base,2025,matched_calendar,8376,1064,382,24357,24357,756292949.4006555,756292949.4006555,31219.85232011327,22843.85232011327,0.0,15847398.088811168,1128,181,1738.0,-34678.1637136503,1350,67307.14285714286,6.204444444444444,0.12444444444444445,0.12702960840496658,0.04560649474689589,0.015683376442090568,23.125816533417236,16.92137208897279,0.4128010494459095,19.700301680536192,0.20749761222540591,-4.140181914237141,0.0
base,2025,matched_random_market,8376,1292,427,24357,24357,756292949.4006555,756292949.4006555,106654.10686735853,98278.10686735853,0.0,18778080.463932626,1223,121,3160.0,334926.3535647396,1350,67307.14285714286,6.204444444444444,0.12444444444444445,0.15425023877745941,0.05097898758357211,0.017530894609352546,79.00304212396928,72.79859767952483,1.4102221493917062,56.79712954271916,0.3772683858643744,39.98643189645888,0.0
base,2025,user_aware,8376,5172,1778,24357,24357,756292949.4006555,756292949.4006555,380927.3534480954,372551.3534480954,0.0,82583007.57096255,5681,510,3180.0,361451.27641551703,1350,67307.14285714286,6.204444444444444,0.12444444444444445,0.6174785100286533,0.21227316141356256,0.07299749558648438,282.16840996155213,275.9639655171077,5.036769862127783,46.12660214884633,0.37965616045845274,43.15320874110757,0.0
base,2025,weekly_fixed,68850,8880,2553,24357,24357,756292949.4006555,756292949.4006555,-384961.64375115786,-453811.64375115786,0.0,115608429.87622683,7854,1493,13500.0,-2316792.2136051827,1350,67307.14285714286,51.0,1.0229226361031518,0.1289760348583878,0.03708061002178649,0.1048158640226629,-285.1567731490058,-336.1567731490058,-5.090112820121237,-33.29875201689938,0.19607843137254902,-33.649850597025164,0.0
base,2026,frequency_gate,10633,2449,784,15699,15699,486022478.6418487,486022478.6418487,220030.4640269255,209397.4640269255,0.0,35260971.85881047,2466,225,5078.0,660628.1657789508,1350,43392.857142857145,7.876296296296296,0.24504032921810698,0.2303206997084548,0.07373271889400922,0.049939486591502644,162.98552890883371,155.1092326125374,4.527166410940152,62.40056709382719,0.47756982977522805,62.12998831740344,0.0
base,2026,market_only,45360,5874,1643,15699,15699,486022478.6418487,486022478.6418487,489540.4761655574,444180.4761655574,0.0,74736109.61076987,5239,464,21330.0,2770154.1360070896,1350,43392.857142857145,33.6,1.0453333333333332,0.1294973544973545,0.036221340388007055,0.10465634753805975,362.62257493744994,329.0225749374499,10.07238343241941,65.50253668743443,0.47023809523809523,61.070417460473756,0.0
base,2026,matched_calendar,7050,934,319,15699,15699,486022478.6418487,486022478.6418487,27881.746418317984,20831.746418317984,0.0,12348490.977287224,897,122,2944.0,351430.6718235235,1350,43392.857142857145,5.222222222222222,0.16246913580246913,0.1324822695035461,0.04524822695035461,0.02031976559016498,20.653145495050357,15.430923272828135,0.5736719522979948,22.579071782618076,0.4175886524822695,49.84832224447141,0.0
base,2026,matched_random_market,7050,1139,372,15699,15699,486022478.6418487,486022478.6418487,58475.89310760903,51425.89310760903,0.0,14060803.510457031,1044,105,3275.0,423465.08565257554,1350,43392.857142857145,5.222222222222222,0.16246913580246913,0.16156028368794326,0.05276595744680851,0.023695776801070132,43.315476376006686,38.093254153784464,1.2031520285031936,41.587874451215015,0.4645390070921986,60.06596959611001,0.0
