scenario,year,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2023,frequent,frequency_gate,6392,1368,480,17253,17253,321088032.6718425,321088032.6718425,37688.18218236375,31296.182182363755,0.0,8890836.116396124,788,98,3386.0,513079.6357674789,450,22371.428571428572,14.204444444444444,0.2857215836526181,0.21401752190237797,0.07509386733416772,0.027821248478525473,83.75151596080833,69.5470715163639,1.1737647731294214,42.38991888834922,0.5297246558197747,80.26902937538782,0.0
base,2023,frequent,market_only,19170,3445,1061,17253,17253,321088032.6718425,321088032.6718425,84570.70878692878,65400.70878692878,0.0,19592957.33055497,1684,231,10170.0,1546814.314715404,450,22371.428571428572,42.6,0.8568965517241379,0.17970787689097548,0.055346896191966616,0.06149655132440735,187.93490841539727,145.33490841539728,2.633879191422917,43.163830431581566,0.5305164319248826,80.68932262469505,0.0
base,2023,frequent,matched_calendar,3747,673,236,17253,17253,321088032.6718425,321088032.6718425,1307.8739397108143,-2439.1260602891857,0.0,4391071.336985442,399,83,1136.0,-19809.058942726366,450,22371.428571428572,8.326666666666666,0.16749042145593868,0.17961035495062716,0.06298372030958099,0.013678780501941691,2.9063865326906986,-5.420280133975968,0.04073256573369347,2.9784848373898107,0.30317587403255936,-5.286645034087634,0.0
base,2023,frequent,matched_random_market,3747,853,289,17253,17253,321088032.6718425,321088032.6718425,29349.44761539295,25602.44761539295,0.0,5382835.934819205,464,54,1987.0,306300.93398750306,450,22371.428571428572,8.326666666666666,0.16749042145593868,0.22764878569522284,0.07712836936215639,0.016750710021445545,65.22099470087322,56.89432803420655,0.9140623327244521,54.524135550081034,0.5302908993861756,81.74564557979798,0.0
base,2023,frequent,user_aware,3747,2515,868,17253,17253,321088032.6718425,321088032.6718425,69560.78044869658,65813.78044869658,0.0,15719942.138993463,1364,182,1953.0,297539.7094631473,450,22371.428571428572,8.326666666666666,0.16749042145593868,0.671203629570323,0.23165198825727248,0.0503100909986669,154.5795121082146,146.25284544154795,2.1664083793427733,44.2500232085145,0.5212169735788631,79.40744848229177,0.0
base,2023,frequent,weekly_fixed,22500,3911,1174,17253,17253,321088032.6718425,321088032.6718425,-1001.2306160935509,-23501.23061609355,0.0,22087904.691207644,1940,506,7650.0,378180.8992921908,450,22371.428571428572,50.0,1.0057471264367817,0.1738222222222222,0.052177777777777774,0.06804613690372689,-2.2249569246523353,-52.22495692465234,-0.031182433296005955,-0.4532936148045328,0.34,16.808039968541813,0.0
base,2023,monthly,frequency_gate,4720,1187,388,5132,5132,241907132.97726396,241907132.97726396,139442.12414517335,134722.12414517335,0.0,18981071.223771643,1279,78,2512.0,378486.6936593761,450,22371.428571428572,10.488888888888889,0.21098339719029374,0.25148305084745765,0.08220338983050847,0.07560405300077942,309.87138698927413,299.38249810038525,5.764283278008138,73.46378004763919,0.5322033898305085,80.187858826139,0.0
base,2023,monthly,market_only,19170,2447,703,5132,5132,241907132.97726396,241907132.97726396,192460.9316997849,173290.9316997849,0.0,33541357.05790253,2291,175,10170.0,1546814.314715404,450,22371.428571428572,42.6,0.8568965517241379,0.1276473656755347,0.03667188315075639,0.13698363211223694,427.69095933285536,385.09095933285533,7.955984155203628,57.38018630776897,0.5305164319248826,80.68932262469505,0.0
base,2023,monthly,matched_calendar,3242,362,135,5132,5132,241907132.97726396,241907132.97726396,-7190.32109284962,-10432.321092849621,0.0,6729492.540018154,444,62,901.0,-39216.544190171735,450,22371.428571428572,7.204444444444444,0.1449169859514687,0.11165946946329426,0.04164096236890808,0.026305533904910368,-15.9784913174436,-23.182935761888046,-0.2972347695727275,-10.684789454912186,0.27791486736582355,-12.096404747122682,0.0
base,2023,monthly,matched_random_market,3242,441,154,5132,5132,241907132.97726396,241907132.97726396,48127.51197666571,44885.51197666571,0.0,7138031.77966243,486,39,1726.0,268700.78311348,450,22371.428571428572,7.204444444444444,0.1449169859514687,0.13602714373843305,0.047501542257865514,0.030007794232268122,106.95002661481269,99.74558217036824,1.9895036324203408,67.4240651516709,0.5323874151758174,82.88117924536706,0.0
