scenario,year,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2023,frequency_gate,595,107,35,1115,1115,37163560.71933364,37163560.71933364,33603.64110058207,33008.64110058207,0.0,2379432.452742711,121,11,324.0,52103.22492914215,60,2982.857142857143,9.916666666666666,0.19947318007662834,0.17983193277310924,0.058823529411764705,0.03139013452914798,560.0606850097012,550.1440183430345,9.042094043238546,141.2254466893902,0.5445378151260504,87.56844525906243,0.0
base,2023,market_only,2556,318,85,1115,1115,37163560.71933364,37163560.71933364,38939.94867212291,36383.94867212291,0.0,4564817.91781521,271,25,1356.0,206241.90862872053,60,2982.857142857143,42.6,0.8568965517241378,0.12441314553990611,0.03325508607198748,0.07623318385650224,648.9991445353819,606.3991445353819,10.47799186041534,85.30449488500113,0.5305164319248826,80.68932262469504,0.0
base,2023,matched_calendar,386,58,20,1115,1115,37163560.71933364,37163560.71933364,9503.553736996257,9117.553736996257,0.0,1341810.3326469138,88,12,93.0,-6719.112816776228,60,2982.857142857143,6.433333333333334,0.12940613026819922,0.15025906735751296,0.05181347150259067,0.017937219730941704,158.39256228327093,151.95922894993762,2.557223676377224,70.82635679402715,0.24093264248704663,-17.40702802273634,0.0
base,2023,matched_random_market,386,49,18,1115,1115,37163560.71933364,37163560.71933364,17582.486038170005,17196.486038170005,0.0,1481625.807999799,53,5,207.0,32962.08765069005,60,2982.857142857143,6.433333333333334,0.12940613026819922,0.12694300518134716,0.046632124352331605,0.016143497757847534,293.0414339695001,286.60810063616674,4.731109101992762,118.67021985737705,0.5362694300518135,85.39400945774625,0.0
base,2023,user_aware,386,226,80,1115,1115,37163560.71933364,37163560.71933364,48990.531816346724,48604.531816346724,0.0,4756706.351422153,263,22,210.0,32652.765492303337,60,2982.857142857143,6.433333333333334,0.12940613026819922,0.5854922279792746,0.20725388601036268,0.07174887892376682,816.5088636057787,810.0755302724453,13.182410637756872,102.99255030048177,0.5440414507772021,84.59265671581176,0.0
base,2023,weekly_fixed,3000,400,112,1115,1115,37163560.71933364,37163560.71933364,-3545.217969960798,-6545.217969960799,0.0,5201095.9631218035,293,55,1020.0,50424.11990562544,60,2982.857142857143,50.0,1.0057471264367814,0.13333333333333333,0.037333333333333336,0.10044843049327354,-59.086966166013305,-109.08696616601331,-0.9539500256003364,-6.816290249397526,0.34,16.808039968541813,0.0
base,2024,frequency_gate,686,126,47,1121,1121,36553491.66366736,36553491.66366736,1091.1715463608966,405.1715463608966,0.0,1988729.4518202464,143,11,306.0,27904.554361230184,60,3000.0,11.433333333333334,0.22866666666666666,0.1836734693877551,0.06851311953352769,0.04192685102586976,18.18619243934828,6.752859106014943,0.2985136293957591,5.486777225339365,0.446064139941691,40.677192946399686,0.0
base,2024,market_only,2976,365,102,1121,1121,36553491.66366736,36553491.66366736,3751.6639563585054,775.6639563585072,0.0,4494794.324947381,317,29,1320.0,127433.27302132084,60,3000.0,49.6,0.992,0.1226478494623656,0.034274193548387094,0.09099018733273863,62.52773260597509,12.92773260597512,1.0263489985793894,8.346686600398394,0.4435483870967742,42.82032023565888,0.0
base,2024,matched_calendar,444,50,16,1121,1121,36553491.66366736,36553491.66366736,-963.322512546873,-1407.322512546873,0.0,426908.4689394003,50,3,117.0,-16238.83395862786,60,3000.0,7.4,0.148,0.11261261261261261,0.036036036036036036,0.014272970561998216,-16.05537520911455,-23.45537520911455,-0.2635377548636141,-22.565083211867993,0.2635135135135135,-36.57395035726996,0.0
base,2024,matched_random_market,444,69,21,1121,1121,36553491.66366736,36553491.66366736,2144.100397707998,1700.1003977079986,0.0,630137.0585115795,53,7,187.0,13361.849394912779,60,3000.0,7.4,0.148,0.1554054054054054,0.0472972972972973,0.01873327386262266,35.735006628466635,28.335006628466644,0.586565140598906,34.0259371948777,0.42117117117117114,30.0942553939477,0.0
base,2024,user_aware,444,262,95,1121,1121,36553491.66366736,36553491.66366736,11564.983513031517,11120.983513031517,0.0,4854206.065389679,313,23,211.0,22502.8173925399,60,3000.0,7.4,0.148,0.5900900900900901,0.21396396396396397,0.0847457627118644,192.74972521719195,185.34972521719195,3.1638519295070866,23.824665366988537,0.4752252252252252,50.68202115436914,0.0
