scenario,seed,year,policy,mix,exposure_weeks,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,relevance_rate,timing_bps_all_planned_volume,incremental_volume_rub
base,4101,2023,frequency_gate,active_bank_assumption,49.71428571428571,9.317499999999999,1.815,0.6074999999999999,13.305,13.305,583561.7747962412,583561.7747962412,659.0423977188566,649.7248977188565,0.0,45512.00674442103,2.335,0.18,5.0675,829.0762990864965,0.19479474107861552,11.293447003943507,0.0
base,4101,2023,market_only,active_bank_assumption,49.71428571428571,42.6,5.005,1.2974999999999999,13.305,13.305,583561.7747962412,583561.7747962412,690.4202127399966,647.8202127399966,0.0,80416.0219729077,4.82,0.4075,22.6,3437.365143812009,0.11748826291079811,11.831141835516327,0.0
base,4101,2023,matched_calendar,active_bank_assumption,49.71428571428571,6.585,0.97,0.31499999999999995,13.305,13.305,583561.7747962412,583561.7747962412,216.33380718399036,209.74880718399038,0.0,23817.240452213297,1.5575,0.16499999999999998,1.645,-111.926759903592,0.14730447987851178,3.7071277888193817,0.0
base,4101,2023,matched_random_market,active_bank_assumption,49.71428571428571,6.585,0.7150000000000001,0.26749999999999996,13.305,13.305,583561.7747962412,583561.7747962412,310.7608456600494,304.1758456600495,0.0,25073.640775310538,0.9099999999999999,0.055,3.5524999999999998,578.3068329305171,0.10858010630220198,5.3252433432357,0.0
base,4101,2023,user_aware,active_bank_assumption,49.71428571428571,6.585,3.7024999999999997,1.295,13.305,13.305,583561.7747962412,583561.7747962412,928.1569336949472,921.5719336949471,0.0,87129.75516734259,4.859999999999999,0.375,3.5999999999999996,577.9581573847514,0.5622627182991647,15.905033087868482,0.0
base,4101,2023,weekly_fixed,active_bank_assumption,49.71428571428571,50.0,6.3625,1.7850000000000001,13.305,13.305,583561.7747962412,583561.7747962412,-90.40284216563143,-140.40284216563143,0.0,95706.43931951025,5.390000000000001,0.79,17.0,840.4019984270908,0.12725,-1.5491563373422952,0.0
base,4101,2024,frequency_gate,active_bank_assumption,50.0,10.5125,1.885,0.715,13.295,13.295,561972.871492102,561972.871492102,17.843876329404047,7.331376329404058,0.0,36745.62201209711,2.5975,0.1825,4.805,468.80197391700165,0.17931034482758623,0.31752202347466557,0.0
base,4101,2024,market_only,active_bank_assumption,50.0,49.599999999999994,5.79,1.66,13.295,13.295,561972.871492102,561972.871492102,116.50402024941249,66.90402024941253,0.0,84583.68736357556,5.887499999999999,0.5175,22.0,2123.8878836886806,0.11673387096774195,2.07312534393486,0.0
base,4101,2024,matched_calendar,active_bank_assumption,50.0,7.215,0.78,0.2475,13.295,13.295,561972.871492102,561972.871492102,-7.720278292252683,-14.935278292252683,0.0,7152.401086556103,0.8424999999999999,0.042499999999999996,1.9475,-262.98547528262065,0.10810810810810811,-0.13737813129225374,0.0
base,4101,2024,matched_random_market,active_bank_assumption,50.0,7.215,1.0499999999999998,0.275,13.295,13.295,561972.871492102,561972.871492102,28.424067421571916,21.209067421571916,0.0,9856.942288400816,0.86,0.1075,3.0175,215.03666786586143,0.1455301455301455,0.5057907394373464,0.0
