scenario,year,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2023,frequent,frequency_gate,267,38,11,794,794,16157410.080426559,16157410.080426559,378.08452345975087,111.08452345975094,0.0,304638.1116147624,18,5,139.0,20012.628239451547,20,994.2857142857143,13.35,0.2685344827586207,0.14232209737827714,0.04119850187265917,0.013853904282115869,18.904226172987542,5.554226172987547,0.23400069787036648,12.410939703364066,0.5205992509363296,74.95366381817058,0.0
base,2023,frequent,market_only,852,128,37,794,794,16157410.080426559,16157410.080426559,4948.022810263184,4096.022810263184,0.0,871798.6498357357,59,9,452.0,68747.30287624018,20,994.2857142857143,42.6,0.8568965517241379,0.15023474178403756,0.04342723004694836,0.04659949622166247,247.4011405131592,204.80114051315917,3.062386103734117,56.75648627347026,0.5305164319248826,80.68932262469505,0.0
base,2023,frequent,matched_calendar,125,21,8,794,794,16157410.080426559,16157410.080426559,-916.5768160515152,-1041.5768160515152,0.0,233511.1767240379,14,6,26.0,-2126.541587305716,20,994.2857142857143,6.25,0.1257183908045977,0.168,0.064,0.010075566750629723,-45.828840802575755,-52.078840802575755,-0.5672795401546913,-39.25194626271444,0.208,-17.01233269844573,0.0
base,2023,frequent,matched_random_market,125,24,7,794,794,16157410.080426559,16157410.080426559,292.2802004845849,167.2802004845849,0.0,177120.79753494498,10,4,64.0,9271.438820575377,20,994.2857142857143,6.25,0.1257183908045977,0.192,0.056,0.008816120906801008,14.614010024229245,8.364010024229245,0.18089545232169327,16.501743699913025,0.512,74.17151056460301,0.0
base,2023,frequent,user_aware,125,83,30,794,794,16157410.080426559,16157410.080426559,2630.798580465212,2505.798580465212,0.0,710823.1124043999,47,7,66.0,8306.316125003406,20,994.2857142857143,6.25,0.1257183908045977,0.664,0.24,0.037783375314861464,131.5399290232606,125.28992902326061,1.6282303706905472,37.01059426115712,0.528,66.45052900002725,0.0
base,2023,frequent,weekly_fixed,1000,165,49,794,794,16157410.080426559,16157410.080426559,-1026.113576006686,-2026.113576006686,0.0,1009518.2820979034,66,27,340.0,16808.039968541816,20,994.2857142857143,50.0,1.0057471264367817,0.165,0.049,0.061712846347607056,-51.30567880033429,-101.30567880033429,-0.6350730537252022,-10.16438824539458,0.34,16.808039968541816,0.0
base,2023,monthly,frequency_gate,210,43,14,231,231,12636475.068289079,12636475.068289079,9967.936492435729,9757.936492435729,0.0,922442.6583428268,53,5,105.0,15652.819362803271,20,994.2857142857143,10.5,0.21120689655172412,0.20476190476190476,0.06666666666666667,0.06060606060606061,498.39682462178644,487.89682462178644,7.8882255047928815,108.06022902651944,0.5,74.53723506096796,0.0
base,2023,monthly,market_only,852,96,24,231,231,12636475.068289079,12636475.068289079,7793.511877397009,6941.511877397009,0.0,1233292.654599851,89,8,452.0,68747.30287624018,20,994.2857142857143,42.6,0.8568965517241379,0.11267605633802817,0.028169014084507043,0.1038961038961039,389.67559386985045,347.0755938698504,6.167472998031416,63.192721113916456,0.5305164319248826,80.68932262469505,0.0
base,2023,monthly,matched_calendar,144,22,6,231,231,12636475.068289079,12636475.068289079,5447.446483472094,5303.446483472094,0.0,356089.5197510243,21,2,37.0,-2081.026864408689,20,994.2857142857143,7.2,0.14482758620689654,0.1527777777777778,0.041666666666666664,0.025974025974025976,272.3723241736047,265.1723241736047,4.3108908568516275,152.97969137875543,0.2569444444444444,-14.451575447282563,0.0
base,2023,monthly,matched_random_market,144,13,3,231,231,12636475.068289079,12636475.068289079,798.6855995893694,654.6855995893694,0.0,122186.28142180044,11,1,76.0,12557.958299892653,20,994.2857142857143,7.2,0.14482758620689654,0.09027777777777778,0.020833333333333332,0.012987012987012988,39.93427997946847,32.73427997946847,0.6320477785720886,65.36622526650265,0.5277777777777778,87.20804374925453,0.0
base,2023,monthly,user_aware,144,77,26,231,231,12636475.068289079,12636475.068289079,12950.748361804222,12806.748361804222,0.0,1466083.3521998564,97,8,78.0,11946.389669263615,20,994.2857142857143,7.2,0.14482758620689654,0.5347222222222222,0.18055555555555555,0.11255411255411256,647.5374180902111,640.3374180902111,10.24870329092312,88.33568938881707,0.5416666666666666,82.96103936988622,0.0
base,2023,monthly,weekly_fixed,1000,135,42,231,231,12636475.068289079,12636475.068289079,-5149.688460184576,-6149.688460184576,0.0,1970992.3714476982,123,13,340.0,16808.039968541816,20,994.2857142857143,50.0,1.0057471264367817,0.135,0.042,0.18181818181818182,-257.4844230092288,-307.4844230092288,-4.075257088986462,-26.127389099949273,0.34,16.808039968541816,0.0
base,2023,occasional,frequency_gate,118,26,10,90,90,8369675.5706180055,8369675.5706180055,23257.620084686587,23139.620084686587,0.0,1152351.6827851222,50,1,80.0,16437.777326887328,20,994.2857142857143,5.9,0.11867816091954023,0.22033898305084745,0.0847457627118644,0.1111111111111111,1162.8810042343293,1156.9810042343292,27.78795891005997,201.82744931195984,0.6779661016949152,139.30319768548583,0.0
base,2023,occasional,market_only,852,94,24,90,90,8369675.5706180055,8369675.5706180055,26198.413984462717,25346.413984462717,0.0,2459726.6133796237,123,8,452.0,68747.30287624018,20,994.2857142857143,42.6,0.8568965517241379,0.11032863849765258,0.028169014084507043,0.26666666666666666,1309.920699223136,1267.3206992231358,31.301588410945136,106.50945451399791,0.5305164319248826,80.68932262469505,0.0
base,2023,occasional,matched_calendar,117,15,6,90,90,8369675.5706180055,8369675.5706180055,4972.684069575679,4855.684069575679,0.0,752209.6361718518,53,4,30.0,-2511.5443650618226,20,994.2857142857143,5.85,0.11767241379310345,0.1282051282051282,0.05128205128205128,0.06666666666666667,248.63420347878395,242.78420347878395,5.941310421914602,66.10768900652062,0.2564102564102564,-21.466191154374552,0.0
base,2023,occasional,matched_random_market,117,12,8,90,90,8369675.5706180055,8369675.5706180055,16491.52023809605,16374.52023809605,0.0,1182318.7290430537,32,0,67.0,11132.690530222026,20,994.2857142857143,5.85,0.11767241379310345,0.10256410256410256,0.06837606837606838,0.08888888888888889,824.5760119048025,818.7260119048026,19.703894253667396,139.48455550090094,0.5726495726495726,95.15120111300877,0.0
base,2023,occasional,user_aware,117,66,24,90,90,8369675.5706180055,8369675.5706180055,33408.98487407729,33291.98487407729,0.0,2579799.8868178967,119,7,66.0,12400.059698036313,20,994.2857142857143,5.85,0.11767241379310345,0.5641025641025641,0.20512820512820512,0.26666666666666666,1670.4492437038643,1664.5992437038644,39.916702376565844,129.50223404841773,0.5641025641025641,105.9834162225326,0.0
base,2023,occasional,weekly_fixed,1000,100,21,90,90,8369675.5706180055,8369675.5706180055,2630.584066230464,1630.584066230464,0.0,2220585.3095762017,104,15,340.0,16808.039968541816,20,994.2857142857143,50.0,1.0057471264367817,0.1,0.021,0.23333333333333334,131.5292033115232,81.5292033115232,3.1429940671358962,11.846354449370425,0.34,16.808039968541816,0.0
base,2024,frequent,frequency_gate,324,62,22,804,804,16509345.727237279,16509345.727237279,1888.9945730514216,1564.9945730514216,0.0,393907.0368790894,31,4,136.0,10247.496726486494,20,1000.0,16.2,0.324,0.19135802469135801,0.06790123456790123,0.02736318407960199,94.44972865257108,78.24972865257108,1.1441971137202247,47.95533961560713,0.41975308641975306,31.62807631631634,0.0
base,2024,frequent,market_only,992,152,41,804,804,16509345.727237279,16509345.727237279,2580.998042463359,1588.998042463359,0.0,766502.025861212,68,8,440.0,42477.757673773616,20,1000.0,49.6,0.992,0.1532258064516129,0.04133064516129032,0.05099502487562189,129.04990212316795,79.44990212316796,1.5633557411092334,33.67242297322632,0.4435483870967742,42.82032023565889,0.0
base,2024,frequent,matched_calendar,171,23,7,804,804,16509345.727237279,16509345.727237279,-673.3231751969097,-844.3231751969097,0.0,118780.41391004044,10,1,43.0,-5609.928805410808,20,1000.0,8.55,0.171,0.13450292397660818,0.04093567251461988,0.008706467661691543,-33.66615875984549,-42.216158759845484,-0.407843645848457,-56.6863806104311,0.25146198830409355,-32.806601201232795,0.0
base,2024,frequent,matched_random_market,171,33,13,804,804,16509345.727237279,16509345.727237279,1179.779376995895,1008.7793769958951,0.0,250103.5430220865,21,3,72.0,4440.758028601422,20,1000.0,8.55,0.171,0.19298245614035087,0.07602339181286549,0.01616915422885572,58.98896884979475,50.438968849794755,0.7146130419023714,47.17163790405438,0.42105263157894735,25.969345196499543,0.0
