TRADEDATE,SECID,CLOSE
2019-08-01,CNYFIXME,9.2625
2019-08-02,CNYFIXME,9.3254
2019-08-05,CNYFIXME,9.1574
2019-08-06,CNYFIXME,9.2232
2019-08-07,CNYFIXME,9.192
2019-08-08,CNYFIXME,9.2234
2019-08-09,CNYFIXME,9.2316
2019-08-12,CNYFIXME,9.2178
2019-08-13,CNYFIXME,9.2344
2019-08-14,CNYFIXME,9.262
2019-08-15,CNYFIXME,9.3996
2019-08-16,CNYFIXME,9.3514
2019-08-19,CNYFIXME,9.4726
2019-08-20,CNYFIXME,9.4421
2019-08-21,CNYFIXME,9.361
2019-08-22,CNYFIXME,9.2519
2019-08-23,CNYFIXME,9.2639
2019-08-26,CNYFIXME,9.2091
2019-08-27,CNYFIXME,9.25
2019-08-28,CNYFIXME,9.3126
2019-08-29,CNYFIXME,9.3242
2019-08-30,CNYFIXME,9.2932
2019-09-02,CNYFIXME,9.2935
2019-09-03,CNYFIXME,9.3171
2019-09-04,CNYFIXME,9.2864
2019-09-05,CNYFIXME,9.2292
2019-09-06,CNYFIXME,9.2681
2019-09-09,CNYFIXME,9.1951
2019-09-10,CNYFIXME,9.2159
2019-09-11,CNYFIXME,9.1885
2019-09-12,CNYFIXME,9.1969
2019-09-13,CNYFIXME,9.1328
2019-09-16,CNYFIXME,9.0707
2019-09-17,CNYFIXME,9.049
2019-09-18,CNYFIXME,9.0942
2019-09-19,CNYFIXME,9.0486
2019-09-20,CNYFIXME,9.0133
2019-09-23,CNYFIXME,8.9844
2019-09-24,CNYFIXME,8.969
2019-09-25,CNYFIXME,9.0268
2019-09-26,CNYFIXME,9.0193
2019-09-27,CNYFIXME,9.0465
2019-09-30,CNYFIXME,9.0731
2019-10-01,CNYFIXME,9.1048
2019-10-02,CNYFIXME,9.1562
2019-10-03,CNYFIXME,9.132
2019-10-04,CNYFIXME,9.0986
2019-10-07,CNYFIXME,9.0985
2019-10-08,CNYFIXME,9.1124
2019-10-09,CNYFIXME,9.1032
2019-10-10,CNYFIXME,9.1006
2019-10-11,CNYFIXME,9.0494
2019-10-14,CNYFIXME,9.0865
2019-10-15,CNYFIXME,9.1033
2019-10-16,CNYFIXME,9.0614
2019-10-17,CNYFIXME,9.044
2019-10-18,CNYFIXME,9.0316
2019-10-21,CNYFIXME,9.0162
2019-10-22,CNYFIXME,8.996
2019-10-23,CNYFIXME,9.023
2019-10-24,CNYFIXME,9.0386
2019-10-25,CNYFIXME,9.0486
2019-10-28,CNYFIXME,9.0223
2019-10-29,CNYFIXME,9.0497
2019-10-30,CNYFIXME,9.0437
2019-10-31,CNYFIXME,9.0743
2019-11-01,CNYFIXME,9.0935
2019-11-05,CNYFIXME,9.0474
2019-11-06,CNYFIXME,9.0996
2019-11-07,CNYFIXME,9.1285
2019-11-08,CNYFIXME,9.1441
2019-11-11,CNYFIXME,9.1136
2019-11-12,CNYFIXME,9.132
2019-11-13,CNYFIXME,9.1764
2019-11-14,CNYFIXME,9.1401
2019-11-15,CNYFIXME,9.1066
2019-11-18,CNYFIXME,9.099
2019-11-19,CNYFIXME,9.0679
2019-11-20,CNYFIXME,9.0892
2019-11-21,CNYFIXME,9.0585
2019-11-22,CNYFIXME,9.0369
2019-11-25,CNYFIXME,9.0702
2019-11-26,CNYFIXME,9.1056
2019-11-27,CNYFIXME,9.1079
2019-11-28,CNYFIXME,9.1171
2019-11-29,CNYFIXME,9.1234
2019-12-02,CNYFIXME,9.1393
2019-12-04,CNYFIXME,9.0767
2019-12-05,CNYFIXME,9.0763
2019-12-06,CNYFIXME,9.071
2019-12-09,CNYFIXME,9.0595
2019-12-10,CNYFIXME,9.0347
2019-12-11,CNYFIXME,9.0288
2019-12-12,CNYFIXME,8.9892
2019-12-13,CNYFIXME,8.9539
2019-12-16,CNYFIXME,8.9573
2019-12-17,CNYFIXME,8.963
2019-12-18,CNYFIXME,8.9398
2019-12-19,CNYFIXME,8.9134
2019-12-20,CNYFIXME,8.8976
2019-12-23,CNYFIXME,8.8894
2019-12-24,CNYFIXME,8.8692
2019-12-25,CNYFIXME,8.8368
2019-12-26,CNYFIXME,8.8169
2019-12-27,CNYFIXME,8.8675
2019-12-30,CNYFIXME,8.8354
