TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,WAPRICE,OPEN_RUB_PER_UNIT,LOW_RUB_PER_UNIT,HIGH_RUB_PER_UNIT,CLOSE_RUB_PER_UNIT,WAPRICE_RUB_PER_UNIT
2013-04-15,5.058,5.0567,5.0795,5.06,14,5.062,5.058,5.0567,5.0795,5.06,5.062
2013-04-16,5.083,5.079,5.086,5.085,8,5.0823,5.083,5.079,5.086,5.085,5.0823
2013-04-17,5.06,5.0505,5.09,5.09,5,5.0652,5.06,5.0505,5.09,5.09,5.0652
2013-04-18,0.0,0.0,0.0,0.0,0,5.0652,0.0,0.0,0.0,0.0,5.0652
2013-04-19,5.1,5.099,5.1027,5.1027,4,5.1002,5.1,5.099,5.1027,5.1027,5.1002
2013-04-22,0.0,0.0,0.0,0.0,0,5.1002,0.0,0.0,0.0,0.0,5.1002
2013-04-23,5.122,5.12,5.13,5.13,4,5.1246,5.122,5.12,5.13,5.13,5.1246
2013-04-24,5.12,5.115,5.12,5.115,4,5.1177,5.12,5.115,5.12,5.115,5.1177
2013-04-25,5.078,5.078,5.078,5.078,2,5.078,5.078,5.078,5.078,5.078,5.078
2013-04-26,0.0,0.0,0.0,0.0,0,5.078,0.0,0.0,0.0,0.0,5.078
2013-04-29,5.0576,5.0576,5.0576,5.0576,1,5.0576,5.0576,5.0576,5.0576,5.0576,5.0576
2013-04-30,5.045,5.045,5.045,5.045,1,5.045,5.045,5.045,5.045,5.045,5.045
2013-05-02,0.0,0.0,0.0,0.0,0,5.045,0.0,0.0,0.0,0.0,5.045
2013-05-03,0.0,0.0,0.0,0.0,0,5.045,0.0,0.0,0.0,0.0,5.045
2013-05-06,5.039,5.036,5.0397,5.0397,4,5.0378,5.039,5.036,5.0397,5.0397,5.0378
2013-05-07,5.038,5.038,5.0516,5.0516,2,5.0493,5.038,5.038,5.0516,5.0516,5.0493
