config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,candidate_signal_count,candidate_signal_hits,candidate_hit_rate,candidate_expected_hits_cell_standardized,candidate_cell_standardized_lift,candidate_false_positives,candidate_false_negatives,candidate_weighted_error_1,candidate_weighted_error_2,candidate_weighted_error_3,candidate_weighted_error_5,lift,expected_signal_hits_cell_standardized,signal_weighted_baseline_hit_rate,cell_standardized_lift,mean_signals_per_week,mean_portfolio_signals_per_week,mean_candidate_signals_per_corridor_week,minimum_fold_corridor_candidate_signals_per_week,maximum_fold_corridor_candidate_signals_per_week,mean_candidate_silent_week_share,minimum_candidate_weeks_with_1_to_2_signals_share,mean_candidate_weeks_with_1_to_2_signals_share,maximum_candidate_calendar_gap_days,candidate_top_fold_signal_share,mean_portfolio_silent_week_share,minimum_portfolio_weeks_with_1_to_2_signals_share,mean_portfolio_weeks_with_1_to_2_signals_share,maximum_portfolio_calendar_gap_days,portfolio_top_fold_signal_share,min_fold_lift,folds_lift_ge_1,active_fold_count,fold_count,candidate_min_fold_lift,candidate_folds_lift_ge_1,candidate_active_fold_count,min_corridor_lift,corridors_lift_ge_1,active_corridor_count,corridor_count,candidate_min_corridor_lift,candidate_corridors_lift_ge_1,candidate_active_corridor_count,positive_fold_corridor_cells,active_fold_corridor_cells,fold_corridor_cell_count,signal_symmetric_bps,baseline_symmetric_bps,symmetric_bps_delta,cell_standardized_symmetric_bps_delta,signal_forward_bps,baseline_forward_bps,forward_bps_delta,cell_standardized_forward_bps_delta,signal_regret_bps,baseline_regret_bps,regret_bps_improvement,cell_standardized_regret_bps_improvement,candidate_signal_symmetric_bps,candidate_cell_standardized_symmetric_bps_delta,candidate_signal_forward_bps,candidate_cell_standardized_forward_bps_delta,candidate_signal_regret_bps,candidate_cell_standardized_regret_bps_improvement,model_brier,prior_year_prevalence_brier,brier_skill_vs_prior_year,exploratory_post_selection,prediction_rows,brier,log_loss,average_precision,roc_auc,macro_fold_corridor_brier,worst_fold_corridor_brier,macro_fold_corridor_log_loss,worst_fold_corridor_log_loss,macro_fold_corridor_average_precision,worst_fold_corridor_average_precision,macro_fold_corridor_roc_auc,worst_fold_corridor_roc_auc,raw_brier
hgb_base,hist_gradient_boosting,hgb_base,5,780,267,0.3423076923076923,39,9,0.23076923076923078,166,54,0.3253012048192771,56.46153846153845,0.9564032697547685,112,213,0.4166666666666667,0.5602564102564103,0.7038461538461539,0.9910256410256411,0.6741573033707865,13.12179487179487,0.33645627876397105,0.6858817782120177,1.2133333333333334,1.2133333333333334,1.032888888888889,0.7466666666666667,1.2133333333333334,0.10322580645161288,0.6451612903225806,0.8967741935483872,29.0,1.0,0.0,1.0,1.0,7.0,1.0,0.6858817782120176,0,1,1,0.9564032697547685,0,1,,1,4,5,0.6923076923076923,3,5,1,4,5,12.092406967512497,2.381282585779129,9.711124381733368,10.055958778306655,36.646908596244884,23.3650307120098,13.281877884235083,12.86265077318215,92.90298876592614,109.22951758390055,16.326528817974406,8.478067952255657,13.759504619246169,11.421974084685273,33.93981960237816,11.41363663681841,97.68197594831919,10.44041327730784,0.23805928985841482,0.24186075632356618,0.015717582806471064,True,780,0.23805928985841487,0.6761695251591017,0.374772221738193,0.5491016346525908,0.23805928985841485,0.258585556076788,0.6761695251591016,0.720987004229429,0.39252826029637095,0.33252973739724856,0.5516360028183465,0.4945950735424419,0.22768743053264542
hgb_base__cboe,hist_gradient_boosting,hgb_base__cboe,5,780,267,0.3423076923076923,32,14,0.4375,123,47,0.3821138211382114,41.88461538461538,1.1221303948576677,76,220,0.37948717948717947,0.47692307692307695,0.5743589743589743,0.7692307692307693,1.2780898876404494,11.115384615384615,0.3473557692307692,1.259515570934256,0.9955555555555556,0.9955555555555556,0.7653333333333332,0.4355555555555555,0.9333333333333332,0.2645161290322581,0.3870967741935484,0.735483870967742,41.0,1.0,0.0967741935483871,0.9032258064516128,0.9032258064516128,17.0,1.0,1.259515570934256,1,1,1,1.1221303948576677,1,1,,2,4,5,0.9774436090225567,4,5,2,4,5,11.29249611939779,2.381282585779129,8.91121353361866,9.01776786584475,36.78700935616845,23.3650307120098,13.421978644158646,15.896869280700777,86.53789438729603,109.22951758390055,22.69162319660451,19.81977855386006,7.24473042044133,4.899014581978373,31.694029934555534,9.764800060652924,98.00128643265847,9.923869846015094,0.23999865537727053,0.24186075632356618,0.007699061950358299,True,780,0.23999865537727058,0.6818626147185458,0.40670315179109945,0.5789875229063087,0.23999865537727055,0.26275919219900346,0.6818626147185458,0.733001367917358,0.42458510166372837,0.38028383705289925,0.5830004762381029,0.5426191741981216,0.22523730980547224
hgb_base__fred,hist_gradient_boosting,hgb_base__fred,5,780,267,0.3423076923076923,38,12,0.3157894736842105,177,57,0.3220338983050847,60.455128205128204,0.9428480542890467,120,210,0.4230769230769231,0.5769230769230769,0.7307692307692307,1.0384615384615385,0.9225310467179183,12.846153846153845,0.3380566801619433,0.9341317365269461,1.1822222222222225,1.1822222222222225,1.1013333333333333,1.0266666666666666,1.1822222222222225,0.08387096774193545,0.8709677419354839,0.9161290322580646,19.0,1.0,0.032258064516129,0.967741935483871,0.967741935483871,10.0,1.0,0.9341317365269461,0,1,1,0.9428480542890467,0,1,0.7500000000000001,3,5,5,0.8357142857142856,2,5,3,5,5,12.358750344531774,2.381282585779129,9.977467758752645,10.072687260750207,43.37475784565442,23.3650307120098,20.00972713364462,17.79932898398429,97.76744492098392,109.22951758390055,11.462072662916626,7.835865017306347,1.593653863908099,-0.7804015065876917,27.487614115093447,4.098304076215065,102.38519684782163,6.6081533816061295,0.22073644367418502,0.24186075632356618,0.08734080290859847,True,780,0.22073644367418505,0.6337806253313958,0.4315836304755753,0.5877302494688658,0.22073644367418507,0.23223994016178034,0.6337806253313958,0.6589090204956362,0.4487535579502042,0.37165199550510053,0.592378937312937,0.5722133616870458,0.22073644367418505
hgb_base__gpr,hist_gradient_boosting,hgb_base__gpr,5,780,267,0.3423076923076923,38,14,0.3684210526315789,167,53,0.31736526946107785,56.647435897435884,0.9356116329070954,114,214,0.4205128205128205,0.5666666666666667,0.7128205128205128,1.005128205128205,1.0762862211709048,11.987179487179487,0.31545209176788125,1.1679144385026738,1.1822222222222225,1.1822222222222225,1.0391111111111113,0.7466666666666667,1.1822222222222225,0.12258064516129027,0.6774193548387096,0.8774193548387098,43.0,1.0,0.0,1.0,1.0,8.0,1.0,1.1679144385026738,1,1,1,0.9356116329070953,0,1,,3,4,5,0.7583333333333334,2,5,3,4,5,13.912792085035296,2.381282585779129,11.531509499256167,11.730369568404798,35.11830145245091,23.3650307120098,11.753270740441106,17.17181663673823,96.26250624905276,109.22951758390055,12.967011334847783,11.800973385702335,5.391010682826631,3.0015720684314204,16.0864733519277,-7.454170438275167,113.03746085571778,-3.759976507256809,0.26145142451728387,0.24186075632356618,-0.08099978058246404,True,780,0.26145142451728387,0.7430503262259832,0.2720546142977089,0.36601178351621877,0.26145142451728387,0.2854605109076235,0.7430503262259831,0.8151231244578464,0.27769168548285517,0.24141736224884192,0.3645776078835034,0.30409356725146197,0.26145142451728387
hgb_plus_cnyrub_basis,hist_gradient_boosting,hgb_plus_cnyrub_basis,5,780,267,0.3423076923076923,34,18,0.5294117647058824,168,79,0.47023809523809523,57.44230769230769,1.3752929360562436,89,188,0.35512820512820514,0.46923076923076923,0.5833333333333334,0.8115384615384615,1.5465961665565102,11.352564102564102,0.3338989441930618,1.585544889892716,1.0577777777777777,1.0577777777777777,1.0453333333333332,1.0266666666666666,1.0577777777777777,0.09032258064516126,0.8709677419354839,0.9096774193548386,13.0,1.0,0.0967741935483871,0.9032258064516128,0.9032258064516128,12.0,1.0,1.585544889892716,1,1,1,1.3752929360562438,1,1,0.4285714285714286,3,5,5,0.9952153110047849,4,5,3,5,5,21.187637910754834,2.381282585779129,18.806355324975705,18.811589771384448,56.929454104750505,23.3650307120098,33.56442339274071,35.773723356088034,82.54356683123406,109.22951758390055,26.685950752666486,24.503845623908646,28.294596557398354,25.916718484748642,61.07041746047376,37.770423127129746,80.82230456741556,28.314138597949295,0.20662686602476488,0.24186075632356618,0.14567840948808042,True,780,0.20662686602476496,0.6058275047333948,0.5412373457838133,0.7058975987617817,0.20662686602476493,0.23698814647799885,0.6058275047333949,0.6915462211749547,0.5496620674729955,0.5112244100152238,0.7073202856095796,0.6384015594541911,0.20121301136672742
hgb_plus_cnyrub_basis__all_new,hist_gradient_boosting,hgb_plus_cnyrub_basis__all_new,5,780,267,0.3423076923076923,34,15,0.4411764705882353,164,81,0.49390243902439024,56.03846153846154,1.4454358270418668,83,186,0.34487179487179487,0.4512820512820513,0.5576923076923077,0.7705128205128206,1.2888301387970917,11.679487179487179,0.34351432880844646,1.2843029637760703,1.0577777777777777,1.0577777777777777,1.0204444444444443,0.9333333333333332,1.0577777777777777,0.09032258064516126,0.8064516129032258,0.9096774193548388,19.0,1.0,0.064516129032258,0.935483870967742,0.935483870967742,10.0,1.0,1.2843029637760703,1,1,1,1.445435827041867,1,1,0.0,3,5,5,1.323529411764706,5,5,3,5,5,20.440871014266108,2.381282585779129,18.05958842848698,18.001963249785003,55.91451350154607,23.3650307120098,32.54948278953627,33.95660949718349,92.49614824121421,109.22951758390055,16.73336934268633,15.87405162462224,25.661917195559194,23.29122047312031,62.867718235521394,39.778929984963696,83.53201238290123,25.390158465788517,0.22482368856122184,0.24186075632356618,0.07044163766506961,True,780,0.22482368856122187,0.6520696769442642,0.502910811171835,0.6792496221827978,0.2248236885612219,0.25059604900633553,0.6520696769442642,0.7253218037420595,0.5124144763740787,0.4735047123755256,0.6813755788117977,0.6482367534999114,0.20996094585934202
hgb_plus_cnyrub_basis__cboe,hist_gradient_boosting,hgb_plus_cnyrub_basis__cboe,5,780,267,0.3423076923076923,34,13,0.38235294117647056,165,78,0.4727272727272727,56.35897435897435,1.3839854413102823,87,189,0.35384615384615387,0.4653846153846154,0.5769230769230769,0.8,1.116986120290813,11.506410256410255,0.33842383107088986,1.1298050139275766,1.0577777777777777,1.0577777777777777,1.0266666666666668,0.9955555555555556,1.0577777777777777,0.08387096774193545,0.8709677419354839,0.9161290322580646,14.0,1.0,0.064516129032258,0.935483870967742,0.935483870967742,12.0,1.0,1.1298050139275766,1,1,1,1.3839854413102823,1,1,0.0,3,5,5,1.1118421052631582,5,5,3,5,5,11.711604350905693,2.381282585779129,9.330321765126564,9.233410840473471,45.032368144086405,23.3650307120098,21.667337432076604,22.959609459845872,101.44589381434575,109.22951758390055,7.783623769554794,7.007389837746217,27.074289905093124,24.696681487198312,63.941104621689895,40.71595314098448,83.52545690560305,25.577169925189494,0.21066982170954426,0.24186075632356618,0.12896236284109708,True,780,0.2106698217095443,0.6214409956879176,0.5305950333272714,0.7068832088544291,0.21066982170954424,0.2420835892148681,0.6214409956879176,0.7190732765645368,0.5466031343075584,0.5165334123625295,0.709970115233344,0.6481481481481481,0.20202340561187268
hgb_plus_cnyrub_basis__fred,hist_gradient_boosting,hgb_plus_cnyrub_basis__fred,5,780,267,0.3423076923076923,35,23,0.6571428571428571,171,85,0.49707602339181284,58.55769230769231,1.451559934318555,86,182,0.3435897435897436,0.45384615384615384,0.5641025641025641,0.7846153846153846,1.9197431781701444,12.205128205128204,0.3487179487179487,1.8844537815126052,1.088888888888889,1.088888888888889,1.064,1.0577777777777777,1.088888888888889,0.058064516129032205,0.9032258064516128,0.9419354838709678,12.0,1.0,0.0,1.0,1.0,8.0,1.0,1.8844537815126052,1,1,1,1.451559934318555,1,1,0.75,4,5,5,1.3293233082706768,5,5,4,5,5,24.90011209838951,2.381282585779129,22.51882951261038,22.27616059799501,70.3695957616045,23.3650307120098,47.0045650495947,42.659318645503326,90.83938572675498,109.22951758390055,18.390131857145562,22.159193718131462,29.053105018023114,26.668692445910324,61.72470839354836,38.278978584581196,82.54246766668955,26.75786665193759,0.20621267097027038,0.24186075632356618,0.14739094467068103,True,780,0.20621267097027043,0.6000385794644572,0.5377651242820037,0.708080542596608,0.20621267097027043,0.23282880712220846,0.6000385794644572,0.6718545856707878,0.5466481600238635,0.5274808564770281,0.7090921626455183,0.6492114123693071,0.2003283921700114
hgb_plus_cnyrub_basis__gpr,hist_gradient_boosting,hgb_plus_cnyrub_basis__gpr,5,780,267,0.3423076923076923,32,16,0.5,154,76,0.4935064935064935,52.64743589743589,1.4435650797516135,78,191,0.34487179487179487,0.44487179487179485,0.5448717948717948,0.7448717948717949,1.4606741573033708,10.762820512820513,0.336338141025641,1.4865991661703395,0.9955555555555556,0.9955555555555556,0.9582222222222223,0.9022222222222224,0.9955555555555556,0.14838709677419354,0.7741935483870968,0.8516129032258064,19.0,1.0,0.0967741935483871,0.9032258064516128,0.9032258064516128,14.0,1.0,1.4865991661703397,1,1,1,1.4435650797516135,1,1,0.4285714285714286,4,5,5,1.3125,5,5,4,5,5,27.058800235250303,2.381282585779129,24.677517649471174,24.635905377352195,71.36206706282456,23.3650307120098,47.99703635081477,48.792934082199935,65.64141003420954,109.22951758390055,43.588107549691,42.13067013800243,31.732725919583388,29.367397708841487,67.64782169504547,44.466292600114855,77.54488342494219,31.474399568041605,0.23511459012646183,0.24186075632356618,0.02789276896198567,True,780,0.23511459012646194,0.6821711253781461,0.48924894515846284,0.659818501726643,0.23511459012646188,0.2652859888153226,0.6821711253781462,0.7715301794333685,0.5000567475860084,0.4531368048897961,0.6615826545344718,0.5892255892255893,0.22049807535694402
hgb_plus_cnyrub_basis__treasury,hist_gradient_boosting,hgb_plus_cnyrub_basis__treasury,5,780,267,0.3423076923076923,35,23,0.6571428571428571,171,85,0.49707602339181284,58.557692307692314,1.4515599343185548,86,182,0.3435897435897436,0.45384615384615384,0.5641025641025641,0.7846153846153846,1.9197431781701444,12.205128205128204,0.3487179487179487,1.8844537815126052,1.088888888888889,1.088888888888889,1.064,1.0577777777777777,1.088888888888889,0.058064516129032254,0.9032258064516129,0.9419354838709678,12.0,1.0,0.0,1.0,1.0,8.0,1.0,1.8844537815126052,1,1,1,1.451559934318555,1,1,0.75,4,5,5,1.3293233082706768,5,5,4,5,5,24.90011209838951,2.381282585779129,22.51882951261038,22.27616059799501,70.3695957616045,23.3650307120098,47.0045650495947,42.659318645503326,90.83938572675498,109.22951758390055,18.390131857145562,22.159193718131462,29.053105018023114,26.668692445910324,61.72470839354836,38.278978584581196,82.54246766668955,26.757866651937604,0.20621267097027043,0.24186075632356624,0.14739094467068092,True,780,0.20621267097027043,0.6000385794644572,0.5377651242820037,0.708080542596608,0.20621267097027043,0.23282880712220844,0.600038579464457,0.6718545856707877,0.5466481600238635,0.5274808564770281,0.7090921626455183,0.6492114123693071,0.20032839217001136
