track,trim_first_dates_per_outer_fold,inferential_status,baseline_reestimated_each_draw,candidate_policy,baseline_policy,bootstrap_repetitions,candidate_support_status,baseline_support_status,lift_delta,lift_delta_ci95_low,lift_delta_ci95_high,lift_paired_valid_draws,hit_rate_delta,hit_rate_delta_ci95_low,hit_rate_delta_ci95_high,hit_rate_paired_valid_draws,forward_delta_bps_delta,forward_delta_bps_delta_ci95_low,forward_delta_bps_delta_ci95_high,forward_delta_bps_paired_valid_draws,symmetric_delta_bps_delta,symmetric_delta_bps_delta_ci95_low,symmetric_delta_bps_delta_ci95_high,symmetric_delta_bps_paired_valid_draws,regret_bps_delta,regret_bps_delta_ci95_low,regret_bps_delta_ci95_high,regret_bps_paired_valid_draws,signals_delta,signals_delta_ci95_low,signals_delta_ci95_high,signals_paired_valid_draws
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.50,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.34714906252948796,0.07831431441019113,0.6781409230814437,10000,0.11001131221719457,0.021847887870861744,0.19671852100380252,10000,34.01057217907166,10.522396124835124,57.47153368131117,10000,7.211373924957375,-10.666160245445726,25.320160770505332,10000,-29.94770183210784,-56.4136207645079,-5.5785466666785055,10000,-375.0,-422.0,-329.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.65,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.47771688676572244,0.06839724349575378,1.0441350545373276,10000,0.16539749107898322,0.02718865218542558,0.3180741708395285,10000,61.466331167258744,30.389436443927245,95.84831779477362,10000,30.38269189843125,3.731351704919435,57.839386938719585,10000,-21.27248276473611,-63.45665776299485,23.105505647245945,10000,-540.0,-584.0,-497.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::legacy,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,-0.06422047750239357,-0.19418627531307445,0.06688472641786436,10000,-0.01127153702208622,-0.05262240498127636,0.02995199961678831,10000,-7.607234415372076,-18.074299843284305,2.508245933757979,10000,-0.3908396262634888,-7.057815183655273,5.812145446262092,10000,0.6321731646043958,-11.285972208853785,12.603902127529677,10000,60.0,24.975000000000023,94.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.50,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.35098148993863987,0.1713475842876307,0.5661361207179857,10000,0.14010390480978713,0.08431337302361462,0.20060812720438673,10000,47.66005179488434,29.183029572444,67.30015624129673,10000,20.753154502492702,9.018723330957927,34.22157462113143,10000,-39.97729278287351,-60.77880566492148,-20.887992564153596,10000,-312.0,-348.0,-276.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.65,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.6867215853390312,0.3382477038028103,1.1274213065801149,10000,0.20218757121000036,0.09202594047586402,0.3172841826789195,10000,60.56867537870643,37.124412437546965,83.42103288087726,10000,26.926094576754796,6.609793616070387,47.04401890918879,10000,-21.681239064629587,-57.98335913819087,15.985006095775816,10000,-524.0,-569.0,-479.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::legacy,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,-0.06391731365382869,-0.18846159237275734,0.06447019027308265,10000,-0.01920120497675315,-0.05893354845789107,0.021069854029926782,10000,-4.084364499203964,-16.643846048991144,9.198641046371455,10000,2.575218205478457,-6.047196147378985,11.80950687562287,10000,1.776674762810103,-13.170431179354164,16.453417563625703,10000,64.0,29.0,102.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.50,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.24849985790004636,0.07577401135497142,0.41777222531211855,10000,0.10366104483751543,0.040904077679132476,0.1634073146753188,10000,30.85253647705443,15.42954937741456,46.5053116201791,10000,12.967236846163278,1.8910287046041387,24.219277724243156,10000,-21.781040456191107,-44.13151608651235,1.2424577216540253,10000,-289.0,-341.0,-239.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.65,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.36710045154361004,0.05909325630916753,0.669942722650866,10000,0.1649976510150088,0.05230590631518421,0.26840052101117867,10000,52.07068747460487,25.35958538655495,79.41108597521333,10000,2.933409728757603,-12.328750387903344,19.79525900282341,10000,-37.49064861392143,-67.50272054625998,-3.8410623669145663,10000,-480.0,-532.0,-427.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.50,basis_train_120m::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.41520196744103344,0.2096062004760327,0.6426207418313555,10000,0.15137544183187335,0.08660716946589009,0.2187903850272665,10000,55.267286210256415,34.6429509043996,76.43066219348411,10000,21.14399412875619,7.823177171886559,35.70780237048798,10000,-40.60946594747791,-61.227372407382404,-21.759867006078967,10000,-372.0,-421.0,-321.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.65,basis_train_120m::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.7509420628414247,0.4055038587515788,1.1928719031655985,10000,0.21345910823208658,0.10502907930155689,0.32590180636244453,10000,68.1759097940785,43.68502225846468,93.63222496898634,10000,27.316934203018285,6.878931101576612,47.91046493999756,10000,-22.313412229233982,-61.16628565738396,19.245530116769206,10000,-584.0,-635.0,-531.0,10000
