config_id,track,block,delta_brier,ci95_low,ci95_high,improved_years,improved_cells,n_blocks
objective_multiscale_ensemble,development_2023_2025,month,0.008535281139248745,0.0025573963414750054,0.014747677035981628,1,4,36
objective_multiscale_ensemble,development_2023_2025,20,0.008535281139248745,0.002616058190148032,0.015087155282980796,1,4,39
objective_multiscale_ensemble,development_2023_2025,60,0.008535281139248745,0.0020701270098169074,0.01579162088905411,1,4,15
objective_multiscale_ensemble,diagnostic_2026,month,0.015817397452252777,0.003020019338520956,0.031244778577253614,0,0,8
objective_multiscale_ensemble,diagnostic_2026,20,0.015817397452252777,0.0012678080854326796,0.03260362939516558,0,0,8
objective_multiscale_ensemble,diagnostic_2026,60,0.015817397452252777,0.0029780223526356666,0.03248626499074892,0,0,3
annual_recent_calibration_3m,development_2023_2025,month,-0.004798348187534153,-0.016682669619179434,0.006826041432686384,2,11,36
annual_recent_calibration_3m,development_2023_2025,20,-0.004798348187534153,-0.015812881555896285,0.005731911229150159,2,11,39
annual_recent_calibration_3m,development_2023_2025,60,-0.004798348187534153,-0.017678635275679866,0.007235287553964221,2,11,15
annual_recent_calibration_3m,diagnostic_2026,month,0.02642207651156808,0.002603291614250931,0.05300359076110555,0,0,8
annual_recent_calibration_3m,diagnostic_2026,20,0.02642207651156808,0.0029615904583529962,0.056069307990546685,0,0,8
annual_recent_calibration_3m,diagnostic_2026,60,0.02642207651156808,0.003539613168409992,0.05456580972996328,0,0,3
capacity_hgb1,development_2023_2025,month,0.00018558147566991905,-0.004524193829114077,0.004493637181759291,1,6,36
capacity_hgb1,development_2023_2025,20,0.00018558147566991905,-0.004228216219747909,0.003957843601875942,1,6,39
capacity_hgb1,development_2023_2025,60,0.00018558147566991905,-0.004272553004016212,0.004254019122662135,1,6,15
capacity_hgb1,diagnostic_2026,month,0.0005710622396724218,-0.002970841581332921,0.004845874547284199,0,2,8
capacity_hgb1,diagnostic_2026,20,0.0005710622396724218,-0.0037903378594736914,0.004886227772994379,0,2,8
capacity_hgb1,diagnostic_2026,60,0.0005710622396724218,-0.0072921117309362815,0.0037472396025426567,0,2,3
objective_utility_mean,development_2023_2025,month,0.01747499520666668,0.010326745307562482,0.024838339873952543,0,1,36
objective_utility_mean,development_2023_2025,20,0.01747499520666668,0.009556096222633308,0.026376065537874176,0,1,39
objective_utility_mean,development_2023_2025,60,0.01747499520666668,0.00979848072332502,0.025154135844958597,0,1,15
objective_utility_mean,diagnostic_2026,month,0.010363220216317998,0.001677724460873395,0.01937779102426984,0,0,8
objective_utility_mean,diagnostic_2026,20,0.010363220216317998,0.0014430305151792115,0.019226274133928033,0,0,8
objective_utility_mean,diagnostic_2026,60,0.010363220216317998,0.006211963868170513,0.01758925645823958,0,0,3
official_train_120m,development_2023_2025,month,0.024629198612239923,0.014304888575911728,0.03478117837522368,0,0,36
official_train_120m,development_2023_2025,20,0.024629198612239923,0.015438445617722327,0.03360139466810315,0,0,39
official_train_120m,development_2023_2025,60,0.024629198612239923,0.013250888994754828,0.035731256601995595,0,0,15
