baseline,candidate,policy,scope,contrast,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
kzt_hgb_base15,kzt_tabm_base15_s2,legacy,KZT,matched_architecture,0.005911824440148079,-8.828166350037822e-05,0.011684007922461801,36,1,-0.08094643066210572,-0.2868133365438435,0.12450428529873314,1.482494027049789,-8.911248866697413,11.998618269240172
kzt_hgb_base15,kzt_tabm_base15_s2,cadence85_cd2,KZT,matched_architecture,0.005911824440148079,-8.828166350037822e-05,0.011684007922461801,36,1,0.08815702609347409,-0.05244053245443804,0.24110365182306778,18.391134754815056,8.4391040774442,28.429579561058443
kzt_hgb_base15,kzt_tabm_base15_s2,fixed_threshold_0.50,KZT,matched_architecture,0.005911824440148079,-8.828166350037822e-05,0.011684007922461801,36,1,-0.1372533799223814,-0.5584996199896538,0.3140231303030268,-17.202251745952935,-46.687604373182175,7.05139295906375
kzt_hgb_full33,kzt_tabm_full33_s2,legacy,KZT,matched_architecture,0.004418999403989209,-0.001517944720158683,0.010523651017530396,36,1,-0.041616427709135095,-0.3280699518165676,0.25616915303135357,-3.388999428274694,-21.397204423102266,13.893375788729353
kzt_hgb_full33,kzt_tabm_full33_s2,cadence85_cd2,KZT,matched_architecture,0.004418999403989209,-0.001517944720158683,0.010523651017530396,36,1,-0.03344546276458238,-0.2259229084845372,0.16110397636210858,-0.5435447652501537,-12.008327049943503,11.149634062338873
kzt_hgb_full33,kzt_tabm_full33_s2,fixed_threshold_0.50,KZT,matched_architecture,0.004418999403989209,-0.001517944720158683,0.010523651017530396,36,1,0.10102238488525295,-0.7008683755414721,0.9279971635338713,19.894349822066843,-42.27044751762183,84.77283135960576
pooled_hgb_base15,pooled_tabm_base15_s2,legacy,all5,matched_architecture,0.003656192238677204,-0.00014687146953791769,0.007664231661258894,36,0,-0.06958655305473394,-0.1678664911202116,0.015430690909153754,-3.503290521276149,-11.943668980845498,4.04450896375998
pooled_hgb_base15,pooled_tabm_base15_s2,legacy,KZT,matched_architecture,0.005325807025049675,8.22398356319779e-05,0.01104764809577835,36,0,-0.19605134193922447,-0.3986826660544306,-0.015055061926082308,-1.8348574728557878,-13.542759266383381,9.949527156469019
pooled_hgb_base15,pooled_tabm_base15_s2,cadence85_cd2,all5,matched_architecture,0.003656192238677204,-0.00014687146953791769,0.007664231661258894,36,0,0.07249693483358377,-0.009339846461414752,0.14942020010877902,9.645166853600081,2.769945397466409,16.510897075209403
pooled_hgb_base15,pooled_tabm_base15_s2,cadence85_cd2,KZT,matched_architecture,0.005325807025049675,8.22398356319779e-05,0.01104764809577835,36,0,0.016170687794598626,-0.18490624778132647,0.18744458926204863,3.11566524575494,-5.903665098350695,11.753073663266369
pooled_hgb_base15,pooled_tabm_base15_s2,fixed_threshold_0.50,all5,matched_architecture,0.003656192238677204,-0.00014687146953791769,0.007664231661258894,36,0,-0.012619486872668562,-0.18111725536300036,0.19531600802464258,-10.580114866637572,-32.895002882683,8.380190450968527
pooled_hgb_base15,pooled_tabm_base15_s2,fixed_threshold_0.50,KZT,matched_architecture,0.005325807025049675,8.22398356319779e-05,0.01104764809577835,36,0,-0.18245080773304556,-0.6206612295601561,0.20335801961016645,-30.47719010528099,-71.73421032761466,3.5648140405473248
pooled_hgb_full33,pooled_tabm_full33_s2,legacy,all5,matched_architecture,0.01162199789792271,0.004231447219040728,0.01862915885600388,36,0,-0.09163485818603667,-0.22453247333740034,0.04367593224101915,-5.314220878559787,-19.64957433648344,8.577170232107303
pooled_hgb_full33,pooled_tabm_full33_s2,legacy,KZT,matched_architecture,0.018609023416804236,0.009241495952023088,0.028249173256613,36,0,0.024742053042940526,-0.268957136828177,0.3361794725522241,-4.5430035079077555,-31.04346588536429,18.83944369129322
pooled_hgb_full33,pooled_tabm_full33_s2,cadence85_cd2,all5,matched_architecture,0.01162199789792271,0.004231447219040728,0.01862915885600388,36,0,-0.10039557822794443,-0.2470378446248751,0.044686860404625245,-7.798168380931422,-19.990088471023665,4.728572678429383
pooled_hgb_full33,pooled_tabm_full33_s2,cadence85_cd2,KZT,matched_architecture,0.018609023416804236,0.009241495952023088,0.028249173256613,36,0,-0.20167941979852255,-0.4299363585062526,0.004491791510066219,-10.257347363378877,-30.678480257355424,8.628933449209452
pooled_hgb_full33,pooled_tabm_full33_s2,fixed_threshold_0.50,all5,matched_architecture,0.01162199789792271,0.004231447219040728,0.01862915885600388,36,0,-0.21576077869452792,-0.43085605599458804,0.032299469387273745,-21.635925724448754,-42.39800899863556,-0.3736849933751951
pooled_hgb_full33,pooled_tabm_full33_s2,fixed_threshold_0.50,KZT,matched_architecture,0.018609023416804236,0.009241495952023088,0.028249173256613,36,0,-0.8982411347866202,-1.5138038605421629,-0.2369215515369092,-86.17679627029571,-143.8270319846911,-33.65475742370415
historical_basis_train_120m,kzt_tabm_full33_s2,legacy vs cadence85_cd2,KZT,systems_not_architecture,0.0015587912104534577,-0.008831728204142185,0.012172454213843525,36,2,0.10597197351028731,-0.12334150164210224,0.3170624104002278,31.181312460808233,15.198918991873008,48.02713290251591
historical_basis_train_120m,kzt_tabm_full33_s2,fixed_threshold_0.50 vs cadence85_cd2,KZT,systems_not_architecture,0.0015587912104534577,-0.008831728204142185,0.012172454213843525,36,2,-0.4614789185886481,-0.7902414096171784,-0.15142740077572145,-32.95985325190188,-56.22227200859227,-9.366089405918833
