config_id,policy,evaluation_scope,rows,dates,brier,signals,lift,forward_delta_bps,hit_rate,hits,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,min_year_corridor_coverage,signals_per_corridor_week,regret_bps
historical_baseline_reproduction,fixed_threshold_0.50,all5,3635,727,0.19061658311191612,288,1.7823397314228056,81.69621819424577,0.5625,162,,0.7226837886298914,0.5611614972587021,760,277,0.36447368421052634,0.14,0.37894736842105264,50.381052834507855
historical_baseline_reproduction,fixed_threshold_0.50,KZT,727,727,0.18928210730174638,58,1.5668351538310386,52.488334476502445,0.41379310344827586,24,,0.6927722772277228,0.5593945484216133,152,56,0.3684210526315789,0.14,0.3815789473684211,81.10530039702317
historical_baseline_reproduction,legacy,all5,3635,727,0.19061658311191612,663,1.4351906688933171,47.68564601517411,0.45248868778280543,300,,0.7226837886298914,0.5611614972587021,760,620,0.8157894736842105,0.68,0.8723684210526316,80.32875466661568
historical_baseline_reproduction,legacy,KZT,727,727,0.18928210730174638,133,1.5875079151805231,42.037228609848654,0.42857142857142855,57,,0.6927722772277228,0.5593945484216133,152,122,0.8026315789473685,0.68,0.875,97.06472245327141
historical_basis_train_120m,fixed_threshold_0.50,all5,3635,727,0.18485040099862832,351,1.786172158831957,95.34569781005844,0.5925925925925926,208,,0.7374039306683542,0.5484652229971574,760,341,0.4486842105263158,0.19607843137254902,0.4618421052631579,40.351461883742175
historical_basis_train_120m,fixed_threshold_0.50,KZT,727,727,0.18270478175104507,60,2.0452879907852766,94.11258636064228,0.5666666666666667,34,,0.7056388495992456,0.545099097874566,152,59,0.3881578947368421,0.21568627450980393,0.39473684210526316,42.934610177534005
historical_basis_train_120m,legacy,all5,3635,727,0.18485040099862832,723,1.3709701913909238,40.07841159980202,0.4412171507607192,319,,0.7374039306683542,0.5484652229971574,760,654,0.8605263157894737,0.7058823529411765,0.9513157894736842,80.96092783122006
historical_basis_train_120m,legacy,KZT,727,727,0.18270478175104507,149,1.4778370986863412,29.971420647932167,0.4228187919463087,63,,0.7056388495992456,0.545099097874566,152,134,0.881578947368421,0.803921568627451,0.9802631578947368,103.34454235759662
kzt_hgb_base15,cadence85_cd2,KZT,727,727,0.18444580175269343,201,1.1827650210330938,23.466438306909346,0.3333333333333333,67,0.18220995103462403,0.7036162187647336,0.5470201666114792,152,142,0.9342105263157895,0.8235294117647058,1.3223684210526316,113.68987212789304
kzt_hgb_base15,fixed_threshold_0.50,KZT,727,727,0.18444580175269343,31,1.6649200292703321,58.169795836868296,0.41935483870967744,13,0.18220995103462403,0.7036162187647336,0.5470201666114792,152,31,0.20394736842105263,0.0,0.20394736842105263,113.9988773624973
