scope,config_id,cutoff,first_date,last_date,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
all,base_control_head10y,2026-01-01,2026-03-03,2026-08-25,138.0,0.4420289855072464,1.159551262075413,23.871544868630334,19.39578078265065,91.91307257325367,0.23281114324810984,0.6655259677044962,0.665452351407657,0.13144668329293369,610,122,1.0977272727272729,0.9583333333333334,0.975
all,base_control_head10y,2026-03-01,2026-03-03,2026-08-25,141.0,0.425531914893617,1.1146642302421197,17.952508252989954,15.022182859995887,96.09288400109658,0.23235923898564068,0.6649067192325384,0.6650482121105179,0.1307453238604418,610,122,1.121590909090909,0.9583333333333334,0.9833333333333334
all,chronos2_small_ft_head10y,2026-01-01,2026-03-03,2026-08-25,140.0,0.45714285714285713,1.199017199017199,23.15212797819576,20.701266309526734,95.64059713352178,0.2443085610651459,0.7013986465871098,0.6298596327455287,0.13384370192750897,610,122,1.1136363636363638,0.9583333333333334,0.9833333333333334
all,chronos2_small_ft_head10y,2026-03-01,2026-03-03,2026-08-25,138.0,0.43478260869565216,1.1408977556109725,21.63786333836126,18.952162436010052,97.15232659771067,0.24388664959944722,0.7014226778887914,0.6288009016290799,0.13023786009489663,610,122,1.0977272727272729,0.875,0.9666666666666666
all,chronos2_synth_ft_head10y,2026-01-01,2026-03-03,2026-08-25,138.0,0.43478260869565216,1.139122315592904,25.008075986261435,22.41582744112098,93.43915593344659,0.23746434993980076,0.6854320009542646,0.6533452488018123,0.12410785357695556,610,122,1.0977272727272729,0.9583333333333334,0.9916666666666668
all,chronos2_synth_ft_head10y,2026-03-01,2026-03-03,2026-08-25,137.0,0.4306569343065693,1.1290980392156862,23.284965899851425,20.629369947699555,94.42335959642668,0.23647110990022702,0.6818654725262928,0.653538780296217,0.12033741029970642,610,122,1.0897727272727273,0.9583333333333334,0.9666666666666668
all,chronos2_synth_zs_head10y,2026-01-01,2026-03-03,2026-08-25,142.0,0.4154929577464789,1.0891208957482221,16.819862897257018,15.464610286084632,98.18599408629191,0.23320577142833787,0.6664544084746747,0.664655457018932,0.13408793547320827,610,122,1.1295454545454546,0.9583333333333334,0.9916666666666666
all,chronos2_synth_zs_head10y,2026-03-01,2026-03-03,2026-08-25,142.0,0.4225352112676056,1.1075805719473446,15.908367421803023,13.911980464447256,99.52784261453066,0.23196307208930497,0.6639735475756862,0.6654921961270932,0.131657213486227,610,122,1.1295454545454546,0.9583333333333334,0.9833333333333334
KZT,base_control_head10y,2026-01-01,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,28.662941820207507,22.501919007563927,104.40014054622252,0.24223110959416028,0.6935452054113546,0.6463963963963965,0.14942123970886106,122,122,1.0738636363636365,1.0,1.0
KZT,base_control_head10y,2026-03-01,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,25.80700711938438,20.12676006110257,105.1510924005928,0.2422858871035243,0.696701533903747,0.6480855855855856,0.13874838728142858,122,122,1.0738636363636365,1.0,1.0
KZT,chronos2_small_ft_head10y,2026-01-01,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,36.53365741027082,28.14353717076872,107.29700289820094,0.2585695438445874,0.7409208144802198,0.6019144144144144,0.15980530397977702,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
KZT,chronos2_small_ft_head10y,2026-03-01,2026-03-03,2026-08-25,25.0,0.44,1.1183333333333334,38.43041228728928,27.79809510159678,101.14783756176828,0.2573560194159765,0.739450722949497,0.6038851351351351,0.1721100702616027,122,122,0.9943181818181819,0.875,0.875
KZT,chronos2_synth_ft_head10y,2026-01-01,2026-03-03,2026-08-25,28.0,0.39285714285714285,0.9985119047619048,3.5375068441139126,7.866692073579793,129.13938570144302,0.25771902881292136,0.7335292393626908,0.6289414414414415,0.16987296352436349,122,122,1.1136363636363638,1.0,1.0
KZT,chronos2_synth_ft_head10y,2026-03-01,2026-03-03,2026-08-25,27.0,0.4074074074074074,1.0354938271604939,4.292338249711057,8.611888692621907,133.1713740582373,0.2565532237167388,0.7323490631721925,0.620777027027027,0.1729379530998139,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
KZT,chronos2_synth_ft_kzt_head10y,2026-01-01,2026-03-03,2026-08-25,25.0,0.4,1.0166666666666666,33.35500251353233,24.744508134743413,107.07837860187068,0.2585436862612914,0.7433320626374937,0.6210585585585585,0.1714177495911167,122,122,0.9943181818181819,0.875,0.875
KZT,chronos2_synth_ft_kzt_head10y,2026-03-01,2026-03-03,2026-08-25,26.0,0.46153846153846156,1.173076923076923,30.31330384311149,27.53741755481049,111.31778148272231,0.25839498209439915,0.7444941458507848,0.6148648648648648,0.16777002041233702,122,122,1.0340909090909092,0.875,0.875
KZT,chronos2_synth_zs_head10y,2026-01-01,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,29.287061259105226,24.165218020893228,105.28383158154587,0.2433992493015585,0.6970563073449043,0.6478040540540541,0.15437486659182312,122,122,1.0738636363636365,1.0,1.0
KZT,chronos2_synth_zs_head10y,2026-03-01,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,23.06346618711434,15.16085088170041,112.90347663180371,0.24230692627283393,0.6959078169395776,0.6469594594594594,0.140358846621198,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
