scope,config_id,cutoff,benchmark,benchmark_cutoff,delta_brier,delta_brier_ci95_low,delta_brier_ci95_high,repetitions,lift_delta,lift_delta_ci95_low,lift_delta_ci95_high,forward_delta_bps_delta,forward_delta_bps_delta_ci95_low,forward_delta_bps_delta_ci95_high,symmetric_delta_bps_delta,symmetric_delta_bps_delta_ci95_low,symmetric_delta_bps_delta_ci95_high,regret_bps_delta,regret_bps_delta_ci95_low,regret_bps_delta_ci95_high,signals_delta,signals_delta_ci95_low,signals_delta_ci95_high
all,base_control_head10y,2026-01-01,base_control_head2y,2026-01-01,0.0029918760724404504,-0.011795475586903678,0.017517507815373163,10000,-0.032979418445831854,-0.33768303446819103,0.2256603715238113,-11.396698346470608,-25.150860603250692,0.6425330043489339,-3.800001016620044,-15.007122763224046,6.70811575283043,8.905578338844776,-0.19266664355274088,19.859012651458897,6.0,-2.0,13.0
all,base_control_head10y,2026-03-01,base_control_head10y,2026-01-01,-0.0010818810405991866,-0.0026290652509789376,0.00033501148753133976,10000,0.003094301569944724,-0.05506917942683187,0.040513166779203136,-4.188660053627629,-10.525776741757795,1.1307974021346787,-2.632817922799049,-5.430329946375991,-0.8146365571383498,4.554210775322019,-0.6086601811847459,10.654547174404698,2.0,-2.0,7.0
all,base_control_head10y,2026-03-01,base_control_head2y,2026-03-01,-0.0028945893363322445,-0.01867123064700098,0.011625321893469695,10000,0.025873675655813555,-0.008065306122448934,0.07650578704426647,2.912300838421018,-3.1065939681591495,7.62168156073588,0.9647113287028617,-2.1868076639005327,4.541906408692451,-0.30616474568580543,-5.9172931034731135,4.738206863680588,-3.0,-7.0,2.0
all,base_control_head2y,2026-03-01,base_control_head2y,2026-01-01,0.004804584368173507,0.0008440439600736709,0.008579064707623174,10000,-0.055758792531700685,-0.36120100989224313,0.13559328497662237,-18.497659238519255,-29.24736579795238,-5.246124808459828,-7.397530268121955,-17.053938290030807,0.7877517649253036,13.765953859852601,-0.527800196121909,24.638541210092555,11.0,0.0,22.0
all,chronos2_small_ft_head10y,2026-01-01,chronos2_small_ft_head2y,2026-01-01,0.008834097525558313,-0.008726298081882302,0.028104081736020296,10000,0.02258517928321413,-0.2486800361253272,0.21104720275958289,-5.445723436486741,-12.568811898820584,2.1243674701261632,-1.5813589517808566,-5.730666271105857,3.9060446731576217,5.618753467450276,-0.7839840519087176,11.805854352088303,4.0,-1.0,10.0
all,chronos2_small_ft_head10y,2026-03-01,chronos2_small_ft_head10y,2026-01-01,-0.00014437889478955307,-0.0019102225320626162,0.0016222128664892777,10000,-0.030478155797675432,-0.15675612885257784,0.16116891409683354,-0.9114337195555962,-8.348430532403777,8.076814769542379,0.7366723420932573,-5.5834178166733,7.160430734772433,2.4015470510445454,-6.588959872051333,10.7017834839845,-3.0,-5.0,-1.0
all,chronos2_small_ft_head10y,2026-03-01,chronos2_small_ft_head2y,2026-03-01,0.008238957684531993,-0.006407338952919565,0.024210551248525874,10000,-0.019633130550633426,-0.1714673850905939,0.07644568812895247,-0.20242231894428642,-7.881989277353529,7.159260622841469,0.3988570906651603,-4.611333506071714,4.9816040720458545,1.4189484193239679,-8.517782488715056,9.57163692583822,-2.0,-4.0,0.0
all,chronos2_small_ft_head2y,2026-03-01,chronos2_small_ft_head2y,2026-01-01,0.0004507609462367643,-0.003530372495509792,0.004303531946834852,10000,0.011740154036172123,-0.11845302552621506,0.1429195895948161,-6.154734837098051,-10.108924762556981,-1.3822124677388778,-1.2435437003527596,-3.3524537446590266,0.7898738736566617,6.601352099170853,-0.2807946788558837,12.66043075448988,3.0,0.0,9.0
all,chronos2_synth_ft_head10y,2026-01-01,chronos2_synth_ft_head2y,2026-01-01,0.001755860385470394,-0.013411689093047777,0.018307179542696825,10000,-0.11868110380563657,-0.451352001209107,0.07534129177289883,-11.395271951832449,-29.59628907117175,8.897689937529634,-4.6574182797942605,-17.813379620190304,7.980381485322457,12.999653026113108,-7.0755115151207235,31.683971651967994,5.0,-2.0,13.0
all,chronos2_synth_ft_head10y,2026-03-01,chronos2_synth_ft_head10y,2026-01-01,-0.0012599481254916103,-0.002874936158436091,0.00034519181977066445,10000,0.11897069489252754,0.024960175626218106,0.2874491790582194,9.64408537698004,2.20968593345982,17.527444816045048,6.534839019010764,1.4593941704130167,12.316519653823072,-8.406553578747648,-16.257393230321057,-1.1958669214746465,-3.0,-5.0,-1.0
all,chronos2_synth_ft_head10y,2026-03-01,chronos2_synth_ft_head2y,2026-03-01,0.00048555200208266796,-0.01435444264320931,0.01634633357735915,10000,0.08767140438577714,-0.10745089192415547,0.28433997943979783,9.259687310430241,-7.687238054960032,28.240249020928466,8.786892914708229,-3.042680590891557,20.693194178436954,-6.420708205506159,-23.024025691655332,9.719964241287016,-4.0,-11.0,3.0
all,chronos2_synth_ft_head2y,2026-03-01,chronos2_synth_ft_head2y,2026-01-01,1.0360257896113631e-05,-0.003308159653895962,0.0028219828244373064,10000,-0.08738181329888617,-0.34824541955205013,8.617743981176318e-05,-11.010873885282649,-18.79184654499789,-2.9775528354804273,-6.909472175491725,-12.632031342231258,-1.8965264893065719,11.01380765287162,2.667196123825235,18.513813624388476,6.0,1.0,12.0
all,chronos2_synth_zs_head10y,2026-01-01,chronos2_synth_zs_head2y,2026-01-01,0.0033633735722799784,-0.009276559476557755,0.01651492380060782,10000,-0.0844277486554803,-0.43200464396284866,0.10501834199815385,-11.42358839613145,-25.61741345125475,0.7805394484956878,-7.573860193409002,-17.56481520164745,1.5832569986973049,7.396121969294697,-2.9181842688775816,17.748151762508826,3.0,-3.0,9.0
all,chronos2_synth_zs_head10y,2026-03-01,chronos2_synth_zs_head10y,2026-01-01,-0.0011419675052162677,-0.00303581505145207,0.0008942828997092412,10000,0.05738395790338768,0.0,0.22284594124885082,0.9499268092217896,-4.559953464192532,5.899726245961014,0.9383423440744405,-3.060189090701879,4.6639281368748575,-0.6154482441919384,-3.635830146063256,2.970513917947173,0.0,-3.0,3.0
all,chronos2_synth_zs_head10y,2026-03-01,chronos2_synth_zs_head2y,2026-03-01,-0.002521660103008521,-0.01721905738764281,0.011172400527432192,10000,0.041578246284673215,-0.027609094721406935,0.1645578878080889,8.254564186174678,-0.1225729443461514,16.07185133200656,3.3477771073074933,-0.2698998405741051,8.343041879325844,-7.224511483133739,-16.236886492763304,0.605742484296087,-5.0,-9.0,-1.0
all,chronos2_synth_zs_head2y,2026-03-01,chronos2_synth_zs_head2y,2026-01-01,0.004743066170072231,-0.00036927709261923346,0.010198671043320472,10000,-0.06862203703676584,-0.29535502249591983,0.09019360198109405,-18.72822577308434,-27.86655100286285,-7.549287835964092,-9.983294956642055,-17.59380956461875,-2.2949162589187537,14.005185208236497,3.215866718175043,22.225292372571374,8.0,1.0,14.0
KZT,base_control_head10y,2026-01-01,base_control_head2y,2026-01-01,-0.0042794630881663655,-0.018364362557058818,0.007550534026347758,10000,0.2462013295346629,-0.11217948717948723,1.1922743055555554,0.5555504798947979,-6.260686393600231,6.7669562133068375,10.335055613463217,4.361076219578454,16.20636245567062,2.818959345689109,-10.635526231718437,15.211549929610555,1.0,-2.0,4.0
