stage,scope,config_id,benchmark,delta_brier,delta_brier_ci95_low,delta_brier_ci95_high,repetitions,lift_delta,lift_delta_ci95_low,lift_delta_ci95_high,forward_delta_bps_delta,forward_delta_bps_delta_ci95_low,forward_delta_bps_delta_ci95_high,symmetric_delta_bps_delta,symmetric_delta_bps_delta_ci95_low,symmetric_delta_bps_delta_ci95_high,regret_bps_delta,regret_bps_delta_ci95_low,regret_bps_delta_ci95_high,signals_delta,signals_delta_ci95_low,signals_delta_ci95_high
development_2023_2025,all,base_control_head10y,baseline_reproduction,-0.004370517439175785,-0.011026968164652514,0.0022250863501038225,10000,-0.074196932209315,-0.22284267976277303,0.0696416197341928,-9.756921422888752,-21.514472244460226,1.1901990258044692,-0.1746625674386415,-6.740383993533619,5.927333625436177,6.1657592676966715,-7.213540875074761,20.576632277587223,53.0,20.0,85.0
development_2023_2025,all,base_control_head10y,basis_train_120m,0.001395664674112028,-9.205559009483111e-05,0.003016108950975942,10000,-0.009976454706921434,-0.06862793162601509,0.04976489110979232,-2.1496870075166754,-6.4390720761567515,1.5737453565317752,0.21617705882484728,-1.9572179088460013,2.4774929385607773,5.533586103092276,1.4541775993497645,10.427600192957605,-7.0,-18.0,4.0
development_2023_2025,all,base_control_head10y,base_control_head2y,-0.004370517439175785,-0.011026968164652514,0.0022250863501038225,10000,-0.074196932209315,-0.22284267976277303,0.0696416197341928,-9.756921422888752,-21.514472244460226,1.1901990258044692,-0.1746625674386415,-6.740383993533619,5.927333625436177,6.1657592676966715,-7.213540875074761,20.576632277587223,53.0,20.0,85.0
development_2023_2025,all,base_control_head2y,baseline_reproduction,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development_2023_2025,all,base_control_head2y,basis_train_120m,0.005766182113287813,-0.0001757447089265228,0.011998895411311836,10000,0.06422047750239357,-0.06688472641786437,0.19418627531307445,7.607234415372076,-2.50824593375798,18.074299843284305,0.3908396262634888,-5.812145446262096,7.057815183655272,-0.6321731646043958,-12.603902127529683,11.285972208853774,-60.0,-94.0,-24.975000000000364
development_2023_2025,all,baseline_reproduction,basis_train_120m,0.005766182113287813,-0.0001757447089265228,0.011998895411311836,10000,0.06422047750239357,-0.06688472641786437,0.19418627531307445,7.607234415372076,-2.50824593375798,18.074299843284305,0.3908396262634888,-5.812145446262096,7.057815183655272,-0.6321731646043958,-12.603902127529683,11.285972208853774,-60.0,-94.0,-24.975000000000364
development_2023_2025,all,basis_train_120m,baseline_reproduction,-0.005766182113287813,-0.011998895411311838,0.00017574470892652133,10000,-0.06422047750239357,-0.19418627531307445,0.06688472641786436,-7.607234415372076,-18.074299843284305,2.508245933757979,-0.3908396262634888,-7.057815183655273,5.812145446262092,0.6321731646043958,-11.285972208853785,12.603902127529677,60.0,24.975000000000023,94.0
development_2023_2025,all,chronos2_small_ft_head10y,baseline_reproduction,-0.004371815684970291,-0.013726255698111478,0.004126891043550689,10000,-0.13696752106668186,-0.28551429187267446,0.01037754253136253,-11.006317431868723,-25.567381551075886,3.2731840869864572,0.11778703428618797,-8.476014805554575,8.894367800018564,3.3115811071841676,-13.741132803795885,19.64893978291966,76.0,40.0,113.0
development_2023_2025,all,chronos2_small_ft_head10y,basis_train_120m,0.0013943664283175212,-0.0034397786145591155,0.006024783380705053,10000,-0.0727470435642883,-0.19655259575618708,0.03968926660697582,-3.399083016496647,-14.708075208235206,7.868552511090929,0.5086266605496768,-6.059647647133295,8.030289249069224,2.679407942579772,-11.175226632938143,15.524638772527517,16.0,-11.0,45.0
development_2023_2025,all,chronos2_small_ft_head10y,chronos2_small_ft_head2y,-0.0017455785282941296,-0.007124152260975861,0.0034938937087890492,10000,0.006947609158583612,-0.09938367718423134,0.1192154665768257,1.717172595054656,-7.976063956964761,10.137887990465705,1.6627164976482653,-4.788060521817748,7.22584705702148,-4.5223444768658965,-13.947415229917969,5.357385967365297,-19.0,-44.0,7.0
