track,scope,config_id,rows,dates,brier,signals,lift,forward_delta_bps
development_2023_2025,all,oxr_basis_120m_delay24h,3635,727,0.18434376933434388,758,1.3362219808332871,35.05141240425662
development_2023_2025,all,oxr_basis_120m_delay48h,3635,727,0.1838795611656719,732,1.3701224200413415,39.75931031664204
development_2023_2025,all,oxr_basis_120m_since2020,3635,727,0.1849886454487706,750,1.3580705286128556,37.86896693794554
development_2023_2025,all,oxr_basis_120m_since2022,3635,727,0.1844622564359132,766,1.354566483833275,37.222769276018646
development_2023_2025,all,oxr_basis_24m_delay24h,3635,727,0.1904561787801721,708,1.3876399976974223,40.805983089642154
development_2023_2025,all,oxr_basis_24m_delay48h,3635,727,0.1895480362575395,692,1.3992723947404333,46.611094519764535
development_2023_2025,all,oxr_coverage_120m,3635,727,0.185014555539614,719,1.3533970222774048,38.54090318358431
development_2023_2025,all,oxr_full_120m_delay24h,3635,727,0.18571896515929795,755,1.3408760563781967,38.15231292706535
development_2023_2025,all,oxr_full_120m_delay48h,3635,727,0.18522607934249163,716,1.3196474530180158,42.24287078331851
development_2023_2025,all,oxr_full_120m_since2020,3635,727,0.18624445090727745,735,1.374520890784958,41.5432362635554
development_2023_2025,all,oxr_full_120m_since2022,3635,727,0.1861310396254026,780,1.318197955615545,33.99299872896243
development_2023_2025,all,oxr_full_24m_delay24h,3635,727,0.19292509356893267,712,1.3076797655733587,36.885300864978305
development_2023_2025,all,oxr_full_24m_delay48h,3635,727,0.18840417236256926,724,1.3543618725506168,39.01829384974202
development_2023_2025,all,oxr_returns_120m_delay24h,3635,727,0.18647453231817493,726,1.3661208628861683,39.95497212892328
development_2023_2025,all,oxr_returns_120m_delay48h,3635,727,0.1854884305155342,749,1.3068956627212116,39.05939103593252
development_2023_2025,all,oxr_returns_24m_delay24h,3635,727,0.19349396414580947,690,1.3628797049915051,42.13120541659674
development_2023_2025,all,oxr_returns_24m_delay48h,3635,727,0.18797489902358963,739,1.3047763147775233,35.955079181595934
development_2023_2025,all,v3_120m,3635,727,0.18485040099862832,723,1.3709701913909238,40.07841159980202
development_2023_2025,all,v3_24m,3635,727,0.19061658311191612,663,1.4351906688933171,47.68564601517411
development_2023_2025,KZT,oxr_basis_120m_delay24h,727,727,0.18183309907162315,156,1.3879675322715566,23.88554459680955
development_2023_2025,KZT,oxr_basis_120m_delay48h,727,727,0.18174678870218786,166,1.3355306632283017,25.290126226189688
development_2023_2025,KZT,oxr_basis_120m_since2020,727,727,0.18185961284536412,146,1.4379137706541472,32.0683768822912
development_2023_2025,KZT,oxr_basis_120m_since2022,727,727,0.18260176805101713,162,1.468549938127115,31.113790779472385
development_2023_2025,KZT,oxr_basis_24m_delay24h,727,727,0.18905171477238686,143,1.503887623246419,37.94556784111495
development_2023_2025,KZT,oxr_basis_24m_delay48h,727,727,0.18793687418725608,136,1.6556397307544024,44.199277804789624
development_2023_2025,KZT,oxr_coverage_120m,727,727,0.18216198633741804,147,1.4560442727381213,33.711104771498015
development_2023_2025,KZT,oxr_full_120m_delay24h,727,727,0.18181860380869144,148,1.439956935759296,30.927279675148856
development_2023_2025,KZT,oxr_full_120m_delay48h,727,727,0.18040229310073577,144,1.409100711667026,35.78597774040973
development_2023_2025,KZT,oxr_full_120m_since2020,727,727,0.18161575123150378,146,1.4667398298954928,33.94688377662617
development_2023_2025,KZT,oxr_full_120m_since2022,727,727,0.1846110296033242,169,1.3053823267204432,17.131040841607845
development_2023_2025,KZT,oxr_full_24m_delay24h,727,727,0.18927043404696015,136,1.5100586940572267,43.88689120235555
development_2023_2025,KZT,oxr_full_24m_delay48h,727,727,0.18441208638331305,141,1.4927197968263362,34.619793833635384
development_2023_2025,KZT,oxr_returns_120m_delay24h,727,727,0.18221694311599854,150,1.4476438085950833,26.678540002899755
development_2023_2025,KZT,oxr_returns_120m_delay48h,727,727,0.1808432504253555,165,1.3441772823446523,25.73007023087979
development_2023_2025,KZT,oxr_returns_24m_delay24h,727,727,0.190286380639398,129,1.5349156225726355,47.945898971097286
development_2023_2025,KZT,oxr_returns_24m_delay48h,727,727,0.1835578832101465,143,1.484041868591574,38.88657175447079
development_2023_2025,KZT,v3_120m,727,727,0.18270478175104507,149,1.4778370986863412,29.971420647932167
development_2023_2025,KZT,v3_24m,727,727,0.18928210730174638,133,1.5875079151805231,42.03722860984865
test2026_january_freeze,all,oxr_basis_120m_delay24h,780,156,0.20881648745804499,177,1.256198347107438,23.635025545137676
test2026_january_freeze,all,oxr_basis_120m_delay48h,780,156,0.20748994800064283,175,1.3369041242635242,26.687060034267528
test2026_january_freeze,all,oxr_basis_120m_since2020,780,156,0.20887679716133545,177,1.256198347107438,23.635025545137676
test2026_january_freeze,all,oxr_basis_120m_since2022,780,156,0.207080691128895,173,1.4031209362808843,31.951119251921565
test2026_january_freeze,all,oxr_basis_24m_delay24h,780,156,0.20664074273942673,170,1.3779397151374624,34.78198830645531
test2026_january_freeze,all,oxr_basis_24m_delay48h,780,156,0.20796503840906805,171,1.3853744107005812,34.9777624415227
test2026_january_freeze,all,oxr_coverage_120m,780,156,0.20885751566306818,176,1.2785524215007982,25.423199245821422
test2026_january_freeze,all,oxr_full_120m_delay24h,780,156,0.21025436059806998,178,1.264687302590019,22.83295683519738
test2026_january_freeze,all,oxr_full_120m_delay48h,780,156,0.20817939032840554,176,1.330774152271273,25.501515046079962
test2026_january_freeze,all,oxr_full_120m_since2020,780,156,0.21045958877412643,178,1.281111813013266,22.9986768093599
test2026_january_freeze,all,oxr_full_120m_since2022,780,156,0.20646248277409987,172,1.4293193717277486,32.412380156943975
test2026_january_freeze,all,oxr_full_24m_delay24h,780,156,0.21249077538806468,171,1.3843120070113932,32.1196862154106
test2026_january_freeze,all,oxr_full_24m_delay48h,780,156,0.20718930566285673,172,1.4086161879895558,34.924630849671544
test2026_january_freeze,all,oxr_returns_120m_delay24h,780,156,0.2103070892341441,178,1.281111813013266,22.955167422720116
test2026_january_freeze,all,oxr_returns_120m_delay48h,780,156,0.2083522549518192,176,1.330774152271273,25.597260641819958
test2026_january_freeze,all,oxr_returns_24m_delay24h,780,156,0.21064103597107964,168,1.3377881724022718,37.59397140101547
test2026_january_freeze,all,oxr_returns_24m_delay48h,780,156,0.2055022808955629,172,1.411226158038147,30.91690560227866
test2026_january_freeze,all,v3_120m,780,156,0.20840602466731792,173,1.3369494467346497,29.640444412858635
test2026_january_freeze,all,v3_24m,780,156,0.20662686602476496,168,1.3752929360562436,37.770423127129746
test2026_january_freeze,KZT,oxr_basis_120m_delay24h,156,156,0.2351189471107063,34,1.126934984520124,29.83197507207521
test2026_january_freeze,KZT,oxr_basis_120m_delay48h,156,156,0.23303266149940632,35,1.0947368421052632,16.57331720830146
test2026_january_freeze,KZT,oxr_basis_120m_since2020,156,156,0.2346409591603831,34,1.126934984520124,29.83197507207521
test2026_january_freeze,KZT,oxr_basis_120m_since2022,156,156,0.23453741816969306,34,1.126934984520124,29.33635081177408
test2026_january_freeze,KZT,oxr_basis_24m_delay24h,156,156,0.23606200332106456,33,0.9952153110047848,34.14832054250775
test2026_january_freeze,KZT,oxr_basis_24m_delay48h,156,156,0.2355806764131691,33,0.9952153110047848,33.791723737965285
test2026_january_freeze,KZT,oxr_coverage_120m,156,156,0.2359781491011252,35,1.1729323308270678,28.74464308698828
test2026_january_freeze,KZT,oxr_full_120m_delay24h,156,156,0.23643798641825023,34,1.126934984520124,29.83197507207521
test2026_january_freeze,KZT,oxr_full_120m_delay48h,156,156,0.23438562495184348,34,1.126934984520124,29.33635081177408
test2026_january_freeze,KZT,oxr_full_120m_since2020,156,156,0.2364212337456672,34,1.126934984520124,29.83197507207521
test2026_january_freeze,KZT,oxr_full_120m_since2022,156,156,0.2340044783866208,34,1.126934984520124,26.774593496831155
test2026_january_freeze,KZT,oxr_full_24m_delay24h,156,156,0.2437033190544748,34,1.126934984520124,20.40267636063816
test2026_january_freeze,KZT,oxr_full_24m_delay48h,156,156,0.23836188551593282,36,1.216374269005848,25.08591136342453
test2026_january_freeze,KZT,oxr_returns_120m_delay24h,156,156,0.2370475220206591,34,1.126934984520124,29.33635081177408
test2026_january_freeze,KZT,oxr_returns_120m_delay48h,156,156,0.23425074593358203,34,1.126934984520124,29.83197507207521
test2026_january_freeze,KZT,oxr_returns_24m_delay24h,156,156,0.2425753937241128,33,1.0781499202551834,30.89924552155357
test2026_january_freeze,KZT,oxr_returns_24m_delay48h,156,156,0.2381304633532124,33,1.1610845295055823,23.074727186912963
test2026_january_freeze,KZT,v3_120m,156,156,0.2349803479118283,34,1.2074303405572757,31.604298956545374
test2026_january_freeze,KZT,v3_24m,156,156,0.23698814647799885,33,0.9952153110047848,31.508934218021103
test2026_common_january_freeze,all,oxr_basis_120m_delay24h,610,122,0.23319880222006711,142,1.0706612195490999,16.27683305977655
test2026_common_january_freeze,all,oxr_basis_120m_delay48h,610,122,0.23171328490598855,140,1.1604786744400122,20.122296291746345
test2026_common_january_freeze,all,oxr_basis_120m_since2020,610,122,0.23342221915121736,142,1.0706612195490999,16.27683305977655
test2026_common_january_freeze,all,oxr_basis_120m_since2022,610,122,0.2304263009457296,138,1.234433374844334,26.780195682564397
test2026_common_january_freeze,all,oxr_basis_24m_delay24h,610,122,0.23005521760124312,135,1.205418326693227,30.827656526843942
test2026_common_january_freeze,all,oxr_basis_24m_delay48h,610,122,0.23069732971968848,137,1.2437264742785445,30.992471010761292
test2026_common_january_freeze,all,oxr_coverage_120m,610,122,0.23331111419240902,141,1.0955859969558601,18.508155283370108
test2026_common_january_freeze,all,oxr_full_120m_delay24h,610,122,0.2350925654083717,143,1.0806185257468848,15.247957639908936
test2026_common_january_freeze,all,oxr_full_120m_delay48h,610,122,0.23288390470205084,141,1.1535763306390117,18.637564313943493
test2026_common_january_freeze,all,oxr_full_120m_since2020,610,122,0.23527019142298433,143,1.0989340939798828,15.454238446908441
test2026_common_january_freeze,all,oxr_full_120m_since2022,610,122,0.23013353981845514,137,1.2636534839924671,27.40709421724729
test2026_common_january_freeze,all,oxr_full_24m_delay24h,610,122,0.23704859575070808,137,1.2433364691125743,27.482893802673924
test2026_common_january_freeze,all,oxr_full_24m_delay48h,610,122,0.2304076003452917,138,1.2516710710399503,30.732630311890077
test2026_common_january_freeze,all,oxr_returns_120m_delay24h,610,122,0.23505179624417807,143,1.0989340939798828,15.400079909692487
test2026_common_january_freeze,all,oxr_returns_120m_delay48h,610,122,0.23305775713284782,141,1.1535763306390117,18.757076546923905
test2026_common_january_freeze,all,oxr_returns_24m_delay24h,610,122,0.23463152968927914,135,1.182959783818153,32.96268642716925
test2026_common_january_freeze,all,oxr_returns_24m_delay48h,610,122,0.22873867050672256,137,1.2431415582379683,25.692071603595416
test2026_common_january_freeze,all,v3_120m,610,122,0.23281114324810986,138,1.1595512620754131,23.871544868630334
test2026_common_january_freeze,all,v3_24m,610,122,0.22978121613880692,133,1.2020675173639155,34.655853952761156
test2026_common_january_freeze,KZT,oxr_basis_120m_delay24h,122,122,0.242453601566669,27,1.1296296296296295,26.431126558282106
test2026_common_january_freeze,KZT,oxr_basis_120m_delay48h,122,122,0.23973761422109474,28,1.0892857142857142,9.698149302567717
test2026_common_january_freeze,KZT,oxr_basis_120m_since2020,122,122,0.24168335471889313,27,1.1296296296296295,26.431126558282106
test2026_common_january_freeze,KZT,oxr_basis_120m_since2022,122,122,0.24184326071185505,27,1.1296296296296295,25.807007119384387
test2026_common_january_freeze,KZT,oxr_basis_24m_delay24h,122,122,0.2448436296236161,26,0.9775641025641025,32.08150111413578
test2026_common_january_freeze,KZT,oxr_basis_24m_delay48h,122,122,0.24461495906081346,26,0.9775641025641025,31.628897477601125
test2026_common_january_freeze,KZT,oxr_coverage_120m,122,122,0.2433113743284559,28,1.1800595238095237,24.91230665092625
test2026_common_january_freeze,KZT,oxr_full_120m_delay24h,122,122,0.2441477232358519,27,1.1296296296296295,26.431126558282106
test2026_common_january_freeze,KZT,oxr_full_120m_delay48h,122,122,0.24205408026008798,27,1.1296296296296295,25.807007119384387
