cutoff,rule,delay,dates,fallback_share,age_cutoff,median_quote_age
2023-01-01,age_fallback_minimax,0,242,0.024793388429752067,3,1.0
2023-01-01,age_fallback_minimax,1,242,0.21487603305785125,3,2.0
2023-01-01,age_fallback_v3,0,242,0.024793388429752067,3,1.0
2023-01-01,age_fallback_v3,1,242,0.21487603305785125,3,2.0
2024-01-01,age_fallback_minimax,0,243,0.024691358024691357,2,1.0
2024-01-01,age_fallback_minimax,1,243,0.22633744855967078,2,2.0
2024-01-01,age_fallback_v3,0,243,0.024691358024691357,2,1.0
2024-01-01,age_fallback_v3,1,243,0.22633744855967078,2,2.0
2025-01-01,age_fallback_minimax,0,242,0.01652892561983471,3,1.0
2025-01-01,age_fallback_minimax,1,242,0.21074380165289255,3,2.0
2025-01-01,age_fallback_v3,0,242,0.01652892561983471,3,1.0
2025-01-01,age_fallback_v3,1,242,0.21074380165289255,3,2.0
2026-01-01,age_fallback_minimax,0,156,0.0,3,1.0
2026-01-01,age_fallback_minimax,1,156,0.16666666666666666,3,2.0
2026-01-01,age_fallback_v3,0,156,0.0,3,1.0
2026-01-01,age_fallback_v3,1,156,0.16666666666666666,3,2.0
2026-03-01,age_fallback_minimax,0,122,0.0,2,1.0
2026-03-01,age_fallback_minimax,1,122,0.19672131147540983,2,2.0
2026-03-01,age_fallback_v3,0,122,0.0,2,1.0
2026-03-01,age_fallback_v3,1,122,0.19672131147540983,2,2.0
