cutoff,rule,delay,rows,first_date,last_date,brier,log_loss,raw_brier,candidate_frequency_per_week,weeks_1_to_2_share,threshold,candidate_count,candidate_quality,candidate_lift,candidate_lift_standardized,candidate_lift_unstandardized,forward_delta_bps,forward_bps_absolute,forward_bps_per_candidate,regret_bps_per_candidate
2023-01-01,age_fallback_minimax,0,242,2023-01-10,2023-12-23,0.1899221258757287,0.5642898680294824,0.1899221258757287,0.8850574712643678,0.8,0.23874086028238872,44,0.5909090909090909,1.6067415730337078,1.6067415730337078,1.606741573033708,56.735573629512785,94.65919014008495,94.65919014008495,67.50956404541951
2023-01-01,age_fallback_minimax,1,242,2023-01-10,2023-12-23,0.20372108059262048,0.5974163533255872,0.20372108059262048,0.9252873563218391,0.84,0.23874086028238872,46,0.5869565217391305,1.5959941377625793,1.5959941377625793,1.5959941377625795,65.03429259342151,102.95790910399364,102.95790910399364,66.64465177821309
2023-01-01,age_fallback_v3,0,242,2023-01-10,2023-12-23,0.1900214068757099,0.5646635765033952,0.1900214068757099,0.8850574712643678,0.8,0.23874086028238872,44,0.5909090909090909,1.6067415730337078,1.6067415730337078,1.606741573033708,56.735573629512785,94.65919014008495,94.65919014008495,67.50956404541951
2023-01-01,age_fallback_v3,1,242,2023-01-10,2023-12-23,0.20386310128191093,0.5976668290519355,0.20386310128191093,0.9655172413793104,0.88,0.23874086028238872,48,0.5625,1.529494382022472,1.529494382022472,1.529494382022472,55.53669658823882,93.46031309881096,93.46031309881096,75.63402348186348
2024-01-01,age_fallback_minimax,0,243,2024-01-10,2024-12-24,0.19485710618319713,0.5757085055928978,0.19485710618319713,0.9,0.803921568627451,0.2690777098557793,45,0.4,1.4953846153846149,1.4953846153846149,1.4953846153846155,30.172743497426445,29.006140926253178,29.006140926253178,101.41095946938016
2024-01-01,age_fallback_minimax,1,243,2024-01-10,2024-12-24,0.19224373547139087,0.5749316252875436,0.19224373547139087,0.98,0.803921568627451,0.2690777098557793,49,0.32653061224489793,1.2207221350078492,1.2207221350078492,1.2207221350078492,11.655070324088651,10.488467752915373,10.488467752915373,107.7349094338265
2024-01-01,age_fallback_v3,0,243,2024-01-10,2024-12-24,0.19485710618319713,0.5757085055928978,0.19485710618319713,0.9,0.803921568627451,0.2690777098557793,45,0.4,1.4953846153846149,1.4953846153846149,1.4953846153846155,30.172743497426445,29.006140926253178,29.006140926253178,101.41095946938016
2024-01-01,age_fallback_v3,1,243,2024-01-10,2024-12-24,0.19224373547139087,0.5749316252875436,0.19224373547139087,0.98,0.803921568627451,0.2690777098557793,49,0.32653061224489793,1.2207221350078492,1.2207221350078492,1.2207221350078492,11.655070324088651,10.488467752915373,10.488467752915373,107.7349094338265
2025-01-01,age_fallback_minimax,0,242,2025-01-10,2025-12-24,0.14543666353315723,0.4529519293770966,0.14543666353315723,0.9426934097421203,0.8627450980392157,0.18407890409515165,47,0.3617021276595745,1.823581560283689,1.823581560283689,1.823581560283688,49.36968644030655,21.12338755258644,21.12338755258644,114.85257114084244
2025-01-01,age_fallback_minimax,1,242,2025-01-10,2025-12-24,0.14965943032312196,0.4643884284390061,0.14965943032312196,0.9226361031518625,0.8627450980392157,0.18407890409515165,46,0.3695652173913043,1.86322463768116,1.86322463768116,1.8632246376811592,53.494174813357816,25.247875925637707,25.247875925637707,113.0980508117947
2025-01-01,age_fallback_v3,0,242,2025-01-10,2025-12-24,0.1455909886518147,0.45305572070335864,0.1455909886518147,0.9426934097421203,0.8627450980392157,0.18407890409515165,47,0.3617021276595745,1.823581560283689,1.823581560283689,1.823581560283688,49.36968644030655,21.12338755258644,21.12338755258644,114.85257114084244
2025-01-01,age_fallback_v3,1,242,2025-01-10,2025-12-24,0.148386112545455,0.46200663538610953,0.148386112545455,0.9226361031518625,0.8235294117647058,0.18407890409515165,46,0.2826086956521739,1.4248188405797106,1.4248188405797106,1.42481884057971,46.875390978706236,18.62909209098612,18.62909209098612,121.14224720089842
