scope,rule_a,delay_a,rule_b,delay_b,dates,block_cbr_dates,delta_brier,ci_low,ci_high,interpretation
development,halyk_l1,0,v3_long_globalcal,0,727,10,-0.006380366858975912,-0.01543232973068987,0.0023365012688354994,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,halyk_l1,0,v3_long_globalcal,0,727,20,-0.006380366858975912,-0.015772188738465368,0.0025367467331002774,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,halyk_l1,0,v3_long_globalcal,0,727,40,-0.006380366858975912,-0.01760775341914881,0.0034694524781194104,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,halyk_l1,1,v3_long_globalcal,0,727,10,-0.00130048161560373,-0.010187881380681617,0.007740701120863216,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,halyk_l1,1,v3_long_globalcal,0,727,20,-0.00130048161560373,-0.010493672120778386,0.008028006421375551,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,halyk_l1,1,v3_long_globalcal,0,727,40,-0.00130048161560373,-0.01168320777297385,0.0082668537600702,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,minimax_shrink_v3,0,halyk_l1,0,727,10,0.0019031001541488866,-0.005356042483446071,0.009734347158710044,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,minimax_shrink_v3,0,halyk_l1,0,727,20,0.0019031001541488866,-0.0055580306733744745,0.010040232342588088,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,minimax_shrink_v3,0,halyk_l1,0,727,40,0.0019031001541488866,-0.006401162411426629,0.011369335701308507,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,minimax_shrink_v3,1,halyk_l1,1,727,10,-0.0006517994289908734,-0.008317992681081828,0.007006807118256388,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,minimax_shrink_v3,1,halyk_l1,1,727,20,-0.0006517994289908734,-0.008412362010235756,0.007976736694041775,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,minimax_shrink_v3,1,halyk_l1,1,727,40,-0.0006517994289908734,-0.009142857500824145,0.009061425419426252,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,minimax_shrink_v3,1,v3_long_globalcal,0,727,10,-0.0019522810445946033,-0.004844915575066994,0.0007710575045845974,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,minimax_shrink_v3,1,v3_long_globalcal,0,727,20,-0.0019522810445946033,-0.00540501174983702,0.0008579297866614723,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,minimax_shrink_v3,1,v3_long_globalcal,0,727,40,-0.0019522810445946033,-0.005089656480323719,0.0007076056727647781,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,v3_long_localcal,0,minimax_shrink_v3,1,727,10,-0.00031798689559407115,-0.0026100377136600373,0.0018104493800751116,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,v3_long_localcal,0,minimax_shrink_v3,1,727,20,-0.00031798689559407115,-0.0028826980212154456,0.001988398683892096,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
development,v3_long_localcal,0,minimax_shrink_v3,1,727,40,-0.00031798689559407115,-0.003144514614765342,0.002238433924174993,"negative favors A; paired circular date-block diagnostic, selected policies held fixed, no search correction"
