open_time,open,close,high,low,volume,source_date
1508976000000,1.01649,0.993918,1.02135,0.988669,80.695,2017-10-26
1509062400000,0.99595,0.997079,1.0299,0.98,6773.78923584,2017-10-27
1509148800000,1.00579,1.00363139,1.024995,0.99,5016.2384928,2017-10-28
1509235200000,1.0071441,0.97166,1.0071441,0.96724243,10233.39711678,2017-10-29
1509321600000,0.97256322,0.97700123,0.987,0.96,10845.75463582,2017-10-30
1509408000000,0.98058,0.9786,0.985,0.975,8031.59995792,2017-10-31
1509494400000,0.97954,0.9947,0.999,0.975,17203.49379444,2017-11-01
1509580800000,0.9948,0.9891,1.005,0.97743406,43138.15952533,2017-11-02
1509667200000,0.9891,0.987788,1.0199,0.9752,21422.34580509,2017-11-03
1509753600000,0.989,0.9827,0.9975,0.98000001,4935.67340905,2017-11-04
1509840000000,0.98475,0.98428807,0.995,0.97522111,11628.98723888,2017-11-05
1509926400000,0.992,1.0021,1.004999,0.981,12546.32395793,2017-11-06
1510012800000,1.0025,0.999235,1.01,0.9925,9900.03701265,2017-11-07
1510099200000,0.997956,0.9999,1.0,0.9752,45330.86223888,2017-11-08
1510185600000,0.9939,0.98809,0.9976,0.9805,15179.74816109,2017-11-09
1510272000000,0.990102,0.997344,0.9999,0.98102,20032.14514697,2017-11-10
1510358400000,0.995912,0.9992,1.021,0.9938,62566.58849016,2017-11-11
1510444800000,0.9991,1.00498,1.05,0.981,67829.65323441,2017-11-12
1510531200000,1.0076,1.0121,1.029,0.9901,25953.14319768,2017-11-13
1510617600000,1.0161,1.0096,1.02,0.9999,19148.38841257,2017-11-14
1510704000000,1.0054,1.0047,1.0175,0.999,21535.97422488,2017-11-15
1510790400000,1.0064,0.9928,1.0079,0.985,41181.17220286,2017-11-16
1510876800000,0.99041,0.989962,0.998899,0.9784,28898.01396392,2017-11-17
1510963200000,0.9883,0.9843,0.9997,0.981,19839.97349566,2017-11-18
1511049600000,0.985783,0.9755002,0.998,0.9755001,25660.11262611,2017-11-19
1511136000000,0.97896,0.97013,0.9897,0.97013,32155.66364969,2017-11-20
1511222400000,0.975186,0.982534,0.9927,0.97,32588.22689543,2017-11-21
1511308800000,0.9841,0.980582,0.9879,0.97505,15547.76357672,2017-11-22
1511395200000,0.9852789,0.9921,0.995,0.97848083,33787.6248269,2017-11-23
1511481600000,0.988358,0.98766,0.998,0.983,28904.18723791,2017-11-24
1511568000000,0.99004,0.98189,0.99129726,0.9751,25878.34257174,2017-11-25
1511654400000,0.9800002,0.9827,0.9978888,0.97770006,38082.52279203,2017-11-26
1511740800000,0.98379,0.983724,0.9937,0.9711,58410.79141772,2017-11-27
1511827200000,0.984869,0.9862,0.99,0.975,60037.78862913,2017-11-28
1511913600000,0.9804,0.9885,0.998,0.9790001,84338.03943112,2017-11-29
1512000000000,0.9885,0.99017516,1.01,0.9787,91372.33395175,2017-11-30
1512086400000,0.994863,0.99,1.0,0.983115,37455.59564593,2017-12-01
1512172800000,0.987602,0.987,0.995,0.98017,52542.8459869,2017-12-02
1512259200000,0.992,0.9936,0.997998,0.98,40739.1655415,2017-12-03
1512345600000,0.9955,1.0,1.0,0.987,33389.33968848,2017-12-04
1512432000000,0.99956,1.0006,1.01,0.9911,25178.53460701,2017-12-05
1512518400000,1.00249999,1.03597607,1.081,0.9851,54208.48972712,2017-12-06
1512604800000,1.03597607,1.03781,1.28,0.99714,82802.4637606,2017-12-07
1512691200000,1.03960198,1.006,1.06,0.99421,79933.90611947,2017-12-08
1512777600000,1.00551553,1.0109462,1.045,0.96371128,86775.54612475,2017-12-09
1512864000000,1.0109462,1.0180353,1.06,0.996,48049.55454475,2017-12-10
1512950400000,1.0180353,1.014,1.0323628,0.99,70469.5787286,2017-12-11
1513036800000,1.0114,1.01094629,1.02517,0.989,65675.91774562,2017-12-12
1513123200000,1.00661,1.0039,1.06,0.99,149160.2629645,2017-12-13
1513209600000,1.004,1.01873,1.03333,1.0016,50535.72150274,2017-12-14
1513296000000,1.01751,1.003,1.03333,0.992,82988.3228941,2017-12-15
1513382400000,1.0014,1.005,1.008,0.99111,61546.42602368,2017-12-16
1513468800000,1.0051,1.006,1.00821,0.99111,87150.10962647,2017-12-17
1513555200000,1.006,0.994214,1.02321,0.9931101,119330.64225968,2017-12-18
1513641600000,0.99691,1.02228,1.03,0.99112235,114538.07950056,2017-12-19
1513728000000,1.0201,1.004,1.03597607,0.99628713,100929.58583913,2017-12-20
1513814400000,1.004,1.008,1.0107,0.98501,142534.21111435,2017-12-21
1513900800000,1.0028,1.0088,1.02642357,0.985,353694.95152593,2017-12-22
1513987200000,1.0089,1.01600936,1.0678,1.0,202709.24648914,2017-12-23
1514073600000,1.0195,1.0387,1.1,1.0152,183631.28482393,2017-12-24
1514160000000,1.0352,1.04116,1.065,1.02,94894.97581853,2017-12-25
1514246400000,1.0416,1.0374,1.055,1.0142,135675.57326902,2017-12-26
1514332800000,1.0375,1.0437,1.055,1.01910022,122865.98165487,2017-12-27
1514419200000,1.0437,1.07281165,1.15117877,1.0201,199039.59885318,2017-12-28
1514505600000,1.0703,1.05213502,1.09330401,1.03,88025.85110525,2017-12-29
1514592000000,1.05257,1.110053,10.0,1.04,213824.68875006,2017-12-30
1514678400000,1.10061601,1.09171776,1.2274,1.068534,72541.19441067,2017-12-31
1514764800000,1.09058,1.0719615,1.1855,1.0719615,63137.96504006,2018-01-01
1514851200000,1.0719615,1.055,1.1,1.0420001,200252.03907433,2018-01-02
1514937600000,1.055,1.05100002,1.0698,1.05,165268.69742349,2018-01-03
1515024000000,1.05532,1.041,1.068,1.02313387,165226.83244201,2018-01-04
1515110400000,1.041,1.07442409,1.11,1.02767105,118865.54950715,2018-01-05
1515196800000,1.07482,1.0765,1.15,1.05213502,110682.71308949,2018-01-06
1515283200000,1.07881,1.06906024,1.097,1.0502,100483.07533842,2018-01-07
1515369600000,1.06906026,1.09335969,1.2,1.0501,196868.04557768,2018-01-08
1515456000000,1.10322096,1.08532,1.13,1.06511,120999.74687649,2018-01-09
1515542400000,1.0869,1.11095702,1.15,1.08,135697.19101971,2018-01-10
1515628800000,1.11095702,1.13,1.18,1.07,158619.95265463,2018-01-11
