symbol,year,rows,min_ms,max_ms,all_within_requested_seconds,all_midnight_utc
USDT_RUB,2019,365,1546300800000,1577750400000,True,True
USDT_USD,2018,365,1514764800000,1546214400000,True,True
USDT_RUB,2023,365,1672531200000,1703980800000,True,True
BTC_USDT,2017,117,1504656000000,1514678400000,True,True
USDT_RUB,2025,365,1735689600000,1767139200000,True,True
BTC_RUB,2017,365,1483228800000,1514678400000,True,True
USDT_USD,2017,67,1508976000000,1514678400000,True,True
USDT_USD,2024,363,1704067200000,1735603200000,True,True
BTC_RUB,2025,365,1735689600000,1767139200000,True,True
USDT_RUB,2022,365,1640995200000,1672444800000,True,True
BTC_RUB,2019,365,1546300800000,1577750400000,True,True
BTC_RUB,2022,365,1640995200000,1672444800000,True,True
USDT_KZT,2020,350,1578960000000,1609372800000,True,True
USDT_KZT,2024,366,1704067200000,1735603200000,True,True
BTC_USDT,2025,365,1735689600000,1767139200000,True,True
BTC_USDT,2020,366,1577836800000,1609372800000,True,True
BTC_USDT,2022,365,1640995200000,1672444800000,True,True
BTC_USDT,2021,365,1609459200000,1640908800000,True,True
BTC_USDT,2024,366,1704067200000,1735603200000,True,True
USDT_KZT,2022,365,1640995200000,1672444800000,True,True
BTC_USDT,2019,365,1546300800000,1577750400000,True,True
BTC_RUB,2021,365,1609459200000,1640908800000,True,True
USDT_RUB,2020,366,1577836800000,1609372800000,True,True
BTC_USDT,2023,365,1672531200000,1703980800000,True,True
USDT_KZT,2026,78,1767225600000,1784246400000,True,True
USDT_RUB,2026,202,1767225600000,1784851200000,True,True
USDT_USD,2021,365,1609459200000,1640908800000,True,True
USDT_RUB,2021,365,1609459200000,1640908800000,True,True
USDT_RUB,2017,117,1504656000000,1514678400000,True,True
USDT_KZT,2025,365,1735689600000,1767139200000,True,True
BTC_USDT,2018,365,1514764800000,1546214400000,True,True
USDT_USD,2022,365,1640995200000,1672444800000,True,True
USDT_USD,2019,365,1546300800000,1577750400000,True,True
USDT_KZT,2021,365,1609459200000,1640908800000,True,True
BTC_USDT,2026,203,1767225600000,1787529600000,True,True
BTC_RUB,2018,365,1514764800000,1546214400000,True,True
BTC_RUB,2023,365,1672531200000,1703980800000,True,True
USDT_USD,2025,365,1735689600000,1767139200000,True,True
USDT_KZT,2023,365,1672531200000,1703980800000,True,True
USDT_RUB,2024,366,1704067200000,1735603200000,True,True
USDT_USD,2020,366,1577836800000,1609372800000,True,True
USDT_USD,2026,194,1767225600000,1783900800000,True,True
USDT_RUB,2018,365,1514764800000,1546214400000,True,True
BTC_RUB,2026,195,1767225600000,1783987200000,True,True
BTC_RUB,2020,366,1577836800000,1609372800000,True,True
BTC_RUB,2024,366,1704067200000,1735603200000,True,True
USDT_USD,2023,365,1672531200000,1703980800000,True,True
