family,lag_days,year,dates,complete_row_share,mean_feature_coverage
global,2,2010,249,0.0,0.0
global,2,2011,249,0.0,0.0
global,2,2012,249,0.0,0.0
global,2,2013,246,0.0,0.0
global,2,2014,247,0.0,0.0
global,2,2015,247,0.0,0.0
global,2,2016,248,0.0,0.0
global,2,2017,247,0.340080971659919,0.35931174089068824
global,2,2018,247,1.0,1.0
global,2,2019,246,1.0,1.0
global,2,2020,243,1.0,1.0
global,2,2021,248,1.0,1.0
global,2,2022,247,1.0,1.0
global,2,2023,247,1.0,1.0
global,2,2024,248,1.0,1.0
global,2,2025,247,1.0,1.0
global,2,2026,161,1.0,1.0
stable,2,2010,249,0.0,0.0
stable,2,2011,249,0.0,0.0
stable,2,2012,249,0.0,0.0
stable,2,2013,246,0.0,0.0
stable,2,2014,247,0.0,0.0
stable,2,2015,247,0.0,0.0
stable,2,2016,248,0.0,0.0
stable,2,2017,247,0.0,0.0
stable,2,2018,247,0.04048582995951417,0.043184885290148446
stable,2,2019,246,1.0,1.0
stable,2,2020,243,1.0,1.0
stable,2,2021,248,1.0,1.0
stable,2,2022,247,0.7368421052631579,0.7368421052631579
stable,2,2023,247,0.8259109311740891,0.8286099865047234
stable,2,2024,248,1.0,1.0
stable,2,2025,247,1.0,1.0
stable,2,2026,161,1.0,1.0
erub_premium,2,2010,249,0.0,0.0
erub_premium,2,2011,249,0.0,0.0
erub_premium,2,2012,249,0.0,0.0
erub_premium,2,2013,246,0.0,0.0
erub_premium,2,2014,247,0.0,0.0
erub_premium,2,2015,247,0.0,0.0
erub_premium,2,2016,248,0.0,0.0
erub_premium,2,2017,247,0.0,0.21322537112010798
erub_premium,2,2018,247,0.0,0.6666666666666666
erub_premium,2,2019,246,0.0,0.6666666666666666
erub_premium,2,2020,243,0.345679012345679,0.7818930041152262
erub_premium,2,2021,248,0.9959677419354839,0.9986559139784946
erub_premium,2,2022,247,0.9959514170040485,0.9986504723346828
erub_premium,2,2023,247,1.0,1.0
erub_premium,2,2024,248,0.9959677419354839,0.9986559139784946
erub_premium,2,2025,247,0.9959514170040485,0.9986504723346828
erub_premium,2,2026,161,0.8136645962732919,0.8302277432712216
erub_liquidity,2,2010,249,0.0,0.0
erub_liquidity,2,2011,249,0.0,0.0
erub_liquidity,2,2012,249,0.0,0.0
erub_liquidity,2,2013,246,0.0,0.0
erub_liquidity,2,2014,247,0.0,0.0
erub_liquidity,2,2015,247,0.0,0.0
erub_liquidity,2,2016,248,0.0,0.0
erub_liquidity,2,2017,247,0.2874493927125506,0.31309041835357626
erub_liquidity,2,2018,247,1.0,1.0
erub_liquidity,2,2019,246,1.0,1.0
erub_liquidity,2,2020,243,1.0,1.0
erub_liquidity,2,2021,248,1.0,1.0
erub_liquidity,2,2022,247,1.0,1.0
erub_liquidity,2,2023,247,1.0,1.0
erub_liquidity,2,2024,248,1.0,1.0
erub_liquidity,2,2025,247,1.0,1.0
erub_liquidity,2,2026,161,0.8385093167701864,0.8385093167701864
ekzt_premium,2,2010,249,0.0,0.0
ekzt_premium,2,2011,249,0.0,0.0
ekzt_premium,2,2012,249,0.0,0.0
ekzt_premium,2,2013,246,0.0,0.0
ekzt_premium,2,2014,247,0.0,0.0
ekzt_premium,2,2015,247,0.0,0.0
ekzt_premium,2,2016,248,0.0,0.0
ekzt_premium,2,2017,247,0.0,0.0
ekzt_premium,2,2018,247,0.0,0.0
ekzt_premium,2,2019,246,0.0,0.0
ekzt_premium,2,2020,243,0.0,0.6406035665294924
ekzt_premium,2,2021,248,0.6653225806451613,0.8884408602150536
ekzt_premium,2,2022,247,1.0,1.0
ekzt_premium,2,2023,247,0.9554655870445344,0.9851551956815116
ekzt_premium,2,2024,248,1.0,1.0
ekzt_premium,2,2025,247,1.0,1.0
ekzt_premium,2,2026,161,0.2111801242236025,0.3146997929606625
ekzt_liquidity,2,2010,249,0.0,0.0
ekzt_liquidity,2,2011,249,0.0,0.0
ekzt_liquidity,2,2012,249,0.0,0.0
ekzt_liquidity,2,2013,246,0.0,0.0
ekzt_liquidity,2,2014,247,0.0,0.0
ekzt_liquidity,2,2015,247,0.0,0.0
ekzt_liquidity,2,2016,248,0.0,0.0
ekzt_liquidity,2,2017,247,0.0,0.0
ekzt_liquidity,2,2018,247,0.0,0.0
ekzt_liquidity,2,2019,246,0.0,0.0
ekzt_liquidity,2,2020,243,0.9300411522633745,0.9588477366255144
ekzt_liquidity,2,2021,248,1.0,1.0
ekzt_liquidity,2,2022,247,1.0,1.0
ekzt_liquidity,2,2023,247,1.0,1.0
ekzt_liquidity,2,2024,248,1.0,1.0
ekzt_liquidity,2,2025,247,1.0,1.0
ekzt_liquidity,2,2026,161,0.2111801242236025,0.3167701863354037
exmo_cross,2,2010,249,0.0,0.0
exmo_cross,2,2011,249,0.0,0.0
exmo_cross,2,2012,249,0.0,0.0
exmo_cross,2,2013,246,0.0,0.0
exmo_cross,2,2014,247,0.0,0.0
exmo_cross,2,2015,247,0.0,0.0
exmo_cross,2,2016,248,0.0,0.0
exmo_cross,2,2017,247,0.0,0.0
exmo_cross,2,2018,247,0.0,0.0
exmo_cross,2,2019,246,0.0,0.0
exmo_cross,2,2020,243,0.345679012345679,0.345679012345679
exmo_cross,2,2021,248,0.9959677419354839,0.9959677419354839
exmo_cross,2,2022,247,0.9959514170040485,0.9959514170040485
exmo_cross,2,2023,247,1.0,1.0
exmo_cross,2,2024,248,0.9959677419354839,0.9959677419354839
exmo_cross,2,2025,247,0.9959514170040485,0.9959514170040485
exmo_cross,2,2026,161,0.2857142857142857,0.2857142857142857
binance_rub,2,2010,249,0.0,0.0
binance_rub,2,2011,249,0.0,0.0
binance_rub,2,2012,249,0.0,0.0
binance_rub,2,2013,246,0.0,0.0
binance_rub,2,2014,247,0.0,0.0
binance_rub,2,2015,247,0.0,0.0
binance_rub,2,2016,248,0.0,0.0
binance_rub,2,2017,247,0.0,0.0
binance_rub,2,2018,247,0.0,0.0
binance_rub,2,2019,246,0.0,0.0054200542005420045
binance_rub,2,2020,243,0.345679012345679,0.8902606310013716
binance_rub,2,2021,248,0.9959677419354839,0.9993279569892474
binance_rub,2,2022,247,0.9959514170040485,0.9993252361673415
binance_rub,2,2023,247,1.0,1.0
binance_rub,2,2024,248,0.06451612903225806,0.07459677419354839
binance_rub,2,2025,247,0.0,0.0
binance_rub,2,2026,161,0.0,0.0
cross_venues,2,2010,249,0.0,0.0
cross_venues,2,2011,249,0.0,0.0
cross_venues,2,2012,249,0.0,0.0
cross_venues,2,2013,246,0.0,0.0
cross_venues,2,2014,247,0.0,0.0
cross_venues,2,2015,247,0.0,0.0
cross_venues,2,2016,248,0.0,0.0
cross_venues,2,2017,247,0.0,0.0
cross_venues,2,2018,247,0.0,0.0
cross_venues,2,2019,246,0.012195121951219513,0.012195121951219513
cross_venues,2,2020,243,1.0,1.0
cross_venues,2,2021,248,1.0,1.0
cross_venues,2,2022,247,1.0,1.0
cross_venues,2,2023,247,1.0,1.0
cross_venues,2,2024,248,0.06854838709677419,0.06854838709677419
cross_venues,2,2025,247,0.0,0.0
cross_venues,2,2026,161,0.0,0.0
erub,2,2010,249,0.0,0.0
erub,2,2011,249,0.0,0.0
erub,2,2012,249,0.0,0.0
erub,2,2013,246,0.0,0.0
erub,2,2014,247,0.0,0.0
erub,2,2015,247,0.0,0.0
erub,2,2016,248,0.0,0.0
erub,2,2017,247,0.0,0.2631578947368421
erub,2,2018,247,0.0,0.8333333333333334
erub,2,2019,246,0.0,0.8333333333333334
erub,2,2020,243,0.345679012345679,0.8909465020576132
erub,2,2021,248,0.9959677419354839,0.9993279569892474
erub,2,2022,247,0.9959514170040485,0.9993252361673415
erub,2,2023,247,1.0,1.0
erub,2,2024,248,0.9959677419354839,0.9993279569892474
erub,2,2025,247,0.9959514170040485,0.9993252361673415
erub,2,2026,161,0.8136645962732919,0.8343685300207039
exmo_joint,2,2010,249,0.0,0.0
exmo_joint,2,2011,249,0.0,0.0
