cutoff,mode,policy,block,baseline,candidate,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
2025-01-01,bank_delayed,cadence85_cd2,month,duplicate_normal,normal_plus_banklag2,0.0022199167626622807,-0.001174941570103314,0.005536996982855459,12,0,-0.21062665782493428,-0.5943774646380964,0.0936812333629102,-19.125124917966772,-39.898240348029304,-3.459415964384174
2025-01-01,bank_delayed,cadence85_cd2,20,duplicate_normal,normal_plus_banklag2,0.0022199167626622807,-0.0011258664856410286,0.005615842286932752,13,0,,,,,,
2025-01-01,bank_delayed,cadence90_cd2,month,duplicate_normal,normal_plus_banklag2,0.0022199167626622807,-0.001174941570103314,0.005536996982855459,12,0,-0.5082799145299151,-1.2106771439630282,-0.04989714776948828,-26.128587898931713,-55.74650819540127,-2.6263205000523646
2025-01-01,bank_delayed,cadence90_cd2,20,duplicate_normal,normal_plus_banklag2,0.0022199167626622807,-0.0011258664856410286,0.005615842286932752,13,0,,,,,,
2025-01-01,bank_delayed,cadence90_cd3,month,duplicate_normal,normal_plus_banklag2,0.0022199167626622807,-0.001174941570103314,0.005536996982855459,12,0,-0.5338235294117653,-0.956997119424268,-0.17414765906362528,-15.821269663486035,-29.342288467467938,-4.6799247578587275
2025-01-01,bank_delayed,cadence90_cd3,20,duplicate_normal,normal_plus_banklag2,0.0022199167626622807,-0.0011258664856410286,0.005615842286932752,13,0,,,,,,
2025-01-01,bank_delayed,legacy,month,duplicate_normal,normal_plus_banklag2,0.0022199167626622807,-0.001174941570103314,0.005536996982855459,12,0,-0.16462585034013677,-0.45513610362360124,0.08188806285135992,-14.78108073414144,-31.903332240757596,-1.333717095930754
2025-01-01,bank_delayed,legacy,20,duplicate_normal,normal_plus_banklag2,0.0022199167626622807,-0.0011258664856410286,0.005615842286932752,13,0,,,,,,
2025-01-01,normal,cadence85_cd2,month,duplicate_normal,normal_plus_banklag2,0.004403683280553303,0.0011417969044681178,0.007795807690492597,12,0,-0.11379310344827687,-0.32691323800161187,0.09164997473045818,2.819060600009621,-5.569354799346035,13.992599217988351
2025-01-01,normal,cadence85_cd2,20,duplicate_normal,normal_plus_banklag2,0.004403683280553303,0.0010398959552018455,0.00795574887288998,13,0,,,,,,
