feature,csv_maxdiff,roundtrip_maxdiff,encoded_maxdiff,encoded_roundtrip_maxdiff
ret1,9.8879238130678e-17,0.0,2.0511370379949767e-14,0.0
ret3,9.8879238130678e-17,0.0,1.0769163338864018e-14,0.0
ret5,9.71445146547012e-17,0.0,9.103828801926284e-15,0.0
ret10,9.71445146547012e-17,0.0,4.773959005888173e-15,0.0
ret20,9.71445146547012e-17,0.0,3.219646771412954e-15,0.0
ret60,9.71445146547012e-17,0.0,1.9984014443252818e-15,0.0
pr60,1.1102230246251565e-16,0.0,0.057723241950196735,0.0
pr120,1.1102230246251565e-16,0.0,0.04829020592348199,0.0
pr252,1.1102230246251565e-16,0.0,0.07505097121880033,0.0
vol5,9.8879238130678e-17,0.0,3.8191672047105385e-14,0.0
vol20,9.8879238130678e-17,0.0,2.7700064464397656e-14,0.0
vol60,9.8879238130678e-17,0.0,2.5757174171303632e-14,0.0
volratio,2.220446049250313e-16,0.0,8.881784197001252e-16,0.0
moex_cny_close_minus_fixing_same_session,9.974659986866641e-17,0.0,1.887379141862766e-14,0.0
oxr_log_basis,9.8879238130678e-17,0.0,2.1566082253343666e-14,0.0
oxr_basis_chg1,9.82287168271867e-17,0.0,2.0882601203808804e-14,0.0
oxr_basis_chg5,9.627715291671279e-17,0.0,1.2212453270876722e-14,0.0
oxr_basis_z20,4.440892098500626e-16,0.0,8.881784197001252e-16,0.0
oxr_age_days,2.220446049250313e-16,0.0,4.796163466380676e-14,0.0
halyk_rub_sell_official_basis,9.974659986866641e-17,0.0,9.547918011776346e-15,0.0
halyk_rub_personal_legal_gap,9.71445146547012e-17,0.0,1.3322676295501878e-14,0.0
halyk_personal_rub_ret1,9.974659986866641e-17,0.0,2.5202062658991053e-14,0.0
halyk_personal_rub_ret5,9.8879238130678e-17,0.0,7.549516567451064e-15,0.0
halyk_personal_usd_ret1,9.71445146547012e-17,0.0,2.6645352591003757e-14,0.0
halyk_personal_usd_ret5,9.8879238130678e-17,0.0,1.354472090042691e-14,0.0
treasury_t10yie_stale_chg5,9.020562075079397e-17,0.0,0.04349164907038994,0.0
treasury_t10yie_stale_chg20,8.673617379884035e-17,0.0,0.6931921459931237,0.0
treasury_t5yifr_stale_chg5,9.020562075079397e-17,0.0,0.03708489389555991,0.0
treasury_t5yifr_stale_chg20,9.020562075079397e-17,0.0,0.02683912043740011,0.0
