type,model,horizon,execution_delay,rows,dates,signals,weeks,weeks_1_2,signals_per_week,silent_weeks,brier,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps
horizon_sensitivity_frozen_h5_policy,selected,1,0,156,156,40,33,0.8787878787878788,1.2121212121212122,4,,0.6025641025641025,0.8,1.3276595744680852,58.65703377973023,70.59447097490583
horizon_sensitivity_frozen_h5_policy,V3,1,0,156,156,34,33,0.9393939393939394,1.0303030303030303,2,,0.6025641025641025,0.6470588235294118,1.0738423028785984,28.09858549199551,40.03602268717112
horizon_sensitivity_frozen_h5_policy,selected,3,0,156,156,40,33,0.8787878787878788,1.2121212121212122,4,,0.4230769230769231,0.6,1.4181818181818182,59.485512621177755,83.708477175357
horizon_sensitivity_frozen_h5_policy,V3,3,0,156,156,34,33,0.9393939393939394,1.0303030303030303,2,,0.4230769230769231,0.5,1.1818181818181819,30.141988641258052,54.3649531954373
horizon_sensitivity_frozen_h5_policy,selected,5,0,156,156,40,33,0.8787878787878788,1.2121212121212122,4,0.19836603111443796,0.36538461538461536,0.55,1.505263157894737,66.21511623261752,103.37969252433663
horizon_sensitivity_frozen_h5_policy,V3,5,0,156,156,34,33,0.9393939393939394,1.0303030303030303,2,0.2349803479118283,0.36538461538461536,0.4411764705882353,1.2074303405572755,31.604298956545378,68.7688752482645
horizon_sensitivity_frozen_h5_policy,selected,10,0,151,151,39,32,0.90625,1.21875,3,,0.32450331125827814,0.4358974358974359,1.3432757718472004,77.74219882963983,147.46731889102605
horizon_sensitivity_frozen_h5_policy,V3,10,0,151,151,33,32,0.9375,1.03125,2,,0.32450331125827814,0.3939393939393939,1.2139764996907854,30.46089641426444,100.18601647565066
horizon_sensitivity_frozen_h5_policy,selected,20,0,141,141,35,30,0.8666666666666667,1.1666666666666667,4,,0.2624113475177305,0.34285714285714286,1.3065637065637066,96.18643058772349,220.53584064487444
horizon_sensitivity_frozen_h5_policy,V3,20,0,141,141,31,30,0.9333333333333333,1.0333333333333334,2,,0.2624113475177305,0.2903225806451613,1.1063644289450743,25.263754069602584,149.61316412675353
execution_delay_fixed_original_h5_deadline,selected,5,0,156,156,40,33,0.8787878787878788,1.2121212121212122,4,0.19836603111443796,0.36538461538461536,0.55,1.505263157894737,66.21511623261752,103.37969252433663
execution_delay_fixed_original_h5_deadline,V3,5,0,156,156,34,33,0.9393939393939394,1.0303030303030303,2,0.2349803479118283,0.36538461538461536,0.4411764705882353,1.2074303405572755,31.604298956545378,68.7688752482645
execution_delay_fixed_original_h5_deadline,selected,5,1,156,156,40,33,0.8787878787878788,1.2121212121212122,4,,0.391025641025641,0.425,1.0868852459016394,9.176802824084824,40.482812815810256
execution_delay_fixed_original_h5_deadline,V3,5,1,156,156,34,33,0.9393939393939394,1.0303030303030303,2,,0.391025641025641,0.38235294117647056,0.9778206364513018,4.028131880348759,35.33414187207419
execution_delay_fixed_original_h5_deadline,selected,5,2,156,156,40,33,0.8787878787878788,1.2121212121212122,4,,0.42948717948717946,0.475,1.1059701492537313,13.716040872855576,39.717414816709564
execution_delay_fixed_original_h5_deadline,V3,5,2,156,156,34,33,0.9393939393939394,1.0303030303030303,2,,0.42948717948717946,0.4411764705882353,1.0272168568920106,5.430025458243058,31.431399402097046
