checkpoint,mode,rows,maximum_raw_difference
tabm_periodic_kzt_120m_s0_2025-01-01,normal,242,0.0
tabm_periodic_kzt_120m_s0_2025-01-01,oxr_delayed,242,0.0
tabm_periodic_kzt_120m_s0_2025-01-01,bank_delayed,242,0.0
tabm_periodic_kzt_120m_s0_2025-01-01,both_delayed,242,0.0
tabm_periodic_kzt_120m_s0_2026-01-01,normal,156,0.0
tabm_periodic_kzt_120m_s0_2026-01-01,oxr_delayed,156,0.0
tabm_periodic_kzt_120m_s0_2026-01-01,bank_delayed,156,0.0
tabm_periodic_kzt_120m_s0_2026-01-01,both_delayed,156,0.0
tabm_periodic_kzt_120m_s0_allaug_2025-01-01,normal,242,0.0
tabm_periodic_kzt_120m_s0_allaug_2025-01-01,oxr_delayed,242,0.0
tabm_periodic_kzt_120m_s0_allaug_2025-01-01,bank_delayed,242,0.0
tabm_periodic_kzt_120m_s0_allaug_2025-01-01,both_delayed,242,0.0
tabm_periodic_kzt_120m_s0_allaug_2026-01-01,normal,156,0.0
tabm_periodic_kzt_120m_s0_allaug_2026-01-01,oxr_delayed,156,0.0
tabm_periodic_kzt_120m_s0_allaug_2026-01-01,bank_delayed,156,0.0
tabm_periodic_kzt_120m_s0_allaug_2026-01-01,both_delayed,156,0.0
tabm_periodic_kzt_120m_s0_bankaug_2025-01-01,normal,242,0.0
tabm_periodic_kzt_120m_s0_bankaug_2025-01-01,oxr_delayed,242,0.0
tabm_periodic_kzt_120m_s0_bankaug_2025-01-01,bank_delayed,242,0.0
tabm_periodic_kzt_120m_s0_bankaug_2025-01-01,both_delayed,242,0.0
tabm_periodic_kzt_120m_s0_bankaug_2026-01-01,normal,156,0.0
tabm_periodic_kzt_120m_s0_bankaug_2026-01-01,oxr_delayed,156,0.0
tabm_periodic_kzt_120m_s0_bankaug_2026-01-01,bank_delayed,156,0.0
tabm_periodic_kzt_120m_s0_bankaug_2026-01-01,both_delayed,156,0.0
tabm_periodic_kzt_120m_s0_noage_2025-01-01,normal,242,0.0
tabm_periodic_kzt_120m_s0_noage_2025-01-01,oxr_delayed,242,0.0
tabm_periodic_kzt_120m_s0_noage_2025-01-01,bank_delayed,242,0.0
tabm_periodic_kzt_120m_s0_noage_2025-01-01,both_delayed,242,0.0
tabm_periodic_kzt_120m_s0_noage_2026-01-01,normal,156,0.0
tabm_periodic_kzt_120m_s0_noage_2026-01-01,oxr_delayed,156,0.0
tabm_periodic_kzt_120m_s0_noage_2026-01-01,bank_delayed,156,0.0
tabm_periodic_kzt_120m_s0_noage_2026-01-01,both_delayed,156,0.0
tabm_periodic_kzt_120m_s1_2025-01-01,normal,242,0.0
tabm_periodic_kzt_120m_s1_2025-01-01,oxr_delayed,242,0.0
tabm_periodic_kzt_120m_s1_2025-01-01,bank_delayed,242,0.0
tabm_periodic_kzt_120m_s1_2025-01-01,both_delayed,242,0.0
tabm_periodic_kzt_120m_s1_2026-01-01,normal,156,0.0
tabm_periodic_kzt_120m_s1_2026-01-01,oxr_delayed,156,0.0
tabm_periodic_kzt_120m_s1_2026-01-01,bank_delayed,156,0.0
tabm_periodic_kzt_120m_s1_2026-01-01,both_delayed,156,0.0
tabm_periodic_kzt_120m_s2_2025-01-01,normal,242,0.0
tabm_periodic_kzt_120m_s2_2025-01-01,oxr_delayed,242,0.0
tabm_periodic_kzt_120m_s2_2025-01-01,bank_delayed,242,0.0
tabm_periodic_kzt_120m_s2_2025-01-01,both_delayed,242,0.0
tabm_periodic_kzt_120m_s2_2026-01-01,normal,156,0.0
tabm_periodic_kzt_120m_s2_2026-01-01,oxr_delayed,156,0.0
tabm_periodic_kzt_120m_s2_2026-01-01,bank_delayed,156,0.0
tabm_periodic_kzt_120m_s2_2026-01-01,both_delayed,156,0.0
tabm_periodic_pooled_120m_s0_2025-01-01,normal,1210,0.0
tabm_periodic_pooled_120m_s0_2025-01-01,oxr_delayed,1210,0.0
tabm_periodic_pooled_120m_s0_2025-01-01,bank_delayed,1210,0.0
tabm_periodic_pooled_120m_s0_2025-01-01,both_delayed,1210,0.0
tabm_periodic_pooled_120m_s0_2026-01-01,normal,780,0.0
tabm_periodic_pooled_120m_s0_2026-01-01,oxr_delayed,780,0.0
tabm_periodic_pooled_120m_s0_2026-01-01,bank_delayed,780,0.0
tabm_periodic_pooled_120m_s0_2026-01-01,both_delayed,780,0.0
tabm_periodic_pooled_24m_s0_2025-01-01,normal,1210,0.0
tabm_periodic_pooled_24m_s0_2025-01-01,oxr_delayed,1210,0.0
tabm_periodic_pooled_24m_s0_2025-01-01,bank_delayed,1210,0.0
tabm_periodic_pooled_24m_s0_2025-01-01,both_delayed,1210,0.0
tabm_periodic_pooled_24m_s0_2026-01-01,normal,780,0.0
tabm_periodic_pooled_24m_s0_2026-01-01,oxr_delayed,780,0.0
tabm_periodic_pooled_24m_s0_2026-01-01,bank_delayed,780,0.0
tabm_periodic_pooled_24m_s0_2026-01-01,both_delayed,780,0.0
tabm_periodic_pooled_60m_s0_2025-01-01,normal,1210,0.0
tabm_periodic_pooled_60m_s0_2025-01-01,oxr_delayed,1210,0.0
tabm_periodic_pooled_60m_s0_2025-01-01,bank_delayed,1210,0.0
tabm_periodic_pooled_60m_s0_2025-01-01,both_delayed,1210,0.0
tabm_periodic_pooled_60m_s0_2026-01-01,normal,780,0.0
tabm_periodic_pooled_60m_s0_2026-01-01,oxr_delayed,780,0.0
tabm_periodic_pooled_60m_s0_2026-01-01,bank_delayed,780,0.0
tabm_periodic_pooled_60m_s0_2026-01-01,both_delayed,780,0.0
