year,split,rows,maximum_raw_error
2024,validation,244,2.2976684554976146e-08
2024,history,247,2.2976684554976146e-08
2024,test,245,1.4695739736225732e-08
2024,warmup,63,2.5803375214294988e-08
2025,validation,245,2.967376711016101e-08
2025,history,248,2.967376711016101e-08
2025,test,244,2.794342035539188e-08
2025,warmup,63,2.576065061266064e-08
2026,validation,244,2.9391479472451465e-08
2026,history,247,2.9391479472451465e-08
2026,test,158,2.9708862259170132e-08
2026,warmup,63,2.8189086953567255e-08
