date,date_at,value,currency
2020-09-14,2020-09-13T18:00:00.000000Z,509.53,EUR
2020-09-14,2020-09-13T18:00:00.000000Z,510.76,EUR
2021-10-01,2021-09-30T18:00:00.000000Z,496.63,EUR
2021-10-01,2021-09-30T18:00:00.000000Z,497.15,EUR
2021-10-01,2021-09-30T18:00:00.000000Z,497.15,EUR
2021-10-08,2021-10-07T18:00:00.000000Z,494.37,EUR
2021-10-08,2021-10-07T18:00:00.000000Z,493.84,EUR
2021-10-08,2021-10-07T18:00:00.000000Z,493.84,EUR
2021-10-15,2021-10-14T18:00:00.000000Z,496.98,EUR
2021-10-15,2021-10-14T18:00:00.000000Z,497.24,EUR
2021-10-15,2021-10-14T18:00:00.000000Z,497.24,EUR
2021-10-22,2021-10-21T18:00:00.000000Z,498.29,EUR
2021-10-22,2021-10-21T18:00:00.000000Z,497.43,EUR
2021-10-22,2021-10-21T18:00:00.000000Z,497.43,EUR
2021-10-29,2021-10-28T18:00:00.000000Z,500.49,EUR
2021-10-29,2021-10-28T18:00:00.000000Z,500.51,EUR
2021-10-29,2021-10-28T18:00:00.000000Z,500.51,EUR
2022-03-05,2022-03-04T18:00:00.000000Z,566.24,EUR
2022-03-05,2022-03-04T18:00:00.000000Z,561.87,EUR
2022-03-11,2022-03-10T18:00:00.000000Z,573.17,EUR
2022-03-11,2022-03-10T18:00:00.000000Z,573.68,EUR
2022-03-11,2022-03-10T18:00:00.000000Z,573.68,EUR
2022-12-15,2022-12-14T18:00:00.000000Z,496.23,EUR
2022-12-15,2022-12-14T18:00:00.000000Z,497.72,EUR
2022-12-15,2022-12-14T18:00:00.000000Z,497.72,EUR
2022-12-15,2022-12-14T18:00:00.000000Z,497.72,EUR
2023-06-24,2023-06-23T18:00:00.000000Z,495.01,EUR
2023-06-24,2023-06-23T18:00:00.000000Z,498.27,EUR
2023-08-22,2023-08-21T18:00:00.000000Z,497.21,EUR
2023-08-22,2023-08-21T18:00:00.000000Z,497.21,EUR
2023-08-22,2023-08-21T18:00:00.000000Z,497.21,EUR
2023-08-22,2023-08-21T18:00:00.000000Z,496.25,EUR
2023-08-22,2023-08-21T18:00:00.000000Z,496.25,EUR
2023-08-22,2023-08-21T18:00:00.000000Z,496.25,EUR
2023-12-22,2023-12-21T18:00:00.000000Z,505.98,EUR
2023-12-22,2023-12-21T18:00:00.000000Z,507.21,EUR
2023-12-22,2023-12-21T18:00:00.000000Z,507.21,EUR
2023-12-29,2023-12-28T18:00:00.000000Z,506.57,EUR
2023-12-29,2023-12-28T18:00:00.000000Z,506.47,EUR
2023-12-29,2023-12-28T18:00:00.000000Z,506.47,EUR
2023-12-29,2023-12-28T18:00:00.000000Z,506.47,EUR
2023-12-29,2023-12-28T18:00:00.000000Z,506.47,EUR
2024-02-02,2024-02-01T18:00:00.000000Z,492.34,EUR
2024-02-02,2024-02-01T18:00:00.000000Z,492.16,EUR
2024-02-02,2024-02-01T18:00:00.000000Z,492.16,EUR
2024-03-15,2024-03-14T19:00:00.000000Z,492.19,EUR
2024-03-15,2024-03-14T19:00:00.000000Z,491.92,EUR
2024-03-15,2024-03-14T19:00:00.000000Z,491.92,EUR
2024-08-29,2024-08-28T19:00:00.000000Z,534.78,EUR
2024-08-29,2024-08-28T19:00:00.000000Z,535.01,EUR
