date,date_at,value,currency
2020-09-14,2020-09-13T18:00:00.000000Z,5.81,RUB
2020-09-14,2020-09-13T18:00:00.000000Z,5.77,RUB
2021-10-01,2021-09-30T18:00:00.000000Z,5.94,RUB
2021-10-01,2021-09-30T18:00:00.000000Z,5.93,RUB
2021-10-01,2021-09-30T18:00:00.000000Z,5.93,RUB
2021-10-08,2021-10-07T18:00:00.000000Z,6.01,RUB
2021-10-08,2021-10-07T18:00:00.000000Z,6.0,RUB
2021-10-08,2021-10-07T18:00:00.000000Z,6.0,RUB
2021-10-15,2021-10-14T18:00:00.000000Z,6.09,RUB
2021-10-15,2021-10-14T18:00:00.000000Z,6.08,RUB
2021-10-15,2021-10-14T18:00:00.000000Z,6.08,RUB
2021-10-22,2021-10-21T18:00:00.000000Z,6.13,RUB
2021-10-22,2021-10-21T18:00:00.000000Z,6.16,RUB
2021-10-22,2021-10-21T18:00:00.000000Z,6.16,RUB
2022-03-05,2022-03-04T18:00:00.000000Z,5.35,RUB
2022-03-05,2022-03-04T18:00:00.000000Z,5.36,RUB
2022-12-15,2022-12-14T18:00:00.000000Z,7.31,RUB
2022-12-15,2022-12-14T18:00:00.000000Z,7.32,RUB
2022-12-15,2022-12-14T18:00:00.000000Z,7.32,RUB
2022-12-15,2022-12-14T18:00:00.000000Z,7.32,RUB
2023-06-24,2023-06-23T18:00:00.000000Z,5.83,RUB
2023-06-24,2023-06-23T18:00:00.000000Z,5.58,RUB
2023-08-22,2023-08-21T18:00:00.000000Z,5.09,RUB
2023-08-22,2023-08-21T18:00:00.000000Z,5.09,RUB
2023-08-22,2023-08-21T18:00:00.000000Z,5.09,RUB
2023-08-22,2023-08-21T18:00:00.000000Z,5.07,RUB
2023-08-22,2023-08-21T18:00:00.000000Z,5.07,RUB
2023-08-22,2023-08-21T18:00:00.000000Z,5.07,RUB
2023-12-29,2023-12-28T18:00:00.000000Z,5.22,RUB
2023-12-29,2023-12-28T18:00:00.000000Z,5.2,RUB
2023-12-29,2023-12-28T18:00:00.000000Z,5.2,RUB
2023-12-29,2023-12-28T18:00:00.000000Z,5.2,RUB
2023-12-29,2023-12-28T18:00:00.000000Z,5.2,RUB
2024-03-15,2024-03-14T19:00:00.000000Z,4.98,RUB
2024-03-15,2024-03-14T19:00:00.000000Z,4.95,RUB
2024-03-15,2024-03-14T19:00:00.000000Z,4.95,RUB
2024-11-15,2024-11-14T19:00:00.000000Z,5.29,RUB
2024-11-15,2024-11-14T19:00:00.000000Z,5.3,RUB
2024-11-15,2024-11-14T19:00:00.000000Z,5.3,RUB
2024-11-29,2024-11-28T19:00:00.000000Z,5.11,RUB
2024-11-29,2024-11-28T19:00:00.000000Z,5.15,RUB
2024-11-29,2024-11-28T19:00:00.000000Z,5.15,RUB
2025-02-14,2025-02-13T19:00:00.000000Z,5.8,RUB
2025-02-14,2025-02-13T19:00:00.000000Z,5.75,RUB
2025-02-14,2025-02-13T19:00:00.000000Z,5.75,RUB
2025-02-21,2025-02-20T19:00:00.000000Z,6.02,RUB
2025-02-21,2025-02-20T19:00:00.000000Z,5.96,RUB
2025-02-21,2025-02-20T19:00:00.000000Z,5.96,RUB
2025-03-07,2025-03-06T19:00:00.000000Z,5.81,RUB
2025-03-07,2025-03-06T19:00:00.000000Z,5.83,RUB
2025-03-07,2025-03-06T19:00:00.000000Z,5.83,RUB
2025-03-07,2025-03-06T19:00:00.000000Z,5.83,RUB
2025-03-14,2025-03-13T19:00:00.000000Z,6.17,RUB
2025-03-14,2025-03-13T19:00:00.000000Z,6.16,RUB
2025-03-14,2025-03-13T19:00:00.000000Z,6.16,RUB
2025-03-20,2025-03-19T19:00:00.000000Z,6.29,RUB
2025-03-20,2025-03-19T19:00:00.000000Z,6.32,RUB
2025-03-20,2025-03-19T19:00:00.000000Z,6.32,RUB
2025-03-20,2025-03-19T19:00:00.000000Z,6.32,RUB
2025-03-28,2025-03-27T19:00:00.000000Z,6.41,RUB
2025-03-28,2025-03-27T19:00:00.000000Z,6.36,RUB
2025-03-28,2025-03-27T19:00:00.000000Z,6.36,RUB
