date,date_at,value,currency
2020-09-14,2020-09-13T18:00:00.000000Z,430.15,USD
2020-09-14,2020-09-13T18:00:00.000000Z,430.25,USD
2021-10-01,2021-09-30T18:00:00.000000Z,428.1,USD
2021-10-01,2021-09-30T18:00:00.000000Z,428.0,USD
2021-10-01,2021-09-30T18:00:00.000000Z,428.0,USD
2021-10-08,2021-10-07T18:00:00.000000Z,426.7,USD
2021-10-08,2021-10-07T18:00:00.000000Z,426.5,USD
2021-10-08,2021-10-07T18:00:00.000000Z,426.5,USD
2021-10-15,2021-10-14T18:00:00.000000Z,427.3,USD
2021-10-15,2021-10-14T18:00:00.000000Z,427.6,USD
2021-10-15,2021-10-14T18:00:00.000000Z,427.6,USD
2021-10-22,2021-10-21T18:00:00.000000Z,427.4,USD
2021-10-22,2021-10-21T18:00:00.000000Z,426.7,USD
2021-10-22,2021-10-21T18:00:00.000000Z,426.7,USD
2021-10-29,2021-10-28T18:00:00.000000Z,428.85,USD
2021-10-29,2021-10-28T18:00:00.000000Z,428.9,USD
2021-10-29,2021-10-28T18:00:00.000000Z,428.9,USD
2022-03-05,2022-03-04T18:00:00.000000Z,520.0,USD
2022-03-05,2022-03-04T18:00:00.000000Z,516.0,USD
2022-12-15,2022-12-14T18:00:00.000000Z,470.0,USD
2022-12-15,2022-12-14T18:00:00.000000Z,472.0,USD
2022-12-15,2022-12-14T18:00:00.000000Z,472.0,USD
2022-12-15,2022-12-14T18:00:00.000000Z,472.0,USD
2023-06-24,2023-06-23T18:00:00.000000Z,454.0,USD
2023-06-24,2023-06-23T18:00:00.000000Z,458.0,USD
2023-12-29,2023-12-28T18:00:00.000000Z,459.7,USD
2023-12-29,2023-12-28T18:00:00.000000Z,458.7,USD
2023-12-29,2023-12-28T18:00:00.000000Z,458.7,USD
2023-12-29,2023-12-28T18:00:00.000000Z,458.7,USD
2023-12-29,2023-12-28T18:00:00.000000Z,458.7,USD
2024-08-29,2024-08-28T19:00:00.000000Z,482.4,USD
2024-08-29,2024-08-28T19:00:00.000000Z,482.7,USD
2024-08-29,2024-08-28T19:00:00.000000Z,482.7,USD
2024-08-29,2024-08-28T19:00:00.000000Z,482.7,USD
2024-10-11,2024-10-10T19:00:00.000000Z,487.0,USD
2024-10-11,2024-10-10T19:00:00.000000Z,486.5,USD
2024-10-11,2024-10-10T19:00:00.000000Z,486.5,USD
2024-10-18,2024-10-17T19:00:00.000000Z,485.1,USD
2024-10-18,2024-10-17T19:00:00.000000Z,485.3,USD
2024-10-18,2024-10-17T19:00:00.000000Z,485.3,USD
2025-01-17,2025-01-16T19:00:00.000000Z,533.5,USD
2025-01-17,2025-01-16T19:00:00.000000Z,533.55,USD
2025-01-17,2025-01-16T19:00:00.000000Z,533.55,USD
2025-02-14,2025-02-13T19:00:00.000000Z,501.1,USD
2025-02-14,2025-02-13T19:00:00.000000Z,500.35,USD
2025-02-14,2025-02-13T19:00:00.000000Z,500.35,USD
2025-03-07,2025-03-06T19:00:00.000000Z,493.7,USD
2025-03-07,2025-03-06T19:00:00.000000Z,494.5,USD
2025-03-07,2025-03-06T19:00:00.000000Z,494.5,USD
2025-03-07,2025-03-06T19:00:00.000000Z,494.5,USD
2025-03-14,2025-03-13T19:00:00.000000Z,505.0,USD
2025-03-14,2025-03-13T19:00:00.000000Z,503.5,USD
2025-03-14,2025-03-13T19:00:00.000000Z,503.5,USD
2025-03-20,2025-03-19T19:00:00.000000Z,506.0,USD
2025-03-20,2025-03-19T19:00:00.000000Z,506.3,USD
2025-03-20,2025-03-19T19:00:00.000000Z,506.3,USD
2025-03-20,2025-03-19T19:00:00.000000Z,506.3,USD
2025-04-11,2025-04-10T19:00:00.000000Z,520.5,USD
2025-04-11,2025-04-10T19:00:00.000000Z,521.1,USD
2025-04-11,2025-04-10T19:00:00.000000Z,521.1,USD
2025-04-30,2025-04-29T19:00:00.000000Z,516.1,USD
2025-04-30,2025-04-29T19:00:00.000000Z,516.5,USD
2025-05-06,2025-05-05T19:00:00.000000Z,517.0,USD
2025-05-06,2025-05-05T19:00:00.000000Z,517.25,USD
2025-05-08,2025-05-07T19:00:00.000000Z,519.0,USD
2025-05-08,2025-05-07T19:00:00.000000Z,519.1,USD
2025-05-08,2025-05-07T19:00:00.000000Z,519.1,USD
2025-05-08,2025-05-07T19:00:00.000000Z,519.1,USD
2025-05-30,2025-05-29T19:00:00.000000Z,513.7,USD
2025-05-30,2025-05-29T19:00:00.000000Z,513.45,USD
2025-05-30,2025-05-29T19:00:00.000000Z,513.45,USD
2025-07-11,2025-07-10T19:00:00.000000Z,525.3,USD
2025-07-11,2025-07-10T19:00:00.000000Z,525.8,USD
2025-07-11,2025-07-10T19:00:00.000000Z,525.8,USD
2025-08-01,2025-07-31T19:00:00.000000Z,544.95,USD
2025-08-01,2025-07-31T19:00:00.000000Z,544.8,USD
2025-08-01,2025-07-31T19:00:00.000000Z,544.8,USD
2025-08-29,2025-08-28T19:00:00.000000Z,540.85,USD
2025-08-29,2025-08-28T19:00:00.000000Z,541.15,USD
2025-08-29,2025-08-28T19:00:00.000000Z,541.15,USD
2025-08-29,2025-08-28T19:00:00.000000Z,541.15,USD
2025-09-26,2025-09-25T19:00:00.000000Z,546.8,USD
2025-09-26,2025-09-25T19:00:00.000000Z,548.1,USD
2025-09-26,2025-09-25T19:00:00.000000Z,548.1,USD
2025-10-10,2025-10-09T19:00:00.000000Z,540.8,USD
2025-10-10,2025-10-09T19:00:00.000000Z,540.7,USD
2025-10-24,2025-10-23T19:00:00.000000Z,540.3,USD
2025-10-24,2025-10-23T19:00:00.000000Z,539.95,USD
