date,average,xls_1700,difference,volume,deals,num_sess,completeness
2020-01-05,382.14,382.14,0.0,72595000,265,3.0,3
2020-01-06,381.0,381.0,0.0,125120000,433,3.0,3
2020-01-08,378.19,378.19,0.0,157680000,418,3.0,3
2020-01-09,376.5,376.5,0.0,184265000,464,3.0,3
2020-01-10,377.56,377.56,0.0,125610000,407,3.0,3
2020-01-13,378.12,378.12,0.0,92560000,294,3.0,3
2020-01-14,379.42,379.42,0.0,98945000,292,3.0,3
2020-01-15,379.67,379.67,0.0,107945000,301,3.0,3
2020-01-16,377.71,377.71,0.0,145730000,374,3.0,3
2020-01-17,376.53,376.53,0.0,119345000,286,3.0,3
2020-01-20,376.09,376.09,0.0,74300000,184,3.0,3
2020-01-21,376.57,376.57,0.0,68420000,206,3.0,3
2020-01-22,377.3,377.3,0.0,107640000,290,3.0,3
2020-01-23,377.85,377.85,0.0,109730000,306,3.0,3
2020-01-24,378.57,378.57,0.0,119680000,410,3.0,3
2020-01-27,380.34,380.34,0.0,159261000,538,3.0,3
2020-01-28,380.84,380.84,0.0,158900000,403,3.0,3
2020-01-29,378.8,378.8,0.0,120053000,310,3.0,3
2020-01-30,378.85,378.85,0.0,102340000,231,3.0,3
2020-01-31,379.05,379.05,0.0,120780000,367,3.0,3
2020-02-03,380.69,380.69,0.0,122562000,437,3.0,3
2020-02-04,379.53,379.53,0.0,111355000,259,3.0,3
2020-02-05,378.43,378.43,0.0,62000000,156,3.0,3
2020-02-06,377.5,377.5,0.0,124420000,263,3.0,3
2020-02-07,378.46,378.46,0.0,115502000,341,3.0,3
2020-02-10,379.0,379.0,0.0,89310000,210,3.0,3
2020-02-11,378.08,378.08,0.0,76250000,183,3.0,3
2020-02-12,376.26,376.26,0.0,89940000,229,3.0,3
2020-02-13,376.46,376.46,0.0,115170000,395,3.0,3
2020-02-14,377.17,377.17,0.0,142005000,335,3.0,3
2020-02-17,376.78,376.78,0.0,66800000,250,3.0,3
2020-02-18,376.91,376.91,0.0,106345000,280,3.0,3
2020-02-19,377.07,377.07,0.0,118450000,294,3.0,3
2020-02-20,376.14,376.14,0.0,98410000,277,3.0,3
2020-02-21,375.94,375.94,0.0,113580000,285,3.0,3
2020-02-24,376.49,376.49,0.0,86449000,239,3.0,3
2020-02-25,376.86,376.86,0.0,75610000,208,3.0,3
2020-02-26,378.4,378.4,0.0,90770000,246,3.0,3
2020-02-27,379.75,379.75,0.0,94880000,376,3.0,3
2020-02-28,381.19,381.19,0.0,197900000,674,3.0,3
2020-03-02,381.27,381.27,0.0,97290000,293,3.0,3
