task,scope,arm_a,arm_b,metric,dates,calendar_months,delta,ci_low,ci_high,interpretation
future_mean,development,bank_cbr_oxr,bank_cbr,brier,708,36,0.010592004347516235,0.004320709623999446,0.01788829321884973,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,development,bank_cbr_oxr,bank_cbr,mae_change_bps,708,36,4.426243638382091,-0.601599365222272,9.728362021662585,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,development,bank_cbr,persistence,brier,708,36,0.004861873196175745,-0.004764249466973122,0.01695544648583155,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,development,bank_cbr,persistence,mae_change_bps,708,36,37.946555499441416,21.543761799783802,54.3372288212113,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,development,bank_history,persistence,brier,708,36,0.004612540824202105,-0.0039400533429528525,0.013809134655853079,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,development,bank_history,persistence,mae_change_bps,708,36,49.387598701358144,26.764551286034774,71.13782632254706,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,development,cbr_history,persistence,brier,708,36,0.0010579050097121595,-0.004004781716654984,0.006608894130573452,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,development,cbr_history,persistence,mae_change_bps,708,36,14.945327964064269,7.4119252898157315,23.155616965739906,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,development,bank_cbr_oxr,persistence,brier,708,36,0.015453877543691976,0.0016083131811638887,0.03400308047660695,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,development,bank_cbr_oxr,persistence,mae_change_bps,708,36,42.3727991378235,25.87058681702446,59.40269040297664,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-01-01,bank_cbr_oxr,bank_cbr,brier,118,6,0.017830041456665183,0.002805620114976423,0.03534826378430578,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-01-01,bank_cbr_oxr,bank_cbr,mae_change_bps,118,6,1.527794975302226,-1.7505363710452437,4.274496621123009,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-01-01,bank_cbr,persistence,brier,118,6,0.006566598270122654,-0.0003762532052541551,0.015959472288417462,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-01-01,bank_cbr,persistence,mae_change_bps,118,6,9.084965266917841,-15.29462320741015,34.36656079929954,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-01-01,bank_history,persistence,brier,118,6,-0.0002627042383886717,-0.002425916524028303,0.0016769932696325226,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-01-01,bank_history,persistence,mae_change_bps,118,6,5.340438235633759,-14.803490387222196,19.284284300158827,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-01-01,cbr_history,persistence,brier,118,6,-0.0023592177492743984,-0.013536881684852255,0.007190191948351128,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-01-01,cbr_history,persistence,mae_change_bps,118,6,-1.8557401569103482,-11.064170484802988,7.767307410527531,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-01-01,bank_cbr_oxr,persistence,brier,118,6,0.024396639726787833,0.003894837396833062,0.05040445972442963,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-01-01,bank_cbr_oxr,persistence,mae_change_bps,118,6,10.61276024222007,-14.690955482863659,37.56995827662527,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-03-01,bank_cbr_oxr,bank_cbr,brier,118,6,0.006177098693400799,0.00034301836535983836,0.013708716011809919,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
future_mean,common_march5_2026-03-01,bank_cbr_oxr,bank_cbr,mae_change_bps,118,6,3.526126500105888,-1.6540354841782015,8.266624457542774,"negative favors A; paired calendar-month blocks,2500 replicates,frozen fits,no accumulated-search correction"
