date,pair,base,quote,source_quote,quote_per_rub,rub_per_quote,rub_per_usd,quote_per_usd,published_at_utc,source
2016-06-25,RUB/BYN,RUB,BYN,BYR,0.0307391890431954,32.531762584718045,65.136071,2.00223,2016-06-25T23:00:24+00:00,openexchangerates.org
2016-06-26,RUB/BYN,RUB,BYN,BYR,0.0305628107344466,32.71950373572553,65.470091,2.00095,2016-06-26T23:00:20+00:00,openexchangerates.org
2016-06-27,RUB/BYN,RUB,BYN,BYR,0.0305863569812156,32.69431533196782,65.444211,2.0017,2016-06-27T23:00:20+00:00,openexchangerates.org
2016-06-28,RUB/BYN,RUB,BYN,BYR,0.0311940671587383,32.05737792738807,64.32938,2.006695,2016-06-28T23:00:21+00:00,openexchangerates.org
2016-06-29,RUB/BYN,RUB,BYN,BYR,0.0313932771521639,31.853953798865145,63.94076,2.00731,2016-06-29T23:00:18+00:00,openexchangerates.org
2016-06-30,RUB/BYN,RUB,BYN,BYN,0.0313481544559104,31.89980454531856,63.97761,2.00558,2016-06-30T23:00:18+00:00,openexchangerates.org
2016-07-01,RUB/BYN,RUB,BYN,BYN,0.0315415554636695,31.704206888332735,63.8472,2.01384,2016-07-01T23:00:18+00:00,openexchangerates.org
2016-07-02,RUB/BYN,RUB,BYN,BYN,0.0313832702143039,31.86411081991764,63.83178,2.00325,2016-07-02T23:00:18+00:00,openexchangerates.org
2016-07-03,RUB/BYN,RUB,BYN,BYN,0.0313694902365838,31.878108074379135,63.85982,2.00325,2016-07-03T23:00:20+00:00,openexchangerates.org
2016-07-04,RUB/BYN,RUB,BYN,BYN,0.0313591190110853,31.88865094221889,63.88094,2.00325,2016-07-04T23:00:22+00:00,openexchangerates.org
2016-07-05,RUB/BYN,RUB,BYN,BYN,0.0311820846957254,32.069696742792964,64.24362,2.00325,2016-07-05T23:00:27+00:00,openexchangerates.org
