checkpoint,stage,rows,input_changed_rows,bin_changed_rows,probability_changed_rows,maximum_probability_difference
fusion_2010_120m_2023-01-01.pkl,train,3660,3658,34,0,0.0
fusion_2010_120m_2023-01-01.pkl,calibration,242,241,0,0,0.0
fusion_2010_120m_2023-01-01.pkl,test,242,242,0,0,0.0
fusion_2010_120m_2024-01-01.pkl,train,4895,4791,50,0,0.0
fusion_2010_120m_2024-01-01.pkl,calibration,242,242,0,0,0.0
fusion_2010_120m_2024-01-01.pkl,test,243,243,0,0,0.0
fusion_2010_120m_2025-01-01.pkl,train,6130,6026,60,0,0.0
fusion_2010_120m_2025-01-01.pkl,calibration,243,243,0,0,0.0
fusion_2010_120m_2025-01-01.pkl,test,242,242,0,0,0.0
fusion_2010_120m_2026-01-01.pkl,train,7370,7266,81,0,0.0
fusion_2010_120m_2026-01-01.pkl,calibration,242,242,0,0,0.0
fusion_2010_120m_2026-01-01.pkl,test,156,156,0,0,0.0
fusion_2010_120m_2026-03-01.pkl,train,7550,7444,81,1,0.016153445611465117
fusion_2010_120m_2026-03-01.pkl,calibration,240,240,0,0,0.0
fusion_2010_120m_2026-03-01.pkl,test,122,122,0,0,0.0
fusion_2010_180m_2023-01-01.pkl,train,3660,3658,31,2,0.0034687287209762274
fusion_2010_180m_2023-01-01.pkl,calibration,242,241,0,0,0.0
fusion_2010_180m_2023-01-01.pkl,test,242,242,0,0,0.0
fusion_2010_180m_2024-01-01.pkl,train,4895,4791,34,0,0.0
fusion_2010_180m_2024-01-01.pkl,calibration,242,242,0,0,0.0
fusion_2010_180m_2024-01-01.pkl,test,243,243,0,0,0.0
fusion_2010_180m_2025-01-01.pkl,train,6130,6026,37,1,0.014579909555953396
fusion_2010_180m_2025-01-01.pkl,calibration,243,243,0,0,0.0
fusion_2010_180m_2025-01-01.pkl,test,242,242,0,0,0.0
fusion_2010_180m_2026-01-01.pkl,train,7370,7266,46,3,0.042863227856749786
fusion_2010_180m_2026-01-01.pkl,calibration,242,242,0,0,0.0
fusion_2010_180m_2026-01-01.pkl,test,156,156,0,0,0.0
fusion_2010_180m_2026-03-01.pkl,train,7550,7444,50,1,0.0036805357718218967
fusion_2010_180m_2026-03-01.pkl,calibration,240,240,0,0,0.0
fusion_2010_180m_2026-03-01.pkl,test,122,122,0,0,0.0
fusion_2018_120m_2023-01-01.pkl,train,3660,3658,39,0,0.0
fusion_2018_120m_2023-01-01.pkl,calibration,242,241,0,0,0.0
fusion_2018_120m_2023-01-01.pkl,test,242,242,0,0,0.0
fusion_2018_120m_2024-01-01.pkl,train,4895,4791,53,0,0.0
fusion_2018_120m_2024-01-01.pkl,calibration,242,242,0,0,0.0
fusion_2018_120m_2024-01-01.pkl,test,243,243,0,0,0.0
fusion_2018_120m_2025-01-01.pkl,train,6130,6026,63,0,0.0
fusion_2018_120m_2025-01-01.pkl,calibration,243,243,0,0,0.0
fusion_2018_120m_2025-01-01.pkl,test,242,242,0,0,0.0
fusion_2018_120m_2026-01-01.pkl,train,7370,7266,63,0,0.0
fusion_2018_120m_2026-01-01.pkl,calibration,242,242,0,0,0.0
fusion_2018_120m_2026-01-01.pkl,test,156,156,0,0,0.0
fusion_2018_120m_2026-03-01.pkl,train,7550,7444,75,0,0.0
fusion_2018_120m_2026-03-01.pkl,calibration,240,240,0,0,0.0
fusion_2018_120m_2026-03-01.pkl,test,122,122,0,0,0.0
fusion_premium_2010_120m_2023-01-01.pkl,train,3660,3658,34,0,0.0
fusion_premium_2010_120m_2023-01-01.pkl,calibration,242,241,0,0,0.0
fusion_premium_2010_120m_2023-01-01.pkl,test,242,242,0,0,0.0
fusion_premium_2010_120m_2024-01-01.pkl,train,4895,4791,50,0,0.0
fusion_premium_2010_120m_2024-01-01.pkl,calibration,242,242,0,0,0.0
fusion_premium_2010_120m_2024-01-01.pkl,test,243,243,0,0,0.0
fusion_premium_2010_120m_2025-01-01.pkl,train,6130,6026,60,0,0.0
fusion_premium_2010_120m_2025-01-01.pkl,calibration,243,243,0,0,0.0
fusion_premium_2010_120m_2025-01-01.pkl,test,242,242,0,0,0.0
fusion_premium_2010_120m_2026-01-01.pkl,train,7370,7266,81,0,0.0
fusion_premium_2010_120m_2026-01-01.pkl,calibration,242,242,0,0,0.0
fusion_premium_2010_120m_2026-01-01.pkl,test,156,156,0,0,0.0
fusion_premium_2010_120m_2026-03-01.pkl,train,7550,7444,81,1,0.007806379976424263
fusion_premium_2010_120m_2026-03-01.pkl,calibration,240,240,0,0,0.0
fusion_premium_2010_120m_2026-03-01.pkl,test,122,122,0,0,0.0
kzt_oxr_2010_120m_2023-01-01.pkl,train,3660,3658,34,0,0.0
kzt_oxr_2010_120m_2023-01-01.pkl,calibration,242,241,0,0,0.0
kzt_oxr_2010_120m_2023-01-01.pkl,test,242,242,0,0,0.0
kzt_oxr_2010_120m_2024-01-01.pkl,train,4895,4790,50,0,0.0
kzt_oxr_2010_120m_2024-01-01.pkl,calibration,242,242,0,0,0.0
kzt_oxr_2010_120m_2024-01-01.pkl,test,243,243,0,0,0.0
kzt_oxr_2010_120m_2025-01-01.pkl,train,6130,6025,60,0,0.0
kzt_oxr_2010_120m_2025-01-01.pkl,calibration,243,243,0,0,0.0
kzt_oxr_2010_120m_2025-01-01.pkl,test,242,242,0,0,0.0
kzt_oxr_2010_120m_2026-01-01.pkl,train,7370,7265,81,0,0.0
kzt_oxr_2010_120m_2026-01-01.pkl,calibration,242,242,0,0,0.0
kzt_oxr_2010_120m_2026-01-01.pkl,test,156,156,0,0,0.0
kzt_oxr_2010_120m_2026-03-01.pkl,train,7550,7443,81,1,0.015557535068859735
kzt_oxr_2010_120m_2026-03-01.pkl,calibration,240,240,0,0,0.0
kzt_oxr_2010_120m_2026-03-01.pkl,test,122,122,0,0,0.0
kzt_oxr_2018_120m_2023-01-01.pkl,train,3660,3658,39,0,0.0
kzt_oxr_2018_120m_2023-01-01.pkl,calibration,242,241,0,0,0.0
kzt_oxr_2018_120m_2023-01-01.pkl,test,242,242,0,0,0.0
kzt_oxr_2018_120m_2024-01-01.pkl,train,4895,4790,53,0,0.0
kzt_oxr_2018_120m_2024-01-01.pkl,calibration,242,242,0,0,0.0
kzt_oxr_2018_120m_2024-01-01.pkl,test,243,243,0,0,0.0
kzt_oxr_2018_120m_2025-01-01.pkl,train,6130,6025,63,0,0.0
kzt_oxr_2018_120m_2025-01-01.pkl,calibration,243,243,0,0,0.0
kzt_oxr_2018_120m_2025-01-01.pkl,test,242,242,0,0,0.0
kzt_oxr_2018_120m_2026-01-01.pkl,train,7370,7265,63,2,0.008384224754120068
kzt_oxr_2018_120m_2026-01-01.pkl,calibration,242,242,0,0,0.0
kzt_oxr_2018_120m_2026-01-01.pkl,test,156,156,0,0,0.0
kzt_oxr_2018_120m_2026-03-01.pkl,train,7550,7443,75,1,0.014537703674075031
kzt_oxr_2018_120m_2026-03-01.pkl,calibration,240,240,0,0,0.0
kzt_oxr_2018_120m_2026-03-01.pkl,test,122,122,0,0,0.0
oxr_basis_2010_120m_2023-01-01.pkl,train,3660,3658,34,0,0.0
oxr_basis_2010_120m_2023-01-01.pkl,calibration,1210,1107,0,0,0.0
oxr_basis_2010_120m_2023-01-01.pkl,test,1210,1210,0,0,0.0
oxr_basis_2010_120m_2024-01-01.pkl,train,4895,4790,50,0,0.0
oxr_basis_2010_120m_2024-01-01.pkl,calibration,1210,1210,0,0,0.0
oxr_basis_2010_120m_2024-01-01.pkl,test,1215,1215,0,0,0.0
oxr_basis_2010_120m_2025-01-01.pkl,train,6130,6025,60,0,0.0
oxr_basis_2010_120m_2025-01-01.pkl,calibration,1215,1215,0,0,0.0
oxr_basis_2010_120m_2025-01-01.pkl,test,1210,1207,0,0,0.0
oxr_basis_2010_120m_2026-01-01.pkl,train,7370,7265,81,0,0.0
oxr_basis_2010_120m_2026-01-01.pkl,calibration,1210,1207,0,0,0.0
oxr_basis_2010_120m_2026-01-01.pkl,test,780,776,0,0,0.0
oxr_basis_2010_120m_2026-03-01.pkl,train,7550,7443,81,1,0.015557535068859735
oxr_basis_2010_120m_2026-03-01.pkl,calibration,1200,1199,0,0,0.0
oxr_basis_2010_120m_2026-03-01.pkl,test,610,606,0,0,0.0
oxr_basis_2010_180m_2023-01-01.pkl,train,3660,3658,31,1,0.006575214511634675
oxr_basis_2010_180m_2023-01-01.pkl,calibration,1210,1107,0,0,0.0
oxr_basis_2010_180m_2023-01-01.pkl,test,1210,1210,0,0,0.0
oxr_basis_2010_180m_2024-01-01.pkl,train,4895,4790,34,0,0.0
oxr_basis_2010_180m_2024-01-01.pkl,calibration,1210,1210,0,0,0.0
oxr_basis_2010_180m_2024-01-01.pkl,test,1215,1215,0,0,0.0
oxr_basis_2010_180m_2025-01-01.pkl,train,6130,6025,37,2,0.025893985651691043
oxr_basis_2010_180m_2025-01-01.pkl,calibration,1215,1215,0,0,0.0
oxr_basis_2010_180m_2025-01-01.pkl,test,1210,1207,0,0,0.0
oxr_basis_2010_180m_2026-01-01.pkl,train,7370,7265,46,1,0.007996241185213637
oxr_basis_2010_180m_2026-01-01.pkl,calibration,1210,1207,0,0,0.0
oxr_basis_2010_180m_2026-01-01.pkl,test,780,776,0,0,0.0
