quote,target,column,unchanged_fraction,longest_constant_days,first,last
AMD,True,rub_per_quote,0.08407224958949097,5,2010-04-01,2010-04-05
AMD,True,quote_per_usd,0.18538587848932678,194,2020-06-17,2020-12-27
AZN,False,rub_per_quote,0.11756978653530378,5,2010-04-01,2010-04-05
AZN,False,quote_per_usd,0.7085385878489326,924,2018-06-25,2021-01-03
BYN,False,rub_per_quote,0.09146141215106732,5,2010-04-01,2010-04-05
BYN,False,quote_per_usd,0.17717569786535303,10,2025-05-01,2025-05-10
KGS,True,rub_per_quote,0.08669950738916256,5,2010-04-01,2010-04-05
KGS,True,quote_per_usd,0.35730706075533664,62,2018-08-01,2018-10-01
KZT,True,rub_per_quote,0.08998357963875206,5,2010-04-01,2010-04-05
KZT,True,quote_per_usd,0.15763546798029557,10,2025-05-01,2025-05-10
MDL,False,rub_per_quote,0.08866995073891626,5,2010-04-01,2010-04-05
MDL,False,quote_per_usd,0.1343185550082102,6,2012-03-28,2012-04-02
TJS,True,rub_per_quote,0.09129720853858785,5,2010-04-01,2010-04-05
TJS,True,quote_per_usd,0.23316912972085385,66,2015-06-07,2015-08-11
TMT,False,rub_per_quote,0.1056768558951965,5,2011-04-21,2011-04-25
TMT,False,quote_per_usd,0.5013100436681223,54,2025-06-26,2025-08-18
UZS,True,rub_per_quote,0.08669950738916256,5,2010-04-01,2010-04-05
UZS,True,quote_per_usd,0.21510673234811165,25,2014-01-10,2014-02-03
