scope,config_id,comparison,delta_brier,delta_brier_ci95_low,delta_brier_ci95_high,repetitions,lift_delta,lift_delta_ci95_low,lift_delta_ci95_high,forward_delta_bps_delta,forward_delta_bps_delta_ci95_low,forward_delta_bps_delta_ci95_high,symmetric_delta_bps_delta,symmetric_delta_bps_delta_ci95_low,symmetric_delta_bps_delta_ci95_high,regret_bps_delta,regret_bps_delta_ci95_low,regret_bps_delta_ci95_high,signals_delta,signals_delta_ci95_low,signals_delta_ci95_high
all,small_basis2010_D2,"March freeze minus January freeze, same March-onward dates",0.00029234545819615404,-0.0015010936572227077,0.0021325109075560336,10000,-0.032851361749356434,-0.14553870080284947,0.1636289677778291,-7.5895534662375574,-14.474704015252893,-0.20506697690475129,-4.6885629142501255,-8.887011626906425,-0.47701545680389046,8.93737899992557,0.649676618016926,17.556844663916564,4.0,-2.0,10.0
all,small_no_oxr,"March freeze minus January freeze, same March-onward dates",-0.0004219114656986467,-0.0017471999998200415,0.0010300304562905877,10000,-0.058119443406226434,-0.16353017521090196,0.03129091667826852,-1.5142646398345008,-4.594085643746823,1.4731267687178047,-1.7491038735166775,-4.568056806672333,0.7948594755990328,1.511729464188889,-1.804641751804951,4.436717372760739,-2.0,-4.0,0.0
all,synth_availability2010_D2,"March freeze minus January freeze, same March-onward dates",-0.0008948086325530774,-0.002476588487982255,0.0007153620356315619,10000,0.01271500357514066,-0.1254127221324013,0.15496308911120238,-0.3468352207142331,-7.390592472337843,5.554269567928259,1.1673262535229068,-1.5096234777084234,3.800457306444235,1.3053169129259032,-4.009825405986433,9.067605875847974,1.0,-3.0,6.0
all,synth_basis2010_D2,"March freeze minus January freeze, same March-onward dates",-0.0009961066568647196,-0.0023200458460190514,0.00027012287956720073,10000,0.027389688842651028,-0.12691697514542555,0.1827590846425492,1.800192459065002,-2.5714432522557864,7.0382433689208455,0.5746077948167247,-2.2263613761968912,4.2780867676427805,-0.7162469753938012,-4.352241791421079,3.21478782569465,-1.0,-6.0,3.0
all,synth_basis2010_D3,"March freeze minus January freeze, same March-onward dates",-0.000145635826818897,-0.0019018816617064334,0.001597124364640166,10000,0.011217126902974828,0.0,0.05916848773894923,0.5505798718139161,0.0,2.499134782888362,1.0952526996794845,0.0,2.570267304444277,0.0712847736223381,-0.8294307331910318,0.48693179497409744,1.0,0.0,3.0
all,synth_basis2018_D2,"March freeze minus January freeze, same March-onward dates",-0.00014712729633960684,-0.0014343492758013413,0.0012079466382359124,10000,0.009968844505275465,-0.024242662451328556,0.07774578362813656,-1.3339182918151913,-4.087087862742463,0.4272124274726501,-2.0720338929454343,-4.620325469579124,-0.06070087346769526,1.9107041781884107,0.08914822367373176,4.449343557981287,1.0,0.0,3.0
all,synth_full2010_D2,"March freeze minus January freeze, same March-onward dates",-0.0008854286257166685,-0.0029312663845083345,0.0009849734971535194,10000,-0.04542172239958209,-0.17813278288264445,0.0,-3.1110897796269494,-6.8811986183368425,0.0,-2.121607615809305,-5.143694013363405,0.0,2.4249916236781672,0.0,5.382843691482975,1.0,0.0,3.0
all,synth_full2010_D3,"March freeze minus January freeze, same March-onward dates",-0.0003761102078701373,-0.003174496769044629,0.002416981609713347,10000,-0.036941710825132645,-0.17218852076528224,0.0,-0.6546338307536814,-2.319913284871717,0.351067184379966,-0.2603071379008206,-1.7297046537001535,0.9356056949977329,0.3871466171031983,0.0,0.837179592703535,0.0,0.0,0.0
all,synth_no_oxr,"March freeze minus January freeze, same March-onward dates",-0.0012426993390328898,-0.002755549746628972,0.0002087923685200841,10000,0.018459676199122477,0.0,0.04773725415314112,-0.9114954754540019,-3.9426145540309285,1.0929224288139325,-1.5526298216373764,-2.3992377253511723,-0.6590566063235457,1.3418485282387422,-0.5767953586705516,4.837670177842784,0.0,-3.0,3.0
all,v3_long,"March freeze minus January freeze, same March-onward dates",-0.00045190426246918353,-0.00240051209120351,0.0012404605259504302,10000,-0.044887031833293234,-0.1754882124570979,0.026326919768308477,-5.919036615640383,-9.445709873176526,-2.0597478981799,-4.373597922654763,-7.772912844532804,-1.5754190636231975,4.179811427842907,1.6254085706022607,6.184222123425684,3.0,1.0,5.0
KZT,small_basis2010_D2,"March freeze minus January freeze, same March-onward dates",-0.00030042862386945793,-0.00363841206207696,0.002900911903754406,10000,-0.18638888888888883,-0.5543800069662138,0.10416666666666674,-35.560042010163,-65.90105504295677,-3.2411727083728863,-24.439446824840992,-51.070597216494804,0.016612515005970607,31.19734730901402,-8.381602992285075,67.80296911889414,5.0,2.0,8.0
KZT,small_no_oxr,"March freeze minus January freeze, same March-onward dates",-0.0012135244286108527,-0.0033615438686245692,0.0012996079520384304,10000,-0.01129629629629636,-0.1536388140161724,0.13353383458646628,1.8967548770184735,-12.565550330766946,17.618317182630463,-0.3454420691719413,-8.147076833093918,10.171001716381582,-6.1491653364326595,-13.732584538994999,0.009817674804565968,-2.0,-4.0,0.0
KZT,synth_availability2010_D2,"March freeze minus January freeze, same March-onward dates",0.0006838563374031582,-0.0008775918662316812,0.0017889654838699012,10000,-0.09413580246913567,-0.43999999999999995,0.0,-2.8559347008231164,-8.567804102469363,0.0,-2.375158946461358,-7.125476839384074,0.0,0.7509518543702853,0.0,2.252855563110842,0.0,0.0,0.0
KZT,synth_basis2010_D2,"March freeze minus January freeze, same March-onward dates",0.000951816789974916,-0.0017789276147324503,0.0031778022281588538,10000,0.0,-0.33040293040293056,0.2197385620915031,-5.599475633093164,-21.27603605087615,8.30811502219347,-7.341068125863513,-11.764432484783098,-1.5569532875527585,8.503336085581196,-1.4716617309623814,25.767380637238148,0.0,-3.0,3.0
KZT,synth_basis2010_D3,"March freeze minus January freeze, same March-onward dates",0.0008869253429040046,-0.0019508227142701565,0.002601127379524752,10000,0.09077380952380965,0.0,0.4230769230769229,8.553753678954129,0.0,23.85577266005109,5.621517162437934,0.0,13.65676053303586,-6.006992022537915,-19.867803577737135,2.651073105970113,0.0,0.0,0.0
KZT,synth_basis2018_D2,"March freeze minus January freeze, same March-onward dates",0.0016348266886831355,-0.00024358551370753123,0.003621928930873862,10000,0.0,0.0,0.0,-3.8500360577147354,-8.233004711045403,0.0,-5.792674774003441,-13.357825400186897,0.0,6.302813641433076,0.0,14.618691778215311,0.0,0.0,0.0
KZT,synth_full2010_D2,"March freeze minus January freeze, same March-onward dates",0.0014932233500925167,-0.000773100341815083,0.003581096357597943,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KZT,synth_full2010_D3,"March freeze minus January freeze, same March-onward dates",0.0006747635641100989,-0.0037200182195425034,0.004297850423315855,10000,-0.09077380952380931,-0.42307692307692313,0.0,-2.152107573999487,-7.976921060919754,1.8723583166931554,-0.6864363640916231,-6.634064643564482,4.989897039987907,1.5762627864903038,0.0,3.532872074199645,0.0,0.0,0.0
