config_id,mode,scope,rows,dates,brier,signals,lift,forward_delta_bps
fusion_2010_120m,bank_delayed,KZT,727,727,0.1847527540850103,135,1.537502029702925,49.58405253458636
fusion_2010_120m,both_delayed,KZT,727,727,0.18297753273457776,141,1.387826812060694,41.68257634537061
fusion_2010_120m,normal,KZT,727,727,0.18063870406619567,138,1.5828325055862271,48.83549827151865
fusion_2010_120m,oxr_delayed,KZT,727,727,0.1784573088272756,139,1.5937505831337717,46.137440638809394
fusion_2010_180m,bank_delayed,KZT,727,727,0.1858113337941035,121,1.6614586570681067,50.25743365895253
fusion_2010_180m,both_delayed,KZT,727,727,0.18603790317568833,125,1.6211499893174908,45.315974213339196
fusion_2010_180m,normal,KZT,727,727,0.18154089066744253,124,1.7832738936209764,58.495532265911436
fusion_2010_180m,oxr_delayed,KZT,727,727,0.1810814558708114,127,1.817677076481275,54.90909623913954
fusion_2018_120m,bank_delayed,KZT,727,727,0.18065985998308076,146,1.408186748194221,35.182315965442115
fusion_2018_120m,both_delayed,KZT,727,727,0.18034440141850497,146,1.5078343056857701,39.50225844173022
fusion_2018_120m,normal,KZT,727,727,0.17662398817235236,145,1.5251954093189903,42.54662914049655
fusion_2018_120m,oxr_delayed,KZT,727,727,0.17600116139316965,145,1.5251954093189903,42.93348021592653
fusion_premium_2010_120m,bank_delayed,KZT,727,727,0.18550214255446307,132,1.5943789199212988,44.46598772651966
fusion_premium_2010_120m,both_delayed,KZT,727,727,0.18561291970786678,137,1.4505823040736392,36.5980467534117
fusion_premium_2010_120m,normal,KZT,727,727,0.18134097965762652,134,1.702101911705925,45.9574626574444
fusion_premium_2010_120m,oxr_delayed,KZT,727,727,0.18090635050997345,139,1.6069585453519708,38.529012578451976
halyk_local_120m,bank_delayed,KZT,727,727,0.1835156255868232,132,1.5913542627510204,42.02017478407144
halyk_local_120m,normal,KZT,727,727,0.17917701715347917,133,1.670149760355031,48.417571159331885
halyk_shrink_120m,bank_delayed,KZT,727,727,0.18140430013544134,131,1.6123639777608751,49.279143183766124
halyk_shrink_120m,normal,KZT,727,727,0.17632441489206915,134,1.6799476936020963,50.22904641504237
kzt_local_120m,normal,KZT,727,727,0.18043451381085637,149,1.4778370986863412,29.971420647932167
kzt_oxr_2010_120m,normal,KZT,727,727,0.17975229308722537,145,1.4506997431931379,36.04609998865397
kzt_oxr_2010_120m,oxr_delayed,KZT,727,727,0.18012199955834154,148,1.461177896368588,37.411129949562365
kzt_oxr_2018_120m,normal,KZT,727,727,0.17805022214939456,155,1.3506811110799672,27.328215413401296
kzt_oxr_2018_120m,oxr_delayed,KZT,727,727,0.17687797623559867,156,1.2306286447724541,26.638845925881835
kzt_shrink_120m,normal,KZT,727,727,0.17910995733235618,146,1.4344664516270669,33.25064626840441
oxr_basis_2010_120m,normal,all,3635,727,0.1848109818742097,754,1.3476702732058465,35.214822042483746
oxr_basis_2010_120m,normal,KZT,727,727,0.182163203837951,144,1.433395551523354,36.22429715264374
