period,evaluation_scope,config_id,train_horizon,policy,qualified,preferred90,gate_shortfall,min_cell_coverage,min_cell_lift,min_cell_forward_delta_bps,mean_brier,cells,passed_cells,rank
development_2024_2025,all5,tabm_pooled,3,rank80,True,False,0.0,0.803921568627451,1.3525498891352554,37.11039144666017,0.18596663865656676,10,10,1
development_2024_2025,all5,tabm_pooled,3,cadence90,True,False,0.0,0.8235294117647058,1.3388937664618081,33.480785906746185,0.18596663865656676,10,10,2
development_2024_2025,all5,tabm_pooled,5,rank80,False,False,0.00826147585304081,0.7843137254901961,1.2945615982241954,36.317407736452495,0.18149131882273523,10,5,3
development_2024_2025,all5,v3,5,rank90_shared,False,False,0.009180501066600245,0.8235294117647058,1.2024844720496894,15.636196468942844,0.17716329693802582,10,8,4
development_2024_2025,all5,v3,5,rank90,False,False,0.010605996357491598,0.8235294117647058,1.1839530332681019,15.636196468942844,0.17716329693802582,10,8,5
development_2024_2025,all5,v3,5,cadence85,False,False,0.010784313725490227,0.7647058823529411,1.3744343891402715,43.48144127167366,0.17716329693802582,10,7,6
development_2024_2025,all5,tabm_pooled,3,cadence85,False,False,0.011274509803921584,0.7450980392156863,1.3388937664618081,33.480785906746185,0.18596663865656676,10,8,7
development_2024_2025,all5,tabm_pooled,3,rank90_shared,False,False,0.011946730471752431,0.8823529411764706,1.1960784313725494,38.11488890946212,0.18596663865656676,10,8,8
development_2024_2025,all5,tabm_pooled,3,rank90,False,False,0.013645261705336795,0.8823529411764706,1.1960784313725494,34.02717434118439,0.18596663865656676,10,8,9
development_2024_2025,all5,v3,5,rank80,False,False,0.013724687332930287,0.7254901960784313,1.2781690140845074,15.636196468942844,0.17716329693802582,10,6,10
development_2024_2025,all5,v3,3,rank90_shared,False,False,0.0146391301333056,0.8431372549019608,1.190243902439025,21.13103697122696,0.18567001552875914,10,7,11
development_2024_2025,all5,v3,3,rank80,False,False,0.016478660305224702,0.7254901960784313,1.2360225140712948,21.13103697122696,0.18567001552875914,10,7,12
development_2024_2025,all5,v3,5,cadence90,False,False,0.0164853120735474,0.7647058823529411,1.2003968253968254,25.558382970057224,0.17716329693802582,10,7,13
development_2024_2025,all5,v3,3,rank90,False,False,0.016929699342357142,0.8235294117647058,1.1643690349946985,15.664465344382497,0.18567001552875914,10,6,14
development_2024_2025,all5,tabm_pooled,5,rank90_shared,False,False,0.01914688356787651,0.8431372549019608,1.137218045112782,15.672851068307525,0.18149131882273523,10,7,15
development_2024_2025,all5,v3,3,cadence90,False,False,0.0200980392156863,0.7450980392156863,1.3238770685579195,36.924882181792086,0.18567001552875914,10,6,16
development_2024_2025,all5,v3,3,cadence85,False,False,0.034313725490196095,0.7058823529411765,1.4196812547432325,41.99436517583446,0.18567001552875914,10,5,17
development_2024_2025,all5,tabm_pooled,5,rank90,False,False,0.0406322590946054,0.8431372549019608,1.0775510204081633,14.22873394364243,0.18149131882273523,10,6,18
development_2024_2025,all5,v3,5,cadence80,False,False,0.04362745098039221,0.6862745098039216,1.3744343891402715,43.48144127167366,0.17716329693802582,10,4,19
development_2024_2025,all5,v3,3,cadence80,False,False,0.04607843137254904,0.7058823529411765,1.4196812547432325,43.134732188981395,0.18567001552875914,10,4,20
development_2024_2025,all5,tabm_pooled,5,cadence90,False,False,0.04856766563927692,0.7254901960784313,1.2421497584541066,30.109639773027904,0.18149131882273523,10,4,21
development_2024_2025,all5,tabm_pooled,3,cadence80,False,False,0.05931372549019609,0.6274509803921569,1.4878048780487811,53.299783247319404,0.18596663865656676,10,6,22
development_2024_2025,all5,tabm_pooled,5,cadence85,False,False,0.07307746956084553,0.6470588235294118,1.2421497584541066,30.109639773027904,0.18149131882273523,10,4,23
development_2024_2025,all5,tabm_pooled,5,cadence80,False,False,0.12794117647058828,0.6078431372549019,1.3961696306429547,51.58491439609929,0.18149131882273523,10,1,24
development_2024_2025,all5,tabm_pooled,3,strict05,False,False,0.16960784313725497,0.37254901960784315,1.4534883720930236,38.399106956540194,0.18596663865656676,10,1,25
development_2024_2025,all5,v3,3,strict05,False,False,0.2500000000000001,0.39215686274509803,1.3095238095238098,18.93670041250858,0.18567001552875914,10,0,26
development_2024_2025,all5,v3,5,strict05,False,False,0.43627450980392163,0.19607843137254902,1.5453100158982511,69.94637158767908,0.17716329693802582,10,0,27
development_2024_2025,all5,tabm_pooled,5,strict05,False,False,0.48367970122143944,0.058823529411764705,1.2891246684350133,34.507372655419466,0.18149131882273523,10,0,28
development_2024_2025,KZT,tabm_pooled,3,cadence85,True,False,0.0,0.8235294117647058,1.6297117516629702,55.086714110937415,0.18521097068733217,2,2,1
development_2024_2025,KZT,tabm_pooled,3,cadence80,True,False,0.0,0.8235294117647058,1.6297117516629702,53.34223185605974,0.18521097068733217,2,2,2
development_2024_2025,KZT,tabm_pooled,3,rank80,True,False,0.0,0.8431372549019608,1.5725288831835684,44.84815731394943,0.18521097068733217,2,2,3
development_2024_2025,KZT,tabm_pooled,3,cadence90,True,False,0.0,0.8235294117647058,1.5596590909090908,41.75157309390328,0.18521097068733217,2,2,4
development_2024_2025,KZT,tabm_kzt,3,rank80,True,False,0.0,0.8627450980392157,1.5472560975609755,48.21716919585513,0.17505594284982018,2,2,5
development_2024_2025,KZT,v3,5,cadence80,True,False,0.0,0.803921568627451,1.4812772133526846,43.48144127167366,0.1745159717334745,2,2,6
development_2024_2025,KZT,v3,5,cadence85,True,False,0.0,0.803921568627451,1.4812772133526846,43.48144127167366,0.1745159717334745,2,2,7
development_2024_2025,KZT,v3,5,cadence90,True,False,0.0,0.803921568627451,1.4812772133526846,43.48144127167366,0.1745159717334745,2,2,8
development_2024_2025,KZT,tabm_pooled,3,rank90,True,False,0.0,0.8823529411764706,1.469412235105957,42.936015274344115,0.18521097068733217,2,2,9
development_2024_2025,KZT,tabm_pooled,3,rank90_shared,True,False,0.0,0.8823529411764706,1.469412235105957,42.936015274344115,0.18521097068733217,2,2,10
development_2024_2025,KZT,tabm_kzt,5,rank90,True,False,0.0,0.8235294117647058,1.4503424657534247,12.632923289096176,0.1626477076116464,2,2,11
development_2024_2025,KZT,tabm_kzt,5,rank90_shared,True,False,0.0,0.8235294117647058,1.4503424657534247,12.632923289096176,0.1626477076116464,2,2,12
development_2024_2025,KZT,tabm_pooled,5,rank90_shared,True,False,0.0,0.8627450980392157,1.3444444444444446,16.34444107121877,0.17638042352706285,2,2,13
development_2024_2025,KZT,tabm_kzt,3,rank90,True,False,0.0,0.8627450980392157,1.339527027027027,20.60295711285022,0.17505594284982018,2,2,14
development_2024_2025,KZT,tabm_kzt,3,rank90_shared,True,False,0.0,0.8627450980392157,1.339527027027027,20.60295711285022,0.17505594284982018,2,2,15
development_2024_2025,KZT,v3,5,rank90,False,False,0.008396533044420229,0.8235294117647058,1.2781690140845074,15.636196468942844,0.1745159717334745,2,1,16
development_2024_2025,KZT,v3,5,rank90_shared,False,False,0.008396533044420229,0.8235294117647058,1.2781690140845074,15.636196468942844,0.1745159717334745,2,1,17
development_2024_2025,KZT,tabm_kzt,3,cadence90,False,False,0.009803921568627486,0.7843137254901961,1.7073170731707314,59.11605408338057,0.17505594284982018,2,1,18
development_2024_2025,KZT,v3,3,cadence85,False,False,0.009803921568627486,0.7843137254901961,1.5513602251407124,46.5301756439262,0.1917470515748961,2,1,19
development_2024_2025,KZT,tabm_pooled,5,rank80,False,False,0.009803921568627486,0.7843137254901961,1.4877049180327873,37.437413705567685,0.17638042352706285,2,1,20
development_2024_2025,KZT,v3,3,cadence90,False,False,0.009803921568627486,0.7843137254901961,1.4016544117647056,36.924882181792086,0.1917470515748961,2,1,21
development_2024_2025,KZT,v3,3,rank80,False,False,0.011217948717948763,0.8431372549019608,1.2708333333333333,21.13103697122696,0.1917470515748961,2,1,22
development_2024_2025,KZT,v3,3,rank90,False,False,0.011217948717948763,0.8431372549019608,1.2708333333333333,21.13103697122696,0.1917470515748961,2,1,23
development_2024_2025,KZT,v3,3,rank90_shared,False,False,0.011217948717948763,0.8431372549019608,1.2708333333333333,21.13103697122696,0.1917470515748961,2,1,24
development_2024_2025,KZT,v3,5,rank80,False,False,0.018200454613047715,0.7843137254901961,1.2781690140845074,15.636196468942844,0.1745159717334745,2,0,25
development_2024_2025,KZT,v3,3,cadence80,False,False,0.034313725490196095,0.7450980392156863,1.5885416666666663,46.5301756439262,0.1917470515748961,2,1,26
development_2024_2025,KZT,tabm_kzt,5,rank80,False,False,0.034313725490196095,0.7450980392156863,1.558333333333334,44.357998153225154,0.1626477076116464,2,1,27
development_2024_2025,KZT,tabm_pooled,5,cadence80,False,False,0.046568627450980435,0.7254901960784313,1.578461538461538,51.58491439609929,0.17638042352706285,2,1,28
development_2024_2025,KZT,tabm_kzt,5,cadence90,False,False,0.058823529411764705,0.7058823529411765,1.4828431372549022,15.845381115831321,0.1626477076116464,2,1,29
