config_id,train_horizon,year,split,rows,maximum_raw_probability_error
tabm_kzt,5,2024,validation,242,2.5427246086451305e-08
tabm_kzt,5,2024,history,247,2.5427246086451305e-08
tabm_kzt,5,2024,test,243,1.4056015018582002e-08
tabm_kzt,5,2024,warmup,63,2.9054260219929517e-08
tabm_pooled,5,2024,validation,1210,2.886047367756106e-08
tabm_pooled,5,2024,history,1235,2.886047367756106e-08
tabm_pooled,5,2024,test,1215,2.557296752137006e-08
tabm_pooled,5,2024,warmup,315,2.65777587715732e-08
tabm_kzt,5,2025,validation,243,2.902450557673575e-08
tabm_kzt,5,2025,history,248,2.902450557673575e-08
tabm_kzt,5,2025,test,242,2.811431887295157e-08
tabm_kzt,5,2025,warmup,63,2.7381896972045183e-08
tabm_pooled,5,2025,validation,1215,2.9584503180579702e-08
tabm_pooled,5,2025,history,1240,2.9584503180579702e-08
tabm_pooled,5,2025,test,1210,2.962112422011387e-08
tabm_pooled,5,2025,warmup,315,2.9073333740470275e-08
tabm_kzt,5,2026,validation,242,2.78961181932047e-08
tabm_kzt,5,2026,history,247,2.78961181932047e-08
tabm_kzt,5,2026,test,156,2.869949344841416e-08
tabm_kzt,5,2026,warmup,63,2.6672363317992165e-08
tabm_pooled,5,2026,validation,1210,2.9109954780004443e-08
tabm_pooled,5,2026,history,1235,2.9109954780004443e-08
tabm_pooled,5,2026,test,780,2.9568481441089034e-08
tabm_pooled,5,2026,warmup,315,2.6256561258541922e-08
tabm_kzt,3,2024,validation,244,2.6856994628232655e-08
tabm_kzt,3,2024,history,247,2.6856994628232655e-08
tabm_kzt,3,2024,test,245,1.7652130090972662e-08
tabm_kzt,3,2024,warmup,63,2.970733647966739e-08
tabm_pooled,3,2024,validation,1220,2.9627990727476572e-08
tabm_pooled,3,2024,history,1235,2.9627990727476572e-08
tabm_pooled,3,2024,test,1225,2.967758183647362e-08
tabm_pooled,3,2024,warmup,315,2.9296875037054804e-08
tabm_kzt,3,2025,validation,245,2.956695555056399e-08
tabm_kzt,3,2025,history,248,2.956695555056399e-08
tabm_kzt,3,2025,test,244,2.1353149359804036e-08
tabm_kzt,3,2025,warmup,63,1.974639896040742e-08
tabm_pooled,3,2025,validation,1225,2.9727172834448368e-08
tabm_pooled,3,2025,history,1240,2.9727172834448368e-08
tabm_pooled,3,2025,test,1220,2.9750061081301737e-08
tabm_pooled,3,2025,warmup,315,2.927551268072648e-08
tabm_kzt,3,2026,validation,244,2.8824615472267112e-08
tabm_kzt,3,2026,history,247,2.8824615472267112e-08
tabm_kzt,3,2026,test,158,2.503738405490452e-08
tabm_kzt,3,2026,warmup,63,2.82180786514985e-08
tabm_pooled,3,2026,validation,1220,2.978820801136095e-08
tabm_pooled,3,2026,history,1235,2.978820801136095e-08
tabm_pooled,3,2026,test,790,2.978210444926077e-08
tabm_pooled,3,2026,warmup,315,2.971725465705788e-08
