period,min_observed_months,band,migrants,eligible_migrants,unweighted_share,derived_household_weighted_share,mean_reporting_fraction
pre2024_observations_released_later,6,sporadic_le25pct_months,61,347,0.17579250720461095,0.14329282214359923,0.17512126253688448
pre2024_observations_released_later,6,intermittent_25to75pct_months,216,347,0.622478386167147,0.6494800516613759,0.5017782819215783
pre2024_observations_released_later,6,regular_gt75pct_months,70,347,0.2017291066282421,0.20722712619502492,0.8794867435673974
pre2024_observations_released_later,12,sporadic_le25pct_months,30,149,0.20134228187919462,0.16692006686994026,0.18558326749503223
pre2024_observations_released_later,12,intermittent_25to75pct_months,94,149,0.6308724832214765,0.6742132731529039,0.510617381478573
pre2024_observations_released_later,12,regular_gt75pct_months,25,149,0.16778523489932887,0.15886665997715554,0.8705051619309931
full2021_2025,6,sporadic_le25pct_months,87,447,0.19463087248322147,0.17485359812917184,0.1646186956714314
full2021_2025,6,intermittent_25to75pct_months,268,447,0.5995525727069351,0.607801255590803,0.5053524539341014
full2021_2025,6,regular_gt75pct_months,92,447,0.2058165548098434,0.2173451462800253,0.8765236236745327
full2021_2025,12,sporadic_le25pct_months,45,226,0.19911504424778761,0.18529438504332266,0.1632251332604224
full2021_2025,12,intermittent_25to75pct_months,138,226,0.6106194690265486,0.6242535269713081,0.5158861299794744
full2021_2025,12,regular_gt75pct_months,43,226,0.1902654867256637,0.19045208798536925,0.8705775412259977
