scenario,policy,segment,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,own_h_target_sum,all_date_h5_base_sum,exposure_weeks,contacts_per_week,relevance,h5_quality,own_h_quality,h5_unconditional_same_dates,forward_bps_per_contact,timing_bps_all_volume,h5_lift_vs_unconditional
base,group_aware,frequent,11.947222222222225,8.030555555555555,2.7055555555555557,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,199.9677876511413,188.02056542891907,0.0,49947.86048530681,4.227777777777778,0.6777777777777778,5.069444444444445,528.602524246771,4.927777777777778,3.525708559823445,48.214285714285715,0.2477942386831275,0.6721692629621018,0.4243199255986979,0.4124622180888165,0.2951069708292118,44.2448055635521,2.930723731351365,0.1292129547694861
base,universal,frequent,10.666666666666666,7.197222222222222,2.488888888888889,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,175.41397796055767,164.74731129389102,0.0,45679.2374439952,3.85,0.5694444444444444,4.805555555555555,540.7189145150824,6.288888888888889,3.069656336141381,48.214285714285715,0.2212345679012345,0.6747395833333334,0.4505208333333333,0.5895833333333333,0.2877802815132545,50.69239823578897,2.570863607875784,0.1627405518200788
contact_cost10,group_aware,frequent,11.947222222222225,8.030555555555555,2.7055555555555557,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,199.9677876511413,80.49556542891908,0.0,49947.86048530681,4.227777777777778,0.6777777777777778,5.069444444444445,528.602524246771,4.927777777777778,3.525708559823445,48.214285714285715,0.2477942386831275,0.6721692629621018,0.4243199255986979,0.4124622180888165,0.2951069708292118,44.2448055635521,2.930723731351365,0.1292129547694861
contact_cost10,universal,frequent,10.666666666666666,7.197222222222222,2.488888888888889,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,175.41397796055767,68.747311293891,0.0,45679.2374439952,3.85,0.5694444444444444,4.805555555555555,540.7189145150824,6.288888888888889,3.069656336141381,48.214285714285715,0.2212345679012345,0.6747395833333334,0.4505208333333333,0.5895833333333333,0.2877802815132545,50.69239823578897,2.570863607875784,0.1627405518200788
execution_drag25bps,group_aware,frequent,11.947222222222225,8.030555555555555,2.7055555555555557,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,199.9677876511413,63.15091421565205,124.86965121326702,49947.86048530681,4.227777777777778,0.6777777777777778,5.069444444444445,528.602524246771,4.927777777777778,3.525708559823445,48.214285714285715,0.2477942386831275,0.6721692629621018,0.4243199255986979,0.4124622180888165,0.2951069708292118,44.2448055635521,2.930723731351365,0.1292129547694861
execution_drag25bps,universal,frequent,10.666666666666666,7.197222222222222,2.488888888888889,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,175.41397796055767,50.54921768390302,114.198093609988,45679.2374439952,3.85,0.5694444444444444,4.805555555555555,540.7189145150824,6.288888888888889,3.069656336141381,48.214285714285715,0.2212345679012345,0.6747395833333334,0.4505208333333333,0.5895833333333333,0.2877802815132545,50.69239823578897,2.570863607875784,0.1627405518200788
high_response,group_aware,frequent,12.141666666666667,8.036111111111111,5.355555555555555,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,367.7650319542897,355.623365287623,0.0,99372.5006890722,8.530555555555555,1.4194444444444445,5.158333333333333,536.4436452814168,5.013888888888889,3.5856739100565904,48.214285714285715,0.2518271604938272,0.6618622740791581,0.4248455730954015,0.4129489819263326,0.295319745509122,44.18204353724778,5.389956649367765,0.1295258275862794
high_response,universal,frequent,10.813888888888888,7.191666666666666,4.911111111111111,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,362.34258793278474,351.52869904389587,0.0,91500.6571411569,7.833333333333333,1.15,4.888888888888889,550.6615562602939,6.4,3.1147339868270776,48.214285714285715,0.2242880658436213,0.6650398150526586,0.4520935011559209,0.5918314924222965,0.2880308849878623,50.92169541579908,5.310485422714633,0.1640626161680586
low_response,group_aware,frequent,11.841666666666669,8.027777777777779,0.8055555555555556,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,61.48164611374566,49.63997944707899,0.0,14574.643545998491,1.275,0.2194444444444444,5.022222222222222,526.0341763795487,4.888888888888889,3.492195966543868,48.214285714285715,0.2456049382716049,0.6779263429509735,0.4241144733755571,0.4128547970912503,0.2949074707848446,44.42230905386759,0.9010737250463974,0.1292070025907125
low_response,universal,frequent,10.602777777777778,7.194444444444445,0.7527777777777778,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,61.46390191254965,50.86112413477187,0.0,13192.981438026032,1.1694444444444445,0.1694444444444444,4.777777777777778,538.4313074298354,6.247222222222222,3.0510806047178645,48.214285714285715,0.2199094650205761,0.6785433586586325,0.4506156667539953,0.5892061828661251,0.2877623834682817,50.78209868345317,0.9008136664032036,0.1628532832857135
