calibration_bin,count,mean_predicted,observed_rate
"(-0.000999799, 3.66e-05]",412,1.415833657131707e-05,0.16747572815533981
"(3.66e-05, 0.000151]",411,7.925969213780949e-05,0.26763990267639903
"(0.000151, 0.0469]",412,0.009226703208731275,0.34951456310679613
"(0.0469, 0.0801]",411,0.06476826626377141,0.19951338199513383
"(0.0801, 0.113]",412,0.09631398654319737,0.2087378640776699
"(0.113, 0.151]",411,0.13202083543550075,0.25547445255474455
"(0.151, 0.202]",411,0.17596732920899746,0.15815085158150852
"(0.202, 0.258]",412,0.23038004941736648,0.13106796116504854
"(0.258, 0.344]",411,0.2977198592049385,0.1192214111922141
"(0.344, 0.781]",412,0.44055911241516243,0.12864077669902912
