source,scenario,horizon_moex_rows,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,hit_wilson95_low,hit_wilson95_high,lift,signal_forward_bps,label_definition,eligibility
CBR,favorable_now,1,336,175,0.5208333333333334,7,4,0.5714285714285714,0.2504542304090258,0.8417830777373732,1.097142857142857,17.68684450378905,current<=min(next_h_MOEX_rows),saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
CBR,favorable_now,3,323,108,0.33436532507739936,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831,1.9938271604938271,6.649111766895605,current<=min(next_h_MOEX_rows),saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
CBR,favorable_now,5,315,84,0.26666666666666666,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831,2.5,18.346573244982604,current<=min(next_h_MOEX_rows),saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
CBR,favorable_now,10,286,53,0.1853146853146853,5,3,0.6,0.23071993220883708,0.8823817688407467,3.2377358490566035,16.568894391350238,current<=min(next_h_MOEX_rows),saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
CBR,favorable_now,20,230,31,0.13478260869565217,4,2,0.5,0.15003570882017148,0.8499642911798285,3.7096774193548385,112.39562567758433,current<=min(next_h_MOEX_rows),saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
CBR,window_closing,1,336,175,0.5208333333333334,8,7,0.875,0.5291051942301386,0.9775830911367038,1.68,65.42636123043454,endpoint_rate_t_plus_h_MOEX_rows>current,saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
CBR,window_closing,3,323,157,0.48606811145510836,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253,1.7634212920837125,112.160448619277,endpoint_rate_t_plus_h_MOEX_rows>current,saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
CBR,window_closing,5,315,151,0.4793650793650794,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253,1.7880794701986753,147.30138556721815,endpoint_rate_t_plus_h_MOEX_rows>current,saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
CBR,window_closing,10,286,133,0.46503496503496505,6,5,0.8333333333333334,0.43649056343635395,0.9699474141282697,1.7919799498746867,311.3609380797524,endpoint_rate_t_plus_h_MOEX_rows>current,saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
CBR,window_closing,20,230,82,0.3565217391304348,5,5,1.0,0.5655085052479191,1.0000000000000002,2.8048780487804876,522.1252730970493,endpoint_rate_t_plus_h_MOEX_rows>current,saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
NBK,favorable_now,1,436,244,0.5596330275229358,7,5,0.7142857142857143,0.35892909014821267,0.9177828342909844,1.2763466042154568,-10.008531285514708,current<=min(next_h_MOEX_rows),saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
NBK,favorable_now,3,422,147,0.34834123222748814,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831,1.9138321995464853,-14.30210408997859,current<=min(next_h_MOEX_rows),saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
NBK,favorable_now,5,408,112,0.27450980392156865,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831,2.4285714285714284,4.640394600118147,current<=min(next_h_MOEX_rows),saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
NBK,favorable_now,10,373,67,0.17962466487935658,5,3,0.6,0.23071993220883708,0.8823817688407467,3.3402985074626863,-5.222149516439947,current<=min(next_h_MOEX_rows),saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
NBK,favorable_now,20,303,37,0.12211221122112212,4,2,0.5,0.15003570882017148,0.8499642911798285,4.094594594594595,127.28851824097968,current<=min(next_h_MOEX_rows),saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
NBK,window_closing,1,436,185,0.4243119266055046,10,8,0.8,0.49015684672072335,0.9433190520193067,1.8854054054054055,47.273303549075216,endpoint_rate_t_plus_h_MOEX_rows>current,saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
NBK,window_closing,3,422,200,0.47393364928909953,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,1.4066666666666665,71.20233696934636,endpoint_rate_t_plus_h_MOEX_rows>current,saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
NBK,window_closing,5,408,185,0.4534313725490196,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,1.4702702702702701,109.68622730352165,endpoint_rate_t_plus_h_MOEX_rows>current,saved_OOT_test_purged_by_fold_and_source_fresh_at_T; future source values can be forward-filled
