scenario,horizon_moex_rows,delta_bps,eligible_moex_rows,signals,hits,hit_rate,hit_rate_wilson_95,random_hit_rate,lift,lift_block_bootstrap_95,absolute_delta_pp,absolute_delta_pp_block_bootstrap_95,fisher_exact_greater_p,symmetric_bps_mean,symmetric_bps_median,symmetric_bps_block_bootstrap_95,forward_bps_mean,forward_bps_median,forward_bps_block_bootstrap_95,circular_shift_p_hit_rate,circular_shift_p_symmetric_bps,circular_shift_p_forward_bps
favorable_now,1,0.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.51918736,1.10062112,"[0.34341085, 2.00452489]",5.22412125,"[-32.66083521, 50.11286682]",0.54219702,31.15275124,4.3547213,"[-11.42886929, 103.85696303]",17.6868445,9.87936772,"[-62.51975742, 144.1316101]",0.53498871,0.05191874,0.32054176
window_closing,1,35.0,443,10,8,0.8,"[0.49016247, 0.94331785]",0.33634312,2.37852349,"[1.68854972, 3.30597015]",46.36568849,"[23.36343115, 69.751693]",0.00329166,5.59658445,6.06153267,"[-34.16261185, 53.54640924]",68.28999612,67.00156871,"[29.25593351, 115.3761972]",0.00902935,0.3724605,0.02031603
favorable_now,3,0.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.31602709,1.80816327,"[0.60161855, 3.43410853]",25.54014834,"[-11.84424379, 70.88036117]",0.14598191,54.53966065,49.118285,"[-15.24962766, 153.35652919]",-4.99790043,42.46394897,"[-125.65569439, 153.50574492]",0.14221219,0.04514673,0.53724605
window_closing,3,35.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.5282167,1.70384615,"[1.36168033, 2.10952381]",37.17832957,"[19.50983554, 52.59593679]",0.01585815,17.21591988,16.8231323,"[-42.56585655, 81.14643643]",110.46647356,157.53079258,"[21.98162764, 172.15950494]",0.02031603,0.26636569,0.01128668
favorable_now,5,0.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.25282167,2.26020408,"[0.72557578, 4.47474747]",31.8606901,"[-6.1324304, 77.6523702]",0.07159975,81.95697918,85.94813568,"[-3.19703394, 201.04224856]",-0.36246265,89.42127704,"[-150.15987546, 180.71028141]",0.08577878,0.02934537,0.51015801
window_closing,5,35.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.63431151,1.41886121,"[1.13709414, 1.72373541]",26.56884876,"[8.80022573, 41.98645598]",0.06909815,19.56770675,32.6141438,"[-43.32766418, 73.74171806]",144.49399737,203.18084165,"[7.18957453, 250.53571806]",0.07674944,0.29119639,0.01128668
favorable_now,10,0.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.18961625,3.01360544,"[1.0547619, 6.42028986]",38.18123186,"[0.97750726, 84.1986456]",0.02666279,110.56762333,186.17594188,"[-24.22199303, 287.94557717]",23.55325787,235.45969797,"[-230.91645189, 341.69863025]",0.03611738,0.03837472,0.35665914
window_closing,10,35.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.72911964,1.23436533,"[0.98883929, 1.49158249]",17.08803612,"[-0.84650113, 32.95711061]",0.19702039,96.44847294,123.43433147,"[36.27345381, 149.97730151]",268.15276838,409.97326482,"[56.88855906, 463.07468167]",0.19638826,0.02934537,0.00451467
favorable_now,20,0.0,441,7,3,0.42857143,"[0.15821986, 0.74954164]",0.13151927,3.25862069,"[0.0, 8.48076923]",29.70521542,"[-7.25623583, 88.20861678]",0.05138195,169.58145671,337.21110142,"[-58.25895091, 435.37731722]",120.62682625,205.85606147,"[-305.59552287, 697.84274948]",0.07936508,0.00680272,0.14512472
window_closing,20,35.0,441,9,9,1.0,"[0.70085495, 1.0]",0.77097506,1.29705882,"[1.18230563, 1.44271215]",22.90249433,"[15.41950113, 30.68594104]",0.09390168,192.46469682,193.25783984,"[128.01549493, 255.36282262]",335.79220865,555.38447065,"[-15.67795589, 646.61961245]",0.12244898,0.01587302,0.00907029
