date,ru_business_climate,ru_business_climate_current,ru_business_climate_expectations,ru_business_price_expectations,period_end,available_date_proxy
2020-02-01,3.9505,-3.9125,12.1289,5.6144,2020-01-31,2020-02-15
2020-03-01,4.0804,-3.837,12.3173,12.0817,2020-02-29,2020-03-15
2020-04-01,0.0031,-5.3865,5.542,15.0973,2020-03-31,2020-04-15
2020-05-01,-25.7326,-26.4004,-25.0623,12.3882,2020-04-30,2020-05-15
2020-06-01,-24.1959,-39.6797,-7.2167,12.2465,2020-05-31,2020-06-15
2020-07-01,-10.937,-26.0457,5.4839,12.9197,2020-06-30,2020-07-15
2020-08-01,-0.4495,-11.9825,11.7908,13.1271,2020-07-31,2020-08-15
2020-09-01,1.6711,-6.1419,9.799,13.6645,2020-08-31,2020-09-15
2020-10-01,1.1155,-5.8049,8.2826,14.8926,2020-09-30,2020-10-15
2020-11-01,-0.1384,-5.7061,5.5889,16.0363,2020-10-31,2020-11-15
2020-12-01,-3.6025,-10.1927,3.2166,15.9689,2020-11-30,2020-12-15
2021-01-01,-3.2195,-9.614,3.3897,14.2576,2020-12-31,2021-01-15
2021-02-01,-0.0041,-7.8787,8.1931,15.4845,2021-01-31,2021-02-15
2021-03-01,2.4835,-4.8182,10.0584,16.3026,2021-02-28,2021-03-15
2021-04-01,4.8002,-2.8969,12.7978,18.2885,2021-03-31,2021-04-15
2021-05-01,7.4715,0.766,14.401,20.0121,2021-04-30,2021-05-15
2021-06-01,8.1138,2.7028,13.6692,21.4907,2021-05-31,2021-06-15
2021-07-01,5.6517,-0.0669,11.5337,22.7116,2021-06-30,2021-07-15
2021-08-01,4.783,-0.3149,10.011,22.5292,2021-07-31,2021-08-15
2021-09-01,4.6204,-2.0274,11.4914,21.4419,2021-08-31,2021-09-15
2021-10-01,5.2282,-1.5215,12.2076,20.2233,2021-09-30,2021-10-15
2021-11-01,5.5447,-0.2487,11.5062,20.6927,2021-10-31,2021-11-15
2021-12-01,3.1672,-3.8148,10.3977,20.2804,2021-11-30,2021-12-15
2022-01-01,4.3979,-2.5367,11.576,20.8294,2021-12-31,2022-01-15
2022-02-01,5.522,-0.5655,11.7954,22.9375,2022-01-31,2022-02-15
2022-03-01,5.2101,-2.4861,13.2063,22.3505,2022-02-28,2022-03-15
2022-04-01,-10.3489,-9.7513,-10.9445,42.4085,2022-03-31,2022-04-15
2022-05-01,-7.2157,-12.6198,-1.6558,33.1745,2022-04-30,2022-05-15
2022-06-01,-4.0059,-10.9215,3.1626,23.7744,2022-05-31,2022-06-15
2022-07-01,-1.1527,-8.1432,6.0925,18.7669,2022-06-30,2022-07-15
2022-08-01,1.5787,-4.7442,8.1065,16.8674,2022-07-31,2022-08-15
2022-09-01,2.1646,-5.4466,10.0735,14.8331,2022-08-31,2022-09-15
2022-10-01,3.8379,-2.4187,10.2927,15.2864,2022-09-30,2022-10-15
2022-11-01,-1.0673,-7.0593,5.1108,15.6017,2022-10-31,2022-11-15
2022-12-01,0.6818,-6.8623,8.5206,17.0111,2022-11-30,2022-12-15
2023-01-01,2.7939,-2.4645,8.1923,17.7548,2022-12-31,2023-01-15
2023-02-01,3.2418,-2.8154,9.4852,15.9593,2023-01-31,2023-02-15
2023-03-01,5.5608,-0.6953,12.0133,16.5149,2023-02-28,2023-03-15
2023-04-01,6.8881,0.3117,13.6803,17.0739,2023-03-31,2023-04-15
2023-05-01,8.8728,3.1579,14.7486,17.7923,2023-04-30,2023-05-15
2023-06-01,7.3923,1.3368,13.6299,17.2881,2023-05-31,2023-06-15
2023-07-01,8.4269,4.8391,12.0775,16.9429,2023-06-30,2023-07-15
2023-08-01,6.9589,2.3376,11.6858,18.7691,2023-07-31,2023-08-15
2023-09-01,5.99,0.4928,11.638,23.403,2023-08-31,2023-09-15
2023-10-01,6.7889,1.9245,11.7705,24.7404,2023-09-30,2023-10-15
2023-11-01,6.5061,0.0952,13.1224,23.8447,2023-10-31,2023-11-15
2023-12-01,6.817,0.0643,13.7976,21.8377,2023-11-30,2023-12-15
2024-01-01,7.9302,1.919,14.1204,21.0209,2023-12-31,2024-01-15
2024-02-01,7.1714,-0.027,14.6289,20.4001,2024-01-31,2024-02-15
2024-03-01,7.5254,0.7032,14.5796,19.2766,2024-02-29,2024-03-15
2024-04-01,10.5237,4.3837,16.8482,19.3816,2024-03-31,2024-04-15
2024-05-01,10.1254,3.7653,16.6839,20.2796,2024-04-30,2024-05-15
2024-06-01,10.3696,5.2792,15.5863,21.1381,2024-05-31,2024-06-15
